Cognateset_ID,Language_ID,Form,Description,Source
1,Indo-Aryan,a,"<html><body><number>1</number> <b>a</b> pron. stem: <i>asyá</i> gen. sg. m., <i>asmai</i> dat., <i>asmin</i> loc.",cdial
2,Indo-Aryan,áṁśa,"<html><body><number>2</number> <b>áṁśa</b> m. 'share, part' RV. [√<smallcaps>aś</smallcaps>¹]",cdial
3,Indo-Aryan,*aṁśabʰōgin,"<html><body><number>3</number> <b>*aṁśabhōgin</b> 'sharing'. [<smallcaps>áṁśa-, bhṓga</smallcaps>-]",cdial
4,Indo-Aryan,aṁśú,"<html><body><number>4</number> <b>aṁśú</b> m. 'filament esp. of soma-plant' RV., 'thread, minute particle, ray'.",cdial
5,Indo-Aryan,aṁśuka,"<html><body><number>5</number> <b>aṁśuka</b> '*fibrous', n. 'cloth, garment' lex. [<smallcaps>aṁśú</smallcaps>-]",cdial
6,Indo-Aryan,áṁsa,"<html><body><number>6</number> <b>áṁsa</b> m. 'shoulder, shoulder-blade' RV.",cdial
7,Indo-Aryan,áṁsiya,"<html><body><number>7</number> <b>áṁsiya-, áṁsya</b> 'belonging to the shoulder' RV., '*made of or shaped like the shoulder-blade'. [<smallcaps>áṁsa</smallcaps>-]",cdial
8,Indo-Aryan,aṁh,<html><body><number>8</number> <b>AṀH</b> 'press': see <smallcaps>áṁhas</smallcaps>-.<div><p><hw></hw></p></div></body></html>,cdial
9,Indo-Aryan,áṁhas,<html><body><number>9</number> <b>áṁhas</b> n. 'trouble' RV. [√<smallcaps>aṁh</smallcaps>],cdial
9a,Indo-Aryan,akarmán,"<html><body><number>9a</number> †<b>akarmán-</b> 'not working, not performing good works' RV. [<smallcaps>kárman-¹: √kr̥</smallcaps>]",cdial
10,Indo-Aryan,akalpá,<html><body><number>10</number> <b>akalpá</b> 'not subject to rules' RV. [<smallcaps>kálpa</smallcaps>-],cdial
11,Indo-Aryan,akāla,"<html><body><number>11</number> <b>akāla</b> 'out of time' MBh., m. 'wrong time'. [<smallcaps>kālá</smallcaps>-²]",cdial
12,Indo-Aryan,*akālasasya,"<html><body><number>12</number> <b>*akālasasya</b> 'harvest out of time'. [<smallcaps>akāla-, sasyá</smallcaps>-]",cdial
13,Indo-Aryan,*akulanīya,<html><body><number>13</number> <b>*akulanīya</b> 'without family'. [<smallcaps>kúla</smallcaps>-],cdial
14,Indo-Aryan,ákr̩ṣṭa,<html><body><number>14</number> <b>ákr̥ṣṭa</b> n. 'unploughed land' AV. [<smallcaps>kr̥ṣṭá</smallcaps>-],cdial
15,Indo-Aryan,*akka,"<html><body><number>15</number> <b>*akka</b> 'vexed, bewildered'.",cdial
16,Indo-Aryan,akkā,"<html><body><number>16</number> <b>akkā</b> 'mother' Kāś. [← Drav. Burrow, BSOAS 12, 365: Tam. <i>akkai</i> 'elder sister']",cdial
17,Indo-Aryan,*akkʰa,"<html><body><number>17</number> <b>*akkha</b> 'sacking, bag, net'. [Perh. conn. Sk. <i>ákṣi</i>-, if Pa. <i>akkhika</i>- n. 'mesh of a net' &lt; '*having eyes']",cdial
18,Indo-Aryan,aktá,"<html><body><number>18</number> <b>aktá</b> 'smeared'. [Cf. <i>ā́kta</i>- 'anointed', <i>svā́kta</i>- n. 'good ointment' AV.: √<smallcaps>añj</smallcaps>]",cdial
19,Indo-Aryan,akrōdʰa,"<html><body><number>19</number> <b>akrōdha</b> m. 'freedom from anger', cf. <i>akrōdhamáya</i>- 'free from anger' ŚBr. [<smallcaps>krṓdha</smallcaps>-]",cdial
20,Indo-Aryan,*aklitta,<html><body><number>20</number> <b>*aklitta</b> 'not wetted'. [*<smallcaps>klitta</smallcaps>-],cdial
21,Indo-Aryan,ákṣa,"<html><body><number>21</number> <b>ákṣa</b>¹ m. 'axle' RV., 'collar-bone' ŚBr., 'temporal bone' Yājñ., <i>akṣaka</i>- m.n. 'collar-bone' Suśr. [Perh. conn.<smallcaps>ákṣu</smallcaps>-]",cdial
22,Indo-Aryan,akṣá,"<html><body><number>22</number> <b>akṣá</b>² m. 'a die for gambling' RV., 'the tree Elaeocarpus ganitrus' Suśr., 'its seed (of which rosaries were made andwhich were used for dice)'.",cdial
23,Indo-Aryan,akṣa,<html><body><number>23</number> <b>akṣa</b>-³ n. 'eye' lex. [-<i>akṣá</i>- in cmpd. for <smallcaps>ákṣi</smallcaps>- Pāṇ.],cdial
24,Indo-Aryan,akṣa,"<html><body><number>24</number> <b>akṣa</b>-⁴ n. 'blue vitriol' lex. [Cf. Av. <i>axšaēna</i>- 'dark-coloured', Yid. <i>axšin</i> 'blue' Horn NPE 109, Morgenstierne IIFL ii 195, W. S. Allen The Classical Quarterlyxli 88 note 1]",cdial
