ID,Name,Glottocode,Latitude,Longitude,Clade,Location,Quality
Nubri,Nubri,nubr1241,28.62,84.73,Other,"Nubri Valley, Gorkha district, Nepal",C
Tsum,Tsum,tsum1240,28.52,85.08,Other,"Tsum Valley, Gorkha district, Nepal",C
SouthernGhale,Southern Ghale,sout2715,28.20,84.75,Other,"southern Gorkha district, Nepal",C
NorthernGhale,Northern Ghale,nort2709,28.37,84.82,Other,"northern Gorkha district, Nepal",C
KutangGhale,Kutang Ghale,kuta1241,28.55,84.75,Other,"Kutang and lower Nubri, Gorkha district, Nepal",C
Loy,Loke,lowa1242,28.90,83.85,Other,"Upper Mustang and Bahragaun, Mustang district, Nepal",C
Ths,Thakali,thak1245,28.73,83.68,Other,"Mustang district, Nepal",C
Kjl,Western Parbate Kham,west2420,28.56,82.72,Other,western Nepal,C
KochilaTharu,Kochila Tharu,koch1247,26.65,86.75,Bihari,southeastern Nepal,C
Majhi,Majhi,majh1253,27.35,86.00,Bihari,"Ramechhap, Khotang, and Kavre districts, Nepal",C
Bote,Bote,bote1238,27.55,84.30,Other,"Nawalparasi and Chitwan districts, Nepal",C
Kudiya,Kudiya,kudi1237,12.3,75.5,S. Dravidian I,"Kodagu and Dakshina Kannada, Karnataka; Kasargod, Kerala",C
Dotyali,Dotyali,doty1234,29.27,80.94,E. Pahari,"Sudurpashchim Province, Nepal",C
Gurung,Gurung,guru1261,28.33,84.33,Other,"Gandaki Province, Nepal",C
Humla,Humla Tibetan,huml1238,30.15,81.57,Other,"Humla district, Nepal",C
WesternTamang,Western Tamang,west2415,28.02,85.06,Other,"Dhading, Nuwakot, and neighboring districts, Nepal",C
EasternGorkhaTamang,Eastern Gorkha Tamang,east2346,28.18,84.90,Other,"northern Gorkha district, Nepal",C
EasternMagar,Eastern Magar,east2352,28.00,83.00,Other,Nepal,C
Lohorung,Lohorung,nort2727,27.37,87.22,Other,"Sankhuwasabha district, Nepal",C
SouthernYamphu,Southern Yamphu,sout2734,27.25,87.35,Other,"Dhankuta and Sankhuwasabha districts, Nepal",C
Yamphu,Yamphu,yamp1242,27.63,87.04,Other,"Sankhuwasabha district, Nepal",C
PahariNewar,Pahari Newari,paha1257,27.566,85.318,Other,"Lalitpur, Makwanpur, and Sindhupalchok districts, Nepal",C
Naaba,Naaba,naab1241,27.6926,87.3409,Other,"Bhotkhola rural municipality, Sankhuwasabha district, Nepal",C
Rabha,Rabha,rabh1238,25.90,90.50,Other,Assam and Meghalaya,C
Bugun,Bugun,bugu1246,27.20,92.58,Other,Arunachal Pradesh,C
Nyishi,Nyishi-Hill Miri,nyis1236,27.33,93.60,Other,Arunachal Pradesh,C
Puroik,Puroik,sulu1241,27.35,93.15,Other,Arunachal Pradesh,C
Tagin,Tagin,tagi1241,28.10,94.00,Other,Arunachal Pradesh,C
A,Assamese,assa1263,26.7509,94.2037,Eastern,,
AluKurumba,Alu Kurumba,aluk1238,11.35,76.80,S. Dravidian I,,
PaluKurumba,Palu Kurumba,atta1243,11.16,76.54,S. Dravidian I,,
Ap,Apabhramsha,maha1305,27.0,79.0,MIA,,
Ar,Arabic,arab1395,27.96,43.85,Other,,
Aram,Aramaic,olda1245,32.84,37.00,Other,,
Arm,Armenian,nucl1235,40,45,Other,,
As,Ashokan Prakrit,maha1305,25.5941,85.1376,MIA,,
as,Domari,doma1258,32.00,35.00,Migratory,,
Ash,Ashkun,ashk1246,34.84,70.37,Nuristani,,
Austro-as,Austroasiatic,aust1305,13.5317,87.5396,Munda,,
Av,Avestan,aves1237,31.54,53.63,Other,,
Aw,Awadhi,awad1243,27.59,82.47,E. Hindi,,
awan,Hindko,avan1234,33.994201,72.483087,Lahndic,,C
B,Bengali,beng1280,23.4710,88.5565,Eastern,,
ba,Baghi,maha1287,31.2395,77.5541,W. Pahari,,
Bal,Balochi,sout2642,26,64,Other,,
bang,Bangru,hary1238,29.02,76.04,W. Hindi,,
Bashg,Bashgali,kati1279,35.41,70.98,Nuristani,,
Belari,Belari,bell1261,12.59,76.10,S. Dravidian I,,
BettaKurumba,Betta Kurumba,bett1235,11.64,76.61,S. Dravidian I,,
BH,Kamtapuri,rang1265,26.280348,89.39468,Eastern,,C
bhad,Bhadrawahi,bhad1241,32.9830,75.7110,W. Pahari,,
bhal,Bhalesi,bhad1241,33.03,75.9,W. Pahari,,
bhat,Bhateali,bhat1263,32.40,76.03,W. Pahari,,
bhatr,Bhateri,bate1261,34.95,72.92,Kohistani,Batera,
Bhoj,Bhojpuri,bhoj1244,26.46,84.82,Bihari,,
BHSk,Buddhist Hybrid Sanskrit,sans1269,20.00,77.00,OIA,,
Bi,Bihari,bagh1251,24.68,87.50,Bihari,,
bil,Bilaspuri,bila1253,31.38,76.67,W. Pahari,,
Brahui,Brahui,brah1256,29.04,66.56,Brahui,,
Brj,Braj,braj1242,26.48,78.08,W. Hindi,,
bro,Brokskat,brok1247,34.53,76.60,Shinaic,,
Bshk,Bashkarik,kala1373,35.53,72.57,Kohistani,,
Bur,Burushaski,buru1296,36.22,74.82,Burushaski,,
cam,Chambeali,cham1307,32.55,76.18,W. Pahari,,
Chil,Chilisso,chil1275,35.25,73.33,Kohistani,,
Chvar,Khwarezmian,khwa1238,41.68,60.75,Other,,
cur,Churahi,chur1258,32.90,76.11,W. Pahari,,
D,Domaaki,doma1260,36.33,74.80,Punjabic,,
Dard,Dardic,indo1324,35,73,MIA,,
Dhp,Gandhari,maha1305,33.756,72.8291,MIA,,
Dm,Dameli,dame1241,35.30,71.68,Kunar,,
dod,Dodi,kash1277,33.13,75.57,Kashmiric,,
dog,Dogri,dogr1250,32.55,75.71,W. Pahari,,
Drav,Dravidian,drav1251,10.52,78.83,Old Dravidian,,
Eng,English,stan1293,53,-1,Other,,
eur,European Romani,vlax1238,46.82,14.85,Migratory,,
Fr,French,stan1290,48,2,Other,,
G,Gujarati,guja1252,22.69,71.10,Gujaratic,,
ga,Gaddi,gadd1242,32.36,76.57,W. Pahari,,
Gadaba,Gadaba,mudh1235,18.28,83.38,C. Dravidian,,
Garh,Garhwali,garh1243,30.51,78.72,C. Pahari,,
Gau,Gauro,gawa1247,35.20,71.54,Kunar,,
Gaw,Gawarbati,gawa1247,35.20,71.54,Kunar,,
ghis,Ghisadi,guja1252,22.69,71.10,Gujaratic,,
Gk,Greek,anci1242,39.82,21.91,Other,,
Gmb,Tregami,treg1243,34.75,70.96,Nuristani,,
go,Gorum,pare1266,19.07,83.97,Munda,,
Gondi,Gondi,gond1265,20.10,80.28,S. Dravidian II,,
Gowro,Gowro,gowr1239,35.1243,73.1233,Kohistani,,
Goth,Gothic,goth1244,46.93,29.98,Other,,
gt,Gtaʔ,gata1239,18.61,82.98,Munda,,
gu,Gutob,bodo1267,18.39,82.77,Munda,,
Gy,Romani,vlax1238,46.82,14.85,Migratory,,
H,Hindi-Urdu,hind1269,28.7041,77.1025,W. Hindi,,
had,Hadauti,hado1235,24.85,75.84,Rajasthanic,,
hal,Halbi,halb1244,20.31,81.37,Halbic,,
Hit,Hittite,hitt1242,40.00,35.00,Other,,
ho,Ho,hooo1248,23.96,87.12,Munda,,
IA,Old Indo-Aryan,indo1321,34.04,72.36,OIA,,
IE,Proto-Indo-European,indo1319,47,41,OIA,,
Ind,Indo-Aryan Proper,indo1321,34.04,72.36,OIA,,
Indo-Aryan,Indo-Aryan,sans1269,34.04,72.36,OIA,,
Indo-ir,Proto-Indo-Iranian,indo1320,46,57,OIA,,
insir,Inner Siraji,inne1243,31.83,77.38,W. Pahari,,
Ir,Iranian,iran1269,39,60,Other,,
Irula,Irula,irul1243,11.353,76.7959,S. Dravidian I,,
Ishk,Ishkashmi,sang1344,36.45,71.30,Other,,
jaun,Jaunsari,jaun1243,30.56,77.91,W. Pahari,,
jmag,Jaina Magadhi Prakrit,maha1305,22.9868,87.8550,MIA,,
jmh,Jaina Maharastri Prakrit,maha1305,22.9868,87.8550,MIA,,
ju,Juang,juan1238,21.26,85.58,Munda,,
jub,North Jubbali,maha1287,31.01,77.53,W. Pahari,,
K,Kashmiri,kash1277,34.17,74.33,Kashmiric,,
Kaf,Nuristani,nuri1243,35,71,Nuristani,,
Kal,Indo-Aryan Kalasha,kala1372,35.64,71.67,Chitrali,,
Kalk,Kalkoti,kalk1245,35.41,72.17,Shinaic,,
Kam,Kamviri,kamv1242,35.41,71.34,Nuristani,,
Kand,Kandia,indu1241,35.34,73.02,Kohistani,,
Kannada,Kannada,nucl1305,13.59,76.12,S. Dravidian I,,
pampa,Old Kannada,oldk1250,13.24,75.82,S. Dravidian I,,C
Sholaga,Sholaga,shol1240,11.95,77.22,S. Dravidian I,,
Badaga,Badaga,bada1257,11.31,76.60,S. Dravidian I,,
Kat,Katarqalai,wota1240,34.70,70.86,Kohistani,,
Kata,Katavari,kati1279,35.301667,70.773611,Nuristani,,
kc,Kochi,maha1287,31.01,77.53,W. Pahari,,
kcch,Kutchi,kach1277,23.83,69.00,Sindhic,,
kgr,Kangri,kang1280,31.91,76.37,W. Pahari,,
kh,Kharia,khar1287,22.36,84.39,Munda,,
KharI,Kharoshthi Inscriptions,maha1305,27.0,79.0,MIA,,
khash,Khashali,bhad1241,33.29,75.87,W. Pahari,,
khet,Khetrani,khet1238,30.48,70.28,Sindhic,,
Kho,Khowar,khow1242,36.00,72.00,Chitrali,,
Khol,Kholosi,khol1241,27.12,54.30,Sindhic,,
Khot,Khotanese,khot1251,38.33,79.04,Other,,
kiuth,Kiunthali,maha1287,31.01,77.53,W. Pahari,,
Ko,Konkani,konk1267,15.2993,74.1240,Marathi-Konkani,,
ko,Korku,kork1243,21.84,77.55,Munda,,
Kodagu,Kodagu,koda1255,12.24,75.92,S. Dravidian I,,
Koh,Kohistani,indu1241,35.34,73.02,Kohistani,,
Kolami,Kolami,nort2699,20.10,78.49,C. Dravidian,,
Konda,Konda,kond1295,18.27,82.93,S. Dravidian II,,
Koraga,Koraga,kora1289,12.92,75.20,S. Dravidian I,,
Kota,Kota,kota1263,11.50,76.94,S. Dravidian I,,
KS,Surjapuri,surj1235,26.0982,87.945,Eastern,,C
Kt,Katë,kati1270,35.41,70.98,Nuristani,,
ktg,Kotgarhi,maha1287,31.01,77.53,W. Pahari,,
Ku,Kumaoni,kuma1273,29.56,80.02,C. Pahari,,
Kui,Kui,kuii1252,19.20,83.59,S. Dravidian II,,
kul,Kullui,kull1236,31.83,77.38,W. Pahari,,
Kund,Kundal Shahi,kund1257,34.56,73.83,Shinaic,,
Kurd,Kurdish,kurd1259,35.65,45.81,Other,,
Kurux,Kurux,kuru1301,24.46,86.47,N. Dravidian,,
Kuwi,Kuwi,kuvi1243,18.88,83.76,S. Dravidian II,,
kvar,Kvari,maha1287,31.2092773,78.0825162,W. Pahari,,
kw,Korwa,korw1242,23.41,83.81,Munda,,
L,Lahnda,west2386,31.1704,72.7097,Lahndic,,
Lat,Latin,lati1261,41.90,12.45,Other,,
Lith,Lithuanian,lith1251,55.14,23.96,Other,,
M,Marathi,mara1378,18.5204,73.8567,Marathi-Konkani,,
Mai,Indus Kohistani,indu1241,35.34,73.02,Kohistani,,
Malayalam,Malayalam,mala1464,9.59,76.77,S. Dravidian I,,
OMal,Old Malayalam,mala1464,9.59,76.77,S. Dravidian I,,
mald,Dhivehi,dhiv1236,1.93,73.54,Insular,,
Malto,Malto,saur1249,24.81,87.64,N. Dravidian,,
Malw,Malwai,malv1243,23.49,75.56,Bhil,,
mand,Mandeali,mand1409,31.54,77.04,W. Pahari,,
Manda,Manda,mand1413,20.10,83.67,S. Dravidian II,,
Marw,Marwari,marw1260,27.00,75.07,Rajasthanic,,
MB,Middle Bengali,beng1280,24.00,90.00,Eastern,,
Md,Dhivehi,dhiv1236,1.93,73.54,Insular,,
MH,Rajbanshi,rajb1243,26.4877,87.79265,Eastern,,C
MIA,Middle Indo-Aryan,maha1305,25.4,84.5,MIA,,
Mj,Munji,munj1244,35.93,70.94,Other,,
Mongol,Proto-Mongolic,mong1329,48,108,Other,,
MPrs,Middle Persian,pahl1241,30.06,52.70,Other,,
Mth,Maithili,mait1250,26.38,86.22,Bihari,,
Mu,Munda,mund1335,25.04,87.18,Munda,,
mu,Mundari,mund1320,23.03,85.85,Munda,,
N,Nepali,nepa1254,28.00,85.00,E. Pahari,,
Naikri,Naikri,sout1549,19.69,78.59,C. Dravidian,,
New,Newari,newa1246,27.67,85.33,Other,,
NIA,New Indo-Aryan,indo1321,34.04,72.36,MIA,,
NiDoc,Niya Prakrit,maha1305,40.3384724,66.9682,MIA,,
Gng,Grangali,gran1245,34.65,70.73,Kunar,,
Ning,Ningalami,gran1245,34.65,70.73,Kunar,,
OA,Old Assamese,assa1263,26.09,91.29,Early NIA,,
OAw,Old Awadhi,awad1243,27.59,82.47,Early NIA,,
OB,Old Bengali,beng1280,24.00,90.00,Early NIA,,
OG,Old Gujarati,guja1252,22.69,71.10,Early NIA,,
OH,Old Hindi,hind1269,28.7041,77.1025,Early NIA,,
