ID,Name,Language_ID,Description,Etyma
1,a,Indo-Aryan,"<html><body><number>1</number> <b>a</b> pron. stem: <i>asyá</i> gen. sg. m., <i>asmai</i> dat., <i>asmin</i> loc.",
2,áṁśa,Indo-Aryan,"<html><body><number>2</number> <b>áṁśa</b> m. 'share, part' RV. [√<smallcaps>aś</smallcaps>¹]",
3,*aṁśabʰōgin,Indo-Aryan,"<html><body><number>3</number> <b>*aṁśabhōgin</b> 'sharing'. [<smallcaps>áṁśa-, bhṓga</smallcaps>-]",
4,aṁśú,Indo-Aryan,"<html><body><number>4</number> <b>aṁśú</b> m. 'filament esp. of soma-plant' RV., 'thread, minute particle, ray'.",
5,aṁśuka,Indo-Aryan,"<html><body><number>5</number> <b>aṁśuka</b> '*fibrous', n. 'cloth, garment' lex. [<smallcaps>aṁśú</smallcaps>-]",
6,áṁsa,Indo-Aryan,"<html><body><number>6</number> <b>áṁsa</b> m. 'shoulder, shoulder-blade' RV.",
7,áṁsiya,Indo-Aryan,"<html><body><number>7</number> <b>áṁsiya-, áṁsya</b> 'belonging to the shoulder' RV., '*made of or shaped like the shoulder-blade'. [<smallcaps>áṁsa</smallcaps>-]",
8,aṁh,Indo-Aryan,<html><body><number>8</number> <b>AṀH</b> 'press': see <smallcaps>áṁhas</smallcaps>-.  <div> <p><hw></hw></p></div></body></html>,
9,áṁhas,Indo-Aryan,<html><body><number>9</number> <b>áṁhas</b> n. 'trouble' RV. [√<smallcaps>aṁh</smallcaps>],
9a,akarmán,Indo-Aryan,"<html><body><number>9a</number> †<b>akarmán-</b> 'not working, not performing good works' RV. [<smallcaps>kárman-¹: √kr̥</smallcaps>]",
10,akalpá,Indo-Aryan,<html><body><number>10</number> <b>akalpá</b> 'not subject to rules' RV. [<smallcaps>kálpa</smallcaps>-],
11,akāla,Indo-Aryan,"<html><body><number>11</number> <b>akāla</b> 'out of time' MBh., m. 'wrong time'. [<smallcaps>kālá</smallcaps>-²]",
12,*akālasasya,Indo-Aryan,"<html><body><number>12</number> <b>*akālasasya</b> 'harvest out of time'. [<smallcaps>akāla-, sasyá</smallcaps>-]",
13,*akulanīya,Indo-Aryan,<html><body><number>13</number> <b>*akulanīya</b> 'without family'. [<smallcaps>kúla</smallcaps>-],
14,ákr̩ṣṭa,Indo-Aryan,<html><body><number>14</number> <b>ákr̥ṣṭa</b> n. 'unploughed land' AV. [<smallcaps>kr̥ṣṭá</smallcaps>-],
15,*akka,Indo-Aryan,"<html><body><number>15</number> <b>*akka</b> 'vexed, bewildered'.",
16,akkā,Indo-Aryan,"<html><body><number>16</number> <b>akkā</b> 'mother' Kāś. [← Drav. Burrow, BSOAS 12, 365: Tam. <i>akkai</i> 'elder sister']",
17,*akkʰa,Indo-Aryan,"<html><body><number>17</number> <b>*akkha</b> 'sacking, bag, net'. [Perh. conn. Sk. <i>ákṣi</i>-, if Pa. <i>akkhika</i>- n. 'mesh of a net' &lt; '*having eyes']",
18,aktá,Indo-Aryan,"<html><body><number>18</number> <b>aktá</b> 'smeared'. [Cf. <i>ā́kta</i>- 'anointed', <i>svā́kta</i>- n. 'good ointment' AV.: √<smallcaps>añj</smallcaps>]",
19,akrōdʰa,Indo-Aryan,"<html><body><number>19</number> <b>akrōdha</b> m. 'freedom from anger', cf. <i>akrōdhamáya</i>- 'free from anger' ŚBr. [<smallcaps>krṓdha</smallcaps>-]",
20,*aklitta,Indo-Aryan,<html><body><number>20</number> <b>*aklitta</b> 'not wetted'. [*<smallcaps>klitta</smallcaps>-],
21,ákṣa,Indo-Aryan,"<html><body><number>21</number> <b>ákṣa</b>¹ m. 'axle' RV., 'collar-bone' ŚBr., 'temporal bone' Yājñ., <i>akṣaka</i>- m.n. 'collar-bone' Suśr. [Perh. conn. <smallcaps>ákṣu</smallcaps>-]",
22,akṣá,Indo-Aryan,"<html><body><number>22</number> <b>akṣá</b>² m. 'a die for gambling' RV., 'the tree Elaeocarpus ganitrus' Suśr., 'its seed (of which rosaries were made and which were used for dice)'.",
23,akṣa,Indo-Aryan,<html><body><number>23</number> <b>akṣa</b>-³ n. 'eye' lex. [-<i>akṣá</i>- in cmpd. for <smallcaps>ákṣi</smallcaps>- Pāṇ.],
24,akṣa,Indo-Aryan,"<html><body><number>24</number> <b>akṣa</b>-⁴ n. 'blue vitriol' lex. [Cf. Av. <i>axšaēna</i>- 'dark-coloured', Yid. <i>axšin</i> 'blue' Horn NPE 109, Morgenstierne IIFL ii 195, W. S. Allen The Classical Quarterly xli 88 note 1]",
25,*akṣakīla,Indo-Aryan,"<html><body><number>25</number> <b>*akṣakīla</b> cf. <i>akṣāgrakīla</i>-, <i>°aka</i>- m. 'lynch-pin' lex. [<smallcaps>ákṣa-¹, kīla</smallcaps>-]",
26,akṣaṇa,Indo-Aryan,<html><body><number>26</number> <b>akṣaṇa</b> 'inopportune' lex. [<smallcaps>kṣaṇa</smallcaps>-],
27,*akṣaṇā,Indo-Aryan,<html><body><number>27</number> <b>*akṣaṇā</b> f. 'lightning'. [<smallcaps>akṣaṇa</smallcaps>- sc. <i>vidyút</i>- f.],
28,ákṣata,Indo-Aryan,"<html><body><number>28</number> <b>ákṣata</b> 'unhurt' RV., 'not crushed' ĀśvGr̥., m. pl. 'uncrushed barley' Kālid. [<smallcaps>kṣatá</smallcaps>-¹]",
29,akṣatra,Indo-Aryan,<html><body><number>29</number> <b>akṣatra</b> 'separated from the Kṣatriya caste' MBh. [<smallcaps>kṣatrá</smallcaps>-],
30,*akṣadāruka,Indo-Aryan,"<html><body><number>30</number> <b>*akṣadāruka</b> 'a partic. tree'. [<smallcaps>akṣá-², dā́ru</smallcaps>-²]",
31,akṣadʰur,Indo-Aryan,"<html><body><number>31</number> <b>akṣadhur</b> f. 'pin or pole of axle'. [<smallcaps>ákṣa-¹, dhúr</smallcaps>-]",
32,*akṣapaṭṭa,Indo-Aryan,"<html><body><number>32</number> <b>*akṣapaṭṭa</b> 'notched board'. [<smallcaps>akṣa-³, paṭṭa</smallcaps>-¹]",
33,*akṣapuṭa,Indo-Aryan,"<html><body><number>33</number> <b>*akṣapuṭa</b> 'collar-bone'. [<smallcaps>ákṣa-¹, puṭa</smallcaps>-]",
34,akṣama,Indo-Aryan,<html><body><number>34</number> <b>akṣama</b> 'unable to bear' Hit. [<smallcaps>kṣamá</smallcaps>-],
35,akṣamālā,Indo-Aryan,"<html><body><number>35</number> <b>akṣamālā</b> f. 'string of rosary beads' lex., cf. <i>akṣamālin</i>- m. 'name of Śiva' MBh. [<smallcaps>akṣá-², mālā</smallcaps>-]",
36,akṣaya,Indo-Aryan,<html><body><number>36</number> <b>akṣaya</b> 'undecaying'. [<smallcaps>kṣayá</smallcaps>-],
37,akṣayatr̩tīyā,Indo-Aryan,"<html><body><number>37</number> <b>akṣayatr̥tīyā</b> f. 'festival on third day of bright half of Vaiśākha (which secured permanence for actions then initiated)'. [<smallcaps>akṣaya-, tr̥tī́ya</smallcaps>-¹]",
38,akṣára,Indo-Aryan,"<html><body><number>38</number> <b>akṣára</b> 'indestructible', n. 'word, syllable' RV., 'letter of the devanāgarī syllabary'",
38a,*akṣalita,Indo-Aryan,<html><body><number>38a</number> <b>*akṣalita-</b> Add. 14192.  <div> <p><hw></hw></p></div></body></html>,
39,akṣavāṭa,Indo-Aryan,"<html><body><number>39</number> <b>akṣavāṭa-,</b> -<i>pāṭa</i>- m. 'wrestling ground' lex. [lit. 'fence of poles' or 'dicing ground' ",
40,*akṣākāra,Indo-Aryan,"<html><body><number>40</number> <b>*akṣākāra</b> 'shaped like a die'. [<smallcaps>akṣá-², ākāra</smallcaps>-]",
41,*akṣānta,Indo-Aryan,"<html><body><number>41</number> <b>*akṣānta</b> 'unbearable'. [Cf. <i>kṣānta</i>- 'patient' Mn., 'pardoned' MBh.: √<smallcaps>kṣam</smallcaps>]",
41a,*akṣāpita,Indo-Aryan,<html><body><number>41a</number> <b>*akṣāpita-</b> Add. 14194.  <div> <p><hw></hw></p></div></body></html>,
42,*akṣāmita,Indo-Aryan,<html><body><number>42</number> <b>*akṣāmita</b> 'unbearable'. [Cf. <smallcaps>kṣāmayatē: √kṣam</smallcaps>],
43,ákṣi,Indo-Aryan,<html><body><number>43</number> <b>ákṣi</b> n. 'eye' RV.,
43a,akṣība,Indo-Aryan,<html><body><number>43a</number> <b>akṣība-</b> Add. 14196.  <div> <p><hw></hw></p></div></body></html>,
44,akṣibʰruva,Indo-Aryan,"<html><body><number>44</number> <b>akṣibhruva</b> n. 'the eyes and the brows' Pāṇ. [<smallcaps>ákṣi-, bhrū́</smallcaps>-]",
45,*akṣirujā,Indo-Aryan,"<html><body><number>45</number> <b>*akṣirujā</b> f. 'eye-disease'. [Cf. <i>akṣiruj</i>- f. VarBr̥S., Pa. <i>akkhirōga</i>- m.: <smallcaps>ákṣi-, rujā</smallcaps>-]",
46,ákṣu,Indo-Aryan,"<html><body><number>46</number> <b>ákṣu</b> m. perh. 'bamboo-pole' AV. (T. Chowdhury JBORS xvii 26.) [Cf. <smallcaps>ákṣa-¹, ikṣú</smallcaps>-]",
47,*akṣēma,Indo-Aryan,<html><body><number>47</number> <b>*akṣēma</b> 'unpeaceful'. [<smallcaps>kṣḗma</smallcaps>-],
48,akṣōṭa,Indo-Aryan,"<html><body><number>48</number> <b>akṣōṭa</b> m. 'walnut (or pistacio nut ?)' Kālid., 'Aleurites triloba, Croton moluccanum' Suśr., 'a mountain-tree <smallcaps>pīlú</smallcaps>-¹', lex.; <i>akṣōḍa</i>-, <i>°aka</i>-, <i>ākṣōḍa</i>-, <i>ākhōṭa</i>- lex",
48a,akʰādya,Indo-Aryan,<html><body><number>48a</number> †<b>akhādya-</b> 'not to be eaten' MW. [<smallcaps>khādya-: √khād</smallcaps>],
48b,akʰila,Indo-Aryan,"<html><body><number>48b</number> †<b>akhila-</b> 'complete, whole' Kāv. [Closer to <smallcaps>khila-², *khilla</smallcaps>- in the (generalized?) sense 'defect' than to <smallcaps>khilá-¹, khilyá</smallcaps>- in the special sense 'uncultivated, fallow land'",
49,agaru,Indo-Aryan,"<html><body><number>49</number> <b>agaru</b> m.n. 'fragrant Aloe-tree and wood, Aquilaria agallocha' lex., <i>aguru</i>- R. [← Drav. Mayrhofer EWA i 17 with lit.]",
50,agásti,Indo-Aryan,"<html><body><number>50</number> <b>agásti</b> m. 'the tree Agasti grandiflorum' Suśr. [← Drav. Burrow BSOAS 12, 365; <i>Agásti</i>- m. 'nom. prop.' perh. from this, Mayrhofer EWA I 17]",
51,ágāt,Indo-Aryan,<html><body><number>51</number> <b>ágāt</b> 'has come' RV. [√<smallcaps>gā</smallcaps>],
52,agāra,Indo-Aryan,"<html><body><number>52</number> <b>agāra</b> n. 'house' ĀśvGr̥., <i>āgāra</i>- Mn. [Prob. ← Drav., Mayrhofer EWA i 17 with lit.]",
53,*agāhya,Indo-Aryan,<html><body><number>53</number> <b>*agāhya</b> 'unfathomable'. [Cf. <i>durgāhya</i>- Suśr. (to be separated fr. <i>agādha</i>- 'deep' R. &lt; '*having no ford'): √<smallcaps>gāh</smallcaps>],
54,aguṇa,Indo-Aryan,<html><body><number>54</number> <b>aguṇa</b> m. 'wickedness' MBh. [<smallcaps>guṇá</smallcaps>-],
55,agní,Indo-Aryan,<html><body><number>55</number> <b>agní</b>¹ m. 'fire'. RV.,
56,agni,Indo-Aryan,"<html><body><number>56</number> <b>agni</b>² m. 'name of various plants, Plumbago zeylanica (Suśr.), Semecarpus anacardium, Citrus acida (lex.)'. [Same as <smallcaps>agní</smallcaps>-¹ ?]",
57,agnika,Indo-Aryan,"<html><body><number>57</number> <b>agnika</b> '*fiery', m. 'the plant Semecarpus anacardium; a partic. scarlet insect' lex., cf. <i>āgnika</i>- 'belonging to the preparation of the sacred fire' KātyŚr. [<smallcaps>agní</smallcaps>-¹]",
58,agnikārya,Indo-Aryan,"<html><body><number>58</number> <b>agnikārya</b> m. 'kindling the sacred fire with butter' Mn., <i>°rikā</i>- f. lex. [<smallcaps>agní-¹, kāryà</smallcaps>-]",
59,agnidāha,Indo-Aryan,"<html><body><number>59</number> <b>agnidāha</b> m. 'a fiery glow (in the sky)' Hariv. [Cf. <i>agnídagdha</i>- 'burnt with fire' RV.: <smallcaps>agní-¹, dāha</smallcaps>-]",
60,agnidʰā́na,Indo-Aryan,"<html><body><number>60</number> <b>agnidhā́na</b> n. 'receptacle for the sacred fire' RV. [<smallcaps>agní-¹, dhā́na</smallcaps>-]",
60a,*agnidʰānya,Indo-Aryan,<html><body><number>60a</number> †<b>*agnidhānya-</b> 'fit for fire-receptacle'. [<smallcaps>agnidhā́na</smallcaps>-],
61,agnimantʰa,Indo-Aryan,"<html><body><number>61</number> <b>agnimantha</b> 'producing fire by friction', m. 'the tree Premna spinosa' Suśr. [<smallcaps>agní-¹, mantha</smallcaps>-]",
62,*agnirujā,Indo-Aryan,"<html><body><number>62</number> <b>*agnirujā</b> 'a disease with burning sensation'. [<smallcaps>agní-¹, rujā</smallcaps>-]",
63,agnírūpa,Indo-Aryan,"<html><body><number>63</number> <b>agnírūpa</b> 'like fire' RV. [<smallcaps>agní-¹, rūpá</smallcaps>-]. See *<smallcaps>agnirujā</smallcaps>-.  <div> <p><hw></hw></p></div></body></html>",
64,agniśikʰā́,Indo-Aryan,"<html><body><number>64</number> <b>agniśikhā́</b> f. 'flame' ŚBr. [<smallcaps>agní-¹, śíkhā</smallcaps>-]",
65,agniṣṭʰá,Indo-Aryan,"<html><body><number>65</number> <b>agniṣṭhá</b> m. 'fire-pan' ĀpŚr., <i>°ṭhā́</i>- f. 'that corner of the Yūpa towards the fire' ŚBr., <i>°ṭhikā</i>- f. 'fire-pan'. [<smallcaps>agní-¹, stha</smallcaps>-]",
66,*agnistʰāna,Indo-Aryan,"<html><body><number>66</number> <b>*agnisthāna</b> n. 'fireplace'. [Cf. Pa. <i>aggiṭṭhāna</i> n. - <smallcaps>agní-¹, sthā́na</smallcaps>-]",
67,agnyagārá,Indo-Aryan,"<html><body><number>67</number> <b>agnyagārá</b> m. 'a house for keeping the sacred fire' ŚBr., <i>agnyā°</i> KātyŚr., <i>*agniyā̆°</i>. [<smallcaps>agní-¹, agāra</smallcaps>-]",
68,ágra,Indo-Aryan,"<html><body><number>68</number> <b>ágra</b> n. 'top, summit' RV., 'front' Mn.",
69,*agragaṇḍa,Indo-Aryan,"<html><body><number>69</number> <b>*agragaṇḍa</b> 'top of sugar-cane'. [<smallcaps>ágra-, gaṇḍa</smallcaps>-²]",
70,*agragamaṇa,Indo-Aryan,"<html><body><number>70</number> <b>*agragamaṇa</b> 'going in front'. [<smallcaps>ágra-, gamana</smallcaps>-]",
71,agragāmin,Indo-Aryan,"<html><body><number>71</number> <b>agragāmin</b> m. 'guide' Pāṇ. [<smallcaps>ágra-, gāmin</smallcaps>-]",
