Parameter_ID,Headword,Strategy,Source_Form_ID,Source_Language_ID,Source,Tags,Note
d1,*aṯṯ-,krishnamurti-pfeiffer,,,,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d2,agacu,dedr-reflex,f_5qzqvazr6yjjq,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d3,agase,dedr-reflex,f_wwqhd7dw2l4ay,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d4,akaṭu,dedr-reflex,f_bd7hqcnevtolg,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d5,akatti,dedr-reflex,f_4iiaizr3yzs62,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d6,akappai,dedr-reflex,f_3ujxu53dou5dk,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d7,*akam,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d8,*agál-,merriam-pdr,f_6qafgwkarpeca,PDr,"merriam2026dravidiandb[record 9, DEDR 8];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d9,*agál-,merriam-pdr,f_zq7vxxzqykhpw,PDr,"merriam2026dravidiandb[record 10, DEDR 9];starostin2006dravidian",,First source-ordered Merriam database reconstruction classified as PDr.
d10,akavu,dedr-reflex,f_rsxl742bxx2ou,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d11,*akaẓ-tt-ay,krishnamurti-pfeiffer,,PDr,krishnamurti,,Existing curated Krishnamurti/Pfeiffer reconstruction retained.
d12,agi,dedr-reflex,f_blt3b4xjzqix2,Kannada,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
d13,akil,dedr-reflex,f_mphgov5n5awf4,Tamil,dedr,not-reconstructed,No PDr reconstruction is available; the display head is the first surviving DEDR reflex and is not a reconstruction.
