ID,Short,Source,Progress,Provenance,Editor,OCR,Etymology_Provenance
gandhari,B2002—,"Stefan Baums and Andrew Glass\.
A dictionary of gāndhārī\.
2002–\.
Public website/API snapshot captured 2026\-08\-05; reuse terms not stated\.
URL: [https://gandhari\.org/dictionary](https://gandhari.org/dictionary)\.","1,512 articles with a unique exact accent-normalized Sanskrit match in CDIAL",data/other/forms/20260805-gandhari-org.csv; data/other/forms/raw_data/20260805-gandhari-org-audit.csv,Aryaman Arora; OpenAI Codex,No,source-mapped
pinnow1959versuch,P1959,"Heinz\-Jürgen Pinnow\.
*Versuch einer historischen Lautlehre der Kharia\-Sprache*\.
Otto Harrassowitz, Wiesbaden, 1959\.
Structured SEAlang Munda Dictionary snapshot captured 2026\-08\-28; HTML SHA\-256 c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3; SEAlang distributes the reference material freely but the result page states no separate reuse licence\.
URL: [http://sealang\.net/munda/dictionary/search\.pl?caller=database\\&amp;include=pinnow1959versuch](http://sealang.net/munda/dictionary/search.pl?caller=database\&include=pinnow1959versuch)\.","All 3,340 indexed Munda records; 4,051 form rows after alternant expansion; one record explicitly marked MISSING and one repeated duplicate alternant are audit-only",data/other/forms/20260828-pinnow-munda.csv; data/other/forms/raw_data/20260828-pinnow-munda-audit.csv; data/other/forms/raw_data/20260828-pinnow-munda-manifest.json; data/other/forms/raw_data/20260828-pinnow-munda-sample.csv,OpenAI Codex,No,mixed
munda1968proto,M1968,"Ram Dayal Munda\.
Proto\-kherwarian phonology\.
Master's thesis, University of Chicago, 1968\.
Structured SEAlang Munda Dictionary snapshot captured 2026\-08\-28; HTML SHA\-256 5624d596e1baff95c0a8578b65922a903a34f29ef414a58910c7690d44f4402f; the result page states no separate reuse licence\.
URL: [http://sealang\.net/munda/dictionary/search\.pl?caller=database\\&amp;include=munda1968proto](http://sealang.net/munda/dictionary/search.pl?caller=database\&include=munda1968proto)\.","All 2,768 indexed records: 920 Proto-Kherwarian reconstructions, 923 pre-Mundari records, and 925 Santali records; 2,919 form rows after alternant expansion; no exclusions",data/other/params/20260828-munda-proto-kherwarian.csv; data/other/forms/20260828-munda-proto-kherwarian.csv; data/other/forms/raw_data/20260828-munda-proto-kherwarian-audit.csv; data/other/forms/raw_data/20260828-munda-proto-kherwarian-manifest.json; data/other/forms/raw_data/20260828-munda-proto-kherwarian-sample.csv,OpenAI Codex,No,source
zide1982reconstruction,Z1982,"Arlene R\. K\. Zide\.
*A Reconstruction of Sora\-Gorum Morphology*\.
PhD thesis, University of Chicago, 1982\.
Structured SEAlang Munda Dictionary snapshot captured 2026\-08\-28; HTML SHA\-256 3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68; the result page states no separate reuse licence\.
URL: [http://sealang\.net/munda/dictionary/search\.pl?caller=database\\&amp;include=zide1982reconstruction](http://sealang.net/munda/dictionary/search.pl?caller=database\&include=zide1982reconstruction)\.","All 1,750 indexed Sora and Juray records in 1,011 comparison groups; 2,057 form rows after alternant expansion; no exclusions; the index exposes no protoforms",data/other/forms/20260828-zide-sora-juray.csv; data/other/forms/raw_data/20260828-zide-sora-juray-audit.csv; data/other/forms/raw_data/20260828-zide-sora-juray-manifest.json; data/other/forms/raw_data/20260828-zide-sora-juray-sample.csv,OpenAI Codex,No,source
bhattacharya1968bonda,B1968,"Sudhibhushan Bhattacharya\.
*A Bonda Dictionary*\.
Number 18 in Deccan College Building Centenary and Silver Jubilee Series\.
Deccan College Postgraduate and Research Institute, Poona, 1968\.
Structured SEAlang Munda Dictionary snapshot captured 2026\-08\-28; HTML SHA\-256 ca475126304c29a737b9cb2a359b3c9b7b483b3ac4490032ddb13c42e907c350; keyed with modifications by David Stampe; the result page states no separate reuse licence\.
URL: [http://sealang\.net/munda/dictionary/search\.pl?caller=database\\&amp;include=bhattacharya1968bonda](http://sealang.net/munda/dictionary/search.pl?caller=database\&include=bhattacharya1968bonda)\.","All 2,881 indexed Plains and Hill Bondo records; 3,330 installed rows after alternant expansion; one exact repeated alternant is audit-only",data/other/forms/20260828-bhattacharya-bonda.csv; data/other/forms/raw_data/20260828-bhattacharya-bonda-audit.csv; data/other/forms/raw_data/20260828-bhattacharya-bonda-manifest.json; data/other/forms/raw_data/20260828-bhattacharya-bonda-sample.csv,OpenAI Codex,No,source
tulpule1999,T1999,"Shankar Gopal Tulpule and Anne Feldhaus\.
*A Dictionary of Old Marathi*\.
Popular Prakashan, Mumbai, 1999\.
URL: [https://dsal\.uchicago\.edu/dictionaries/tulpule/](https://dsal.uchicago.edu/dictionaries/tulpule/)\.",Partial,data/other/forms/20260810-tulpule-old-marathi.csv,Aryaman Arora; OpenAI Codex,No,source-mapped
wolf-kota,W2014,"Richard K\. Wolf\.
Kota dictionary\.
Working dictionary based on field material collected 1990–2003, 2014\.
URL: [https://richardkwolf\.com/wp\-content/uploads/2016/12/Kota\-dictionary\-9\-2014\.pdf](https://richardkwolf.com/wp-content/uploads/2016/12/Kota-dictionary-9-2014.pdf)\.",Full,data/other/forms/20260813-wolf-kota.csv,OpenAI Codex,No,
CDIAL,T1962—1966,"Ralph Lilley Turner\.
*A comparative dictionary of the Indo\-Aryan languages*\.
Oxford University Press, 1962–1966\.
URL: [https://dsal\.uchicago\.edu/dictionaries/soas/](https://dsal.uchicago.edu/dictionaries/soas/)\.",Yes,data/cdial/cdial.csv,Aryaman Arora,No,source
mayrhofer-kewa,M1953—1980,"Manfred Mayrhofer\.
*Kurzgefasstes etymologisches Wörterbuch des Altindischen*\.
Indogermanische Bibliothek\. Zweite Reihe: Wörterbücher\.
Carl Winter Universitätsverlag, Heidelberg, 1953–1980\.
Per\-article image edition, copyright 2021 version 1\.0; the site states that scanning was performed with the author's permission; reuse terms are not stated\.
URL: [https://samskrtam\.ru/sanskrit\-lexicon/KEWA/](https://samskrtam.ru/sanskrit-lexicon/KEWA/)\.","All 9,587 indexed articles are image- and OCR-audited; conservatively matched articles are included as exact linked source-scan blocks on canonical CDIAL entries; OCR is audit-only and is neither displayed nor used for matching",data/other/entry_texts/20260818-kewa.csv; data/other/forms/raw_data/20260818-kewa-audit.csv; data/other/forms/raw_data/20260818-kewa-manifest.json; data/other/forms/raw_data/20260818-kewa-sample.csv; data/other/forms/raw_data/20260818-kewa-checklist.md,OpenAI Codex,No,
dedr,B1984,"Thomas Burrow and Murray Barnson Emeneau\.
*A Dravidian Etymological Dictionary*\.
Clarendon Press, Oxford, 2 edition, 1984\.
URL: [https://dsal\.uchicago\.edu/dictionaries/burrow/](https://dsal.uchicago.edu/dictionaries/burrow/)\.",Yes,data/dedr/dedr_new.csv,Aryaman Arora,No,source
