Grapheme	IPA
a	a
á	á
à	à
ã	ã
ã́	ã́
ā	ā
ā́	ā́
ā̀	ā̀
āˋ	ā̀
ã̄	ā̃
ä	æ
ə	ə
ə̃	ə
ʌ	ʌ
ă	ʌ
ắ	ʌ́
a̯	a̯
ã˘	ʌ̃
ᵃ	ᵃ
ᶦ	ᶦ
i	i
í	í
í	í
ì	ì
ï	i
ĩ	ĩ
ī	ī
ī˜	ī̃
ī̃	ī̃
ī́	ī́
ĭ̄	i
ɪ	ɪ
u	u
ú	ú
ù	ù
ũ	ũ
ū	ū
ū́	ū́
ū̀	ū̀
ū̃	ū̃
ü	ü
ǘ	ǘ
ᵘ	ᵘ
ᵘ̈	ᵘ̈
e	e
é	é
ẽ	ẽ
o	o
ó	ó
õ	õ
ē	ē
ḗ	ḗ
ḕ	ḕ
ē̃	ē̃
ē̃́	ē̃́
è	è
ɛ	ɛ
ê	ɛ
ɛ́	ɛ́
ɛ̄	ɛ̄
ō	ō
ṓ	ṓ
ō̃	ō̃
ai	ai
aĩ	ãĩ
au	au
aũ	ãũ
r̥	r̩
ŕ̊	ŕ̩
â	ɔ
ɔ	ɔ
ɔ́	ɔ́
ɔ̃́	ɔ̃́
ɔ̃	ɔ̃
ŏ	ɔ
ǒ	ɔ
k	k
kh	kʰ
g	g
gh	gʰ
ɣ	ɣ
γ	ɣ
ṅ	ŋ
c	c
ch	cʰ
č	c
čh	cʰ
ċ	ʦ
ċh	ʦʰ
c̣	ʦ̣
c̣h	ʦ̣ʰ
j̣	ʣ̣
j̣h	ʣ̣ʰ
j	j
jh	jʰ
ǰ	j
ǰh	jʰ
j̈	ʣ
j̈h	ʣʰ
ñ	ñ
t	t
th	tʰ
d	d
dh	dʰ
n	n
nh	nʰ
ṭ	ṭ
ṭh	ṭʰ
ḍ	ḍ
ḍh	ḍʰ
ṇ	ṇ
p	p
ph	pʰ
b	b
bh	bʰ
m	m
mh	mʰ
ṁ	ṁ
ṃ	ṁ
y	y
r	r
ř	r̆
ŕ	r̆
l	l
lh	lʰ
ɬ	ɬ
v	v
vh	vʰ
w	v
wh	vʰ
s	s
ś	ś
š	ś
ṣ	ṣ
ẓ	ẓ
ž	ź
h	h
ṛ	ṛ
ṛh	ṛʰ
ḷ	ḷ
ḷh	ḷʰ
x	x
f	f
–	
z	z
g̠	ɠ
ḍ̠	ᶑ
j̄	ʄ
ḇ	ɓ
n̆g	ⁿg
ňg	ⁿg
n̆d	ⁿd
n̆ḍ	ⁿḍ
ṇ˘ḍ	ⁿḍ
ňd	ⁿd
m̆b	ᵐb
n̆b	ᵐb
ḥ	ḣ
-	-
_	
,	,
.	.
*	*
̄	̄
̃	̃
́	́
ˊ	́
̀	̀
ĕ	ɛ
ě	ɛ
ě	e
ŭ	u
ṷ	u
ĭ	i
<superscript>ŭ</superscript>	ᵘ̆
ⁱ	ⁱ
i̯	i̯
ô	ɔ
ɔ̈̄	ɔ̌
ò	ò
ò	ò
ʸ	ʸ
ā̤	ǣ
ṹ	ṹ
ễ	ɛ̃
ć	c
R	ʀ
ɨ	ɨ
ε	ε
έ	έ
ὲ	ὲ
ɔ	ɔ
῀	̃
δ	ð
ŕ̥	ŕ̩
¹	
²	
³	
⁶	
ö	ə̄
ȫ	ə̄
ȧ	ə
ü	ɨ
ạ	ǝ
ǟ	ǣ
<smallcaps>ī</smallcaps>	ī
<smallcaps>īˋ</smallcaps>	ī̀
<smallcaps>ī́</smallcaps>	ī́
<smallcaps>í</smallcaps>	í
<smallcaps>ì</smallcaps>	ì
<smallcaps>ĩ</smallcaps>	ĩ
&amp;igravetilde	ĩ̀
&amp;iacutebrev	ɪ́
ᷴ	ᵘ̈
ǖ́	ɨ̄́
ǖ	ɨ̄
ṳ̄	ɨ̄
ˋ	̀
`	
ọ̆	o
ṭḷ	ṭ͡ḷ
ṭl̬	ṭ͡ḷ
ḍḷ	ḍ͡ḷ
ḍhḷ	ḍ͡ḷʰ
ṉ	ṉ
'	'
ǵ	ǵ
s̱	s̱
ḳ	x
x̌	χ
q	q
˅	v
ë	ë
°	°
å	ɔ
o̯	ɔ
e̯	ε
ź	ź
ā̊	ɔ̄
ʰ	ʰ
<superscript>	<sup>
</superscript>	</sup>
