Grapheme	IPA
a	a
á	á
á	á
áa	ā̂
áa	ā̂
aá	ā̌
aá	ā̌
aa	ā
i	i
í	í
í	í
íi	ī̂
íi	ī̂
ií	ī̌
ií	ī̌
ii	ī
u	u
ú	ú
ú	ú
úu	ū̂
úu	ū̂
uú	ū̌
uú	ū̌
uu	ū
o	o
ó	ó
ó	ó
oó	ō̌
oó	ō̌
óo	ō̂
óo	ō̂
oo	ō
e	e
é	é
é	é
eé	ē̌
eé	ē̌
ée	ē̂
ée	ē̂
ee	ē
ng	ŋg
ṅ	ŋ
k	k
kh	kʰ
g	g
gh	gʰ
c	c
č	c
č	c
čh	cʰ
čh	cʰ
j	j
ǰ	j
ǰh	jʰ
ṭ	ṭ
ṭh	ṭʰ
ḍ	ḍ
ḍh	ḍʰ
ṇ	ṇ
t	t
th	tʰ
d	d
dh	dʰ
n	n
nh	nʰ
p	p
ph	pʰ
b	b
bh	bʰ
m	m
mh	mʰ
ts	ʦ
tsh	ʦʰ
c̣	ʦ̣
c̣h	ʦ̣ʰ
j̣	ʣ̣
j̣h	ʣ̣ʰ
y	y
yh	yʰ
r	r
rh	rʰ
l	l
lh	lʰ
w	v
wh	vʰ
š	ś
ṣ	ṣ
ẓ	ẓ
s	s
sh	sʰ
z	z
ṛ	ṛ
,	,
~	̃
h	h
