Grapheme	IPA
+	#
ʌː	ā
ʌ	a
n̪	n
i	i
m	m
k	k
t̪	t
r	r
u	u
l	l
p	p
e	e
ŋ	ŋ
s	s
h	h
a	a
o	o
b	b
eː	ē
iː	ī
d̪	d
oː	ō
j	y
uː	ū
g	g
w	v
tʃ	c
ai	ai
ɔ	o
ʃ	ś
dʒ	j
kʰ	kʰ
ɛ	e
ă	ă
v	v
au	au
t̪ʰ	tʰ
ãː	ā̃
y	y
ʈ	ṭ
ø	ø
ɖ	ḍ
tʃʰ	cʰ
ɽ	ṛ
z	z
ɒ	o
ɲ	ñ
³	³
ɳ	ṇ
θ	θ
²	²
pʰ	pʰ
⁴²	⁴²
gʰ	gʰ
ts	ʦ
aːi	āi
²⁴	²⁴
bʰ	bʰ
ũː	ū̃
²¹	²¹
eiː	eī
ei	ei
⁴	⁴
ũ	ũ
x	x
f	f
ɣ	ɣ
ĩ	ĩ
æ	æ
ŭ	ŭ
ĩː	ī̃
ẽː	ē̃
⁴⁵	⁴⁵
ʈʰ	ṭʰ
ɔɪ	oi
ã	ã
ɭ	ḷ
k̚	k
ʒ	ž
sʰ	sʰ
tsʰ	ʦʰ
⁵⁴	⁵⁴
t̪̚	t
kʲ	kʸ
d̪ʰ	dʰ
ĭ	ĭ
õː	ō̃
dz	ʣ
õ	õ
gʲ	gʸ
mʰ	mʰ
ĕ	ĕ
ẽ	ẽ
ʂ	ṣ
¹²	¹²
ɪ	i
ð	ð
⁴⁴	⁴⁴
n	n
²³	²³
ŏ	ŏ
ɛ̃	ẽ
j̚	y
n̪̊ʰ	n̥ʰ
ɖʰ	ḍʰ
əʊ	əu
dʒʰ	jʰ
hʲ	hʸ
³²	³²
q	q
c	c
øː	ø̄
aː	ā
p̚	p
t	t
á	á
d	d
ɽʰ	ṛʰ
c̚	c
y̆	y̆
ɻ	ṛ
ʐ	ẓ
ðˤ	ðˤ
ɿ	ɿ
n̪̊	n̥
ɛː	ē
tʰ	tʰ
yː	ȳ
øy	øy
y̜	y̜
ø̜	ø̜
l̚	l
³³	³³
ɡ̚	g
g̱	g̱
ɸ	ɸ
ə	ə
v̚	v
ɯ	ɯ
r̚	r
tˤ	tˤ
ɑ	ā
ɕ	ś
ỹ	ỹ
tɕ	ʦ̣
tɕʰ	ʦ̣ʰ
ɪː	ī
ʌ̃ː	ā̃
ɛ̃ː	ē̃
ɯ̃	ɯ̃
⁴³	⁴³
d̪ˤ	dˤ
mˤ	mˤ
¹³	¹³
ø̜ː	ø̜̄
ʌ̃	ã
n̚	n
ou	ou
rˡ	rˡ
s̚	s
xʷ	xʷ
z̚	z
¹	¹
æ̃	æ̃
ø̃	ø̃
ɔː	ō
ɪ̃	ĩ
ʅ	ʅ
ʋ	v
⁵³	⁵³
