Grapheme	IPA
bʰˑ	bʰˑ
dʒʰ	jʰ
gʰ	gʰ
gː	gg
d̪ʒ	j
d̪ʰ	dʰ
d̪ː	dd
i̯ː	ī̯
tʃʰ	cʰ
tʃʲ	cʲ
t̪ʃ	c
t̪ʰ	tʰ
t̪ː	tt
t̪ˑ	tˑ
ɔ̯ˑ	ɔ̯ˑ
ɪ̃ː	ɪ̄̃
(ʷ	(ʷ
aʰ	aʰ
aː	ā
aˑ	aˑ
a̯	a̯
bʰ	bʰ
bʷ	bʷ
bː	bb
bⁿ	bⁿ
dʒ	j
dʰ	dʰ
dː	dd
dˑ	dˑ
d̆	d̆
d̪	d
eː	ē
eˑ	eˑ
eⁿ	eⁿ
hʰ	hʰ
iː	ī
iˑ	iˑ
i̯	i̯
jː	yy
kʰ	kʰ
kː	kk
kˑ	kˑ
k̪	k
kⁿ	kⁿ
lː	ll
lˑ	lˑ
l̆	l̆
mː	mm
mˑ	mˑ
mⁿ	mⁿ
nː	nn
nˑ	nˑ
n̪	n
oʰ	oʰ
oː	ō
oˑ	oˑ
o̯	o̯
pʰ	pʰ
pʲ	pʲ
pː	pp
pˑ	pˑ
pⁿ	pⁿ
rʰ	rʰ
rː	rr
rˑ	rˑ
r̆	r̆
r̪	r
sʰ	sʰ
sː	ss
sˑ	sˑ
s̪	s
tʃ	c
tʰ	tʰ
tʲ	tʲ
tː	tt
tˑ	tˑ
t̪	t
uː	ū
uˑ	uˑ
u̯	u̯
vː	vv
vˑ	vˑ
v̆	v̆
wː	vv
zʰ	zʰ
ɔː	ɔ̄
ɔˑ	ɔˑ
ɖʰ	ḍʰ
ɖː	ḍḍ
ɖ̆	ḍ̆
ə̆	ə̆
ə̯	ə̯
ɛʷ	ɛʷ
ɛː	ɛ̄
ɛˑ	ɛˑ
ɛ̃	ɛ̃
ɡʰ	gʰ
ɡː	gg
ɡˑ	gˑ
ɣʰ	ɣʰ
ɨ̯	ɨ̯
ɪː	ɪ̄
ɪ̯	ɪ̯
ɭː	ḷḷ
ɭˑ	ḷˑ
ɳː	ṇṇ
ɵ̯	ɵ̯
ɸʰ	ɸʰ
ɾː	rr
ɾˑ	rˑ
ʈʰ	ṭʰ
ʈː	ṭṭ
ʈˑ	ṭˑ
ʌʰ	ʌʰ
ʌː	ʌ̄
ʌ̃	ʌ̃
ʌ̯	ʌ̯
βʰ	βʰ
βʷ	βʷ
(	(
)	)
a	a
b	b
c	c
d	d
e	e
f	f
g	g
h	h
i	i
j	y
k	k
l	l
m	m
n	n
o	o
p	p
q	q
r	r
s	s
t	t
u	u
v	v
w	v
x	x
y	y
z	z
-	-
ã	ã
æ	æ
ð	ð
õ	õ
ă	ă
ħ	ħ
ĩ	ĩ
ĭ	ĭ
ŋ	ŋ
ũ	ũ
ɑ	ā
ɔ	ɔ
ɖ	ḍ
ə	ə
ɛ	ɛ
ɡ	g
ɣ	ɣ
ɤ	ɤ
ɦ	h
ɨ	ɨ
ɪ	ɪ
ɬ	ɬ
ɭ	ḷ
ɲ	ñ
ɳ	ṇ
ɵ	ɵ
ɸ	ɸ
ɽ	ṛ
ɾ	r
ʃ	ś
ʈ	ṭ
ʊ	ʊ
ʋ	v
ʌ	ʌ
ʍ	ʍ
ʒ	ž
ʔ	ʔ
ʷ	ʷ
β	β
ẽ	ẽ
