Grapheme	IPA
áa	ā̂
áa	ā̂
aá	ā̌
aá	ā̌
aa	ā
íi	ī̂
íi	ī̂
ií	ī̌
ií	ī̌
ii	ī
úu	ū̂
úu	ū̂
uú	ū̌
uú	ū̌
uu	ū
óo	ō̂
óo	ō̂
oó	ō̌
oó	ō̌
oo	ō
ée	ē̂
ée	ē̂
eé	ē̌
eé	ē̌
ee	ē
qh	qʰ
kh	kʰ
gh	gʰ
čh	cʰ
ch	cʰ
c̣h	ʦ̣ʰ
c̣	ʦ̣
j̣h	ʣ̣ʰ
j̣	ʣ̣
ṭh	ṭʰ
ḍh	ḍʰ
th	tʰ
dh	dʰ
ph	pʰ
bh	bʰ
tsh	ʦʰ
ts	ʦ
nh	nʰ
mh	mʰ
yh	yʰ
rh	rʰ
lh	lʰ
wh	vʰ
ng	ŋg
a	a
á	á
ã	ã
e	e
é	é
i	i
í	í
o	o
ó	ó
õ	õ
u	u
ú	ú
k	k
g	g
q	q
c	c
č	c
Č	C
j	j
ǰ	j
ṭ	ṭ
ḍ	ḍ
ṇ	ṇ
t	t
d	d
n	n
ŋ	ŋ
p	p
b	b
m	m
y	y
r	r
l	l
w	v
š	ś
Š	Ś
ś	ś
ṣ	ṣ
z	z
ž	ž
ẓ	ẓ
s	s
h	h
f	f
v	v
x	x
γ	ɣ
ɣ	ɣ
ṛ	ṛ
ł	ł
đ	đ
ć	ć
ā	ā
ą	ą
İ	İ
ń	ń
ņ	ņ
ő	ő
ũ	ũ
ŭ	ŭ
ű	ű
ź	ź
ṍ	ṍ
ỵ	ỵ
Í	Í
Ñ	Ñ
N	N
O	O
R	R
T	T
U	U
Z	Z
́	́
̣	̣
ˊ	ˊ
-	-
!	!
""""	""""
ʼ	ʼ
(	(
)	)
*	*
,	,
.	.
/	/
7	7
:	:
=	=
?	?
@	@
]	]
‘	‘
“	“
”	”
$	$
'	'
å	å
ð	ð
ñ	ñ
ù	ù
 	#
