Grapheme	IPA	Phon
́	̌	̌
̀	̂	̂
̄	̄	̄
̃	̃	̃
kh	kʰ	kʰ
gh	gʰ	gʰ
ph	pʰ	pʰ
bh	bʰ	bʰ
th	tʰ	tʰ
dh	dʰ	dʰ
ṭh	ṭʰ	ʈʰ
ḍh	ḍʰ	ɖʰ
ċh	ʦʰ	t͡sʰ
c̣h	ʦ̣ʰ	ʈ͡ʂʰ
čh	cʰ	t͡ʃʰ
ċ	ʦ	t͡s
c̣	ʦ̣	ʈ͡ʂ
č	c	t͡ʃ
c	c	t͡ʃ
ṭ	ṭ	ʈ
ḍ	ḍ	ɖ
ṇ	ṇ	ɳ
ṛ	ṛ	ɽ
ṣ	ṣ	ʂ
ṅ	ŋ	ŋ
š	ś	ʃ
ẓ	ẓ	ʐ
ž	ž	ʒ
s	s	s
z	z	z
k	k	k
g	g	g
p	p	p
b	b	b
t	t	t
d	d	d
m	m	m
n	n	n
l	l	l
r	r	r
h	h	h
y	y	y
v	v	v
w	v	w
ɣ	ɣ	ɣ
ʒ	ž	ʒ
G	ɢ	ɢ
q	q	q
x	x	x
f	f	f
˚	ᵃ	ᵃ
a	a	a
ʌ	a	ʌ
ə	a	ə
ɜ	a	ɜ
ɑ	a	ɑ
i	i	i
u	u	u
e	e	e
o	o	o
ɛ	ɛ	ɛ
ɔ	ɔ	ɔ
ä	æ	æ
ö	ø	ø
ü	y	y
ï	i	ɨ
ë	e	ə
ụ	u	ʉ
-	-	-
