Borrower_ID,Source_ID
16,d23
49,d13
50,d5
179,d83
187,d83
188,d83
189,d83
191,d72
222,d142
292,d327
491,d155
1695,d1039
1699,d664
2360,d672
2512,d5152
2522,d907
2547,d587
2595,d2125
2621,d1104
2639,d1109
2645,d1123
2650,d1148
2684,d1374
2710,d1116
2723,d1171
2755,d1337
2780,d1385
2795,d1265
2800,d1164
2813,d2069
2918,d1297
2927,d1297
2950,d1374
2955,d241
2957,d1221
2960,d1222
2963,d1187
3009,d1417
3016,d1107
3023,d1160
3028,d1418
3031,d372
3083,d1494
3227,d1651
3229,d1650
3232,d1655
3244,da32
3246,d1827
3257,d1822
3264,d1669
3266,d2081
3286,d1722
3335,d2153
3340,d1883
3350,d1883
3392,d1882
3401,d1741
3412,d1705
3462,d2026
3465,d2004
3493,d1655
3496,d1660
3502,d1651
3504,d2209
3527,d2149
3769,d1158
3801,d1180
3827,d1104
3854,d1104
3938,d1732
3998,d1946
4153,d1519
4176,d1865
4216,d1829
4271,d2069
4275,da33
4286,d1338
4324,d1338
4479,d1946
4494,d1871
4525,d1883
4546,d3003
4673,d2335
4736,d2306
4738,d2306
4780,d2488
4781,d2495
4843,d2491
4860,d2724
4879,d2709
4883,d2721
5073,d2856
5539,d449
5723,d3411
5747,d3121
5855,d3343
5904,d3393
5974,d3555
6173,d3069
7038,d3732
7552,d3690
7620,d4047
7688,d3836
7698,d4250
7705,d3868
7716,d3893
7781,d3988
7972,d4018
8031,d4064
8042,d3881
8214,d4198
8240,d4312
8256,d4259
8264,d4335
8313,d4048
8391,d4452
8399,d4587
8794,d3998
9011,d4352
9702,d4900
9721,d4640
9748,d5106
9865,d4642
9882,d4626
9907,d4730
9920,d5101
9996,d4796
10092,d4827
10140a,d4885
10144,d4888
10146,d4893
10150,d4932
10152,d4959
10209,d4982
10210,d4973
10214,d4973
10313,d5072
11212,d5220
11429,d5316
11503,d5301
11584,d5370
12046,d5515
12115,d5479
12356,d2426
13392,d2599
13417,d2535
14165,d903
14174,d1039
14175,d959
14302,d690
