ID,Entry_ID,Compared_Entry_ID,Relation,Direction,Confidence,Source,Evidence
cdial:10000:dedr:d4810,10000,d4810,related,undetermined,low,CDIAL[entry 10000],"[Cf. Kan. mādiga 'man of very low caste, cobbler', Tel. mādige DED 3942]"
cdial:10055:dedr:d4813,10055,d4813,related,undetermined,medium,CDIAL[entry 10055],[Nursery word: similar words in Drav. DED 3945]
cdial:10092:dedr:d4827,10092,d4827,loan,entry-from-compared,high,CDIAL[entry 10092],"[← Drav., Tam. mālai 'wreath' &c. DED 3954, EWA ii 628 with lit. Derivation from * vr̥tman - (P. Tedesco JAOS 67, 87) is phonet. unacceptable]"
cdial:10118:dedr:d4519,10118,d4519,related,undetermined,low,CDIAL[entry 10118],"[Cf. Khot. nä-mäjs - 'to blink', Bal. mičāč 'eyelids', Russ. migatĭ 'to blink', Kur. mīnxnā 'to close the eyes' DED 3693, and * miṭṭ - 'to close the eyes', Kan. miṭakisa 'to blink' DED 3969; further miṣánt - 'with open eyes' RV., √ mīl in sáṁ mīlya 'with closed eyes' RV. A non-Aryan or widespread onom. word, scarcely (like Lat. micāre 'to sparkle', Tam. mĩcu 'to flash') to be assigned to a common IE. root (J. C. W.)]"
cdial:10118:dedr:d4845,10118,d4845,related,undetermined,low,CDIAL[entry 10118],"[Cf. Khot. nä-mäjs - 'to blink', Bal. mičāč 'eyelids', Russ. migatĭ 'to blink', Kur. mīnxnā 'to close the eyes' DED 3693, and * miṭṭ - 'to close the eyes', Kan. miṭakisa 'to blink' DED 3969; further miṣánt - 'with open eyes' RV., √ mīl in sáṁ mīlya 'with closed eyes' RV. A non-Aryan or widespread onom. word, scarcely (like Lat. micāre 'to sparkle', Tam. mĩcu 'to flash') to be assigned to a common IE. root (J. C. W.)]"
cdial:10140a:dedr:d4885,10140a,d4885,loan,entry-from-compared,high,CDIAL[entry 10140a],"[← Drav. Tam. mīṉ &c., DED 3999]"
cdial:10144:dedr:d4888,10144,d4888,loan,entry-from-compared,low,CDIAL[entry 10144],"[← Drav., Tam. mukaṭu 'top' &c., DED 4002; mauli - m.f. 'diadem, etc.' MBh. is MIA. (cf. EWA ii 694)]"
cdial:10146:dedr:d4893,10146,d4893,loan,entry-from-compared,low,CDIAL[entry 10146],"[Cf. similar interchange of initial in bakula -¹. — ← Drav., Tam. mokkuḷ &c., DED 4007; also mudgara -² m. 'bud' lex. with same variation of - k - ~ - dg - as in mukuṣṭha -]"
cdial:10152:dedr:d4959,10152,d4959,loan,entry-from-compared,medium,CDIAL[entry 10152],"(Lüders PhilInd 179 < * mūrtā -: mūrtá -; but rather, with mutya - n. lex., ← Drav., Tam. muttu , muruntu &c., DED 4062)"
cdial:10186:dedr:d4927,10186,d4927,influence,entry-from-compared,low,CDIAL[entry 10186],"[Cf. mū́ta - m.n. 'woven basket' TBr., mū̆ṭa -, mōṭa -¹, mūtōḍī (Pa. mū̆tōḷī -, v.l. mū̆ṭōlī - with which compare * murōṭati above) 'basket, bundle' BHSk. ← Drav. (Tam. muṭai 'to plait, braid' DED 4036, mūṭai 'bundle' DED 4134 prob. unconnected with muṭai ). Partly (cf. galamōṭana -) collides with muṭáti 'ākṣēpē, pramardanē' Dhātup.← Drav. (Tam. muṭṭu 'to dash against' DED 4041) and poss. infl. by √ mr̥d (see múṇṭati ). Cf. also * mōṭa -² 'wicker stool' (J. C. W.). — √ muṭ ]"
