Form_ID,Source
d1,"dedr[entry 1, DED(S, N) 1, DEN 4]"
d10,"dedr[entry 10, DED 11]"
d100,"dedr[entry 100, DED 90]"
d1000,"dedr[entry 1000, DED(S) 841]"
d1001,"dedr[entry 1001, DEDS 121]"
d1002,"dedr[entry 1002, DED 842]"
d1003,"dedr[entry 1003, DED(S, N) 843]"
d1004,"dedr[entry 1004, DED(S) 844]"
d1005,"dedr[entry 1005, DED(S, N) 845]"
d1006,"dedr[entry 1006, DED(S) 846]"
d1007,"dedr[entry 1007, DED(S) 847]"
d1008,dedr[entry 1008]
d1009,"dedr[entry 1009, DED(S, N) 848]"
d101,"dedr[entry 101, DED 91]"
d1010,"dedr[entry 1010, DED(S) 849]"
d1011,"dedr[entry 1011, DED 850]"
d1012,"dedr[entry 1012, DED(S) 851]"
d1013,"dedr[entry 1013, DED 852]"
d1014,"dedr[entry 1014, DEDS 122]"
d1015,"dedr[entry 1015, DED(S, N) 853]"
d1016,"dedr[entry 1016, DED(S) 854]"
d1017,"dedr[entry 1017, DED(S) 855]"
d1018,"dedr[entry 1018, DED 856]"
d1019,"dedr[entry 1019, DED(S) 857]"
d102,"dedr[entry 102, DED 92]"
d1020,"dedr[entry 1020, DED 858]"
d1021,"dedr[entry 1021, DED(S) 859]"
d1022,"dedr[entry 1022, DED 860]"
d1023,"dedr[entry 1023, DED 861]"
d1024,"dedr[entry 1024, DEDS 124]"
d1025,"dedr[entry 1025, DED 862]"
d1026,"dedr[entry 1026, DED 863]"
d1027,"dedr[entry 1027, DED 864]"
d1028,"dedr[entry 1028, DED 865]"
d1029,"dedr[entry 1029, DED(S) 866]"
d103,"dedr[entry 103, DED 93]"
d1030,"dedr[entry 1030, DED(S) 867]"
d1031,"dedr[entry 1031, DED 868]"
d1032,"dedr[entry 1032, DED(S) 869]"
d1033,"dedr[entry 1033, DED(S) 870]"
d1034,"dedr[entry 1034, DED 871]"
d1035,"dedr[entry 1035, DED 872]"
d1036,"dedr[entry 1036, DED(S) 873]"
d1037,"dedr[entry 1037, DEDS 125]"
d1038,"dedr[entry 1038, DED(S) 875]"
d1039,"dedr[entry 1039, DED(N) 876]"
d104,"dedr[entry 104, DED 94]"
d1040,"dedr[entry 1040, DEDS 126]"
d1041,"dedr[entry 1041, DED(S, N) 877]"
d1042,"dedr[entry 1042, DED(S) 878]"
d1043,"dedr[entry 1043, DED(S, N) 879]"
d1044,"dedr[entry 1044, DED 880]"
d1045,dedr[entry 1045]
d1046,"dedr[entry 1046, DED 881]"
d1047,"dedr[entry 1047, DED(S) 882]"
d1048,"dedr[entry 1048, DED 883]"
d1049,"dedr[entry 1049, DED 884]"
d105,dedr[entry 105]
d1050,dedr[entry 1050]
d1051,"dedr[entry 1051, DED 885]"
d1052,"dedr[entry 1052, DED 886]"
d1053,"dedr[entry 1053, DED(S) 887]"
d1054,"dedr[entry 1054, DED 890]"
d1055,dedr[entry 1055]
d1056,"dedr[entry 1056, DED 891]"
d1057,"dedr[entry 1057, DEDS 128]"
d1058,"dedr[entry 1058, DED 892]"
d1059,"dedr[entry 1059, DED 893]"
d106,"dedr[entry 106, DEDS 17]"
d1060,"dedr[entry 1060, DED(S) 894]"
d1061,"dedr[entry 1061, DED(S) 895]"
d1062,"dedr[entry 1062, DED(S) 896]"
d1063,"dedr[entry 1063, DED(S) 897]"
d1064,"dedr[entry 1064, DED(S) 898]"
d1065,"dedr[entry 1065, DED 899]"
d1066,"dedr[entry 1066, DED 900]"
d1067,"dedr[entry 1067, DEDS 127]"
d1068,"dedr[entry 1068, DED 901]"
d1069,"dedr[entry 1069, DED 902]"
d107,"dedr[entry 107, DEDS 18, DED 58]"
d1070,"dedr[entry 1070, DED(S) 903]"
d1071,"dedr[entry 1071, DED(S, N) 904]"
d1072,"dedr[entry 1072, DEDS 129]"
d1073,"dedr[entry 1073, DED(S) 905]"
d1074,dedr[entry 1074]
d1075,"dedr[entry 1075, DED 906]"
d1076,"dedr[entry 1076, DED 907]"
d1077,dedr[entry 1077]
d1078,"dedr[entry 1078, DED 908]"
d1079,"dedr[entry 1079, DED(S) 909]"
d108,"dedr[entry 108, DEDS 19]"
d1080,"dedr[entry 1080, DEDS 130]"
d1081,"dedr[entry 1081, DED(N) 910]"
d1082,"dedr[entry 1082, DED 911]"
d1083,"dedr[entry 1083, DEDS 131]"
d1084,"dedr[entry 1084, DED 912]"
d1085,"dedr[entry 1085, DED 913]"
d1086,"dedr[entry 1086, DED(S) 914]"
d1087,"dedr[entry 1087, DED 915]"
d1088,"dedr[entry 1088, DED(S, N) 916]"
d1089,"dedr[entry 1089, DED(S) 917]"
d109,"dedr[entry 109, DED(S) 95]"
d1090,"dedr[entry 1090, DEDS 133]"
d1091,"dedr[entry 1091, DED(S) 918]"
d1092,"dedr[entry 1092, DEDS 134]"
d1093,"dedr[entry 1093, DEDS 132]"
d1094,"dedr[entry 1094, DED 919]"
d1095,"dedr[entry 1095, DEDS 137]"
d1096,"dedr[entry 1096, DEDS 138]"
d1097,"dedr[entry 1097, DED(S, N) 920]"
d1098,"dedr[entry 1098, DED 921]"
d1099,"dedr[entry 1099, DEDS 139, DEDS 141]"
d11,"dedr[entry 11, DED(S, N) 12]"
d110,"dedr[entry 110, DED 96]"
d1100,"dedr[entry 1100, DED 923]"
d1101,"dedr[entry 1101, DED 924]"
d1102,"dedr[entry 1102, DEDS 135]"
d1103,"dedr[entry 1103, DEDS 136]"
d1104,"dedr[entry 1104, DED(S) 925]"
d1105,"dedr[entry 1105, DEDS 140]"
d1106,"dedr[entry 1106, DED(S) 926]"
d1107,"dedr[entry 1107, DED(S) 927]"
d1108,"dedr[entry 1108, DED 928]"
d1109,"dedr[entry 1109, DED(S, N) 929]"
d111,"dedr[entry 111, DEDS 20]"
