Form_ID,Etymon_ID,Kind,Rank,Status,Source,Notes
f_25nutd7gxmx3m,12335,borrowed,1,accepted,,
f_2tmcu5ouhhhgy,f_dflfrauokwoti,borrowed,1,accepted,,
f_2z6n64b2o5db2,11225,reflex,1,accepted,,
f_3fykh7k6ckgie,1533-2,reflex,1,accepted,,
f_3ivfgtijcmpbe,3243,reflex,1,accepted,,
f_3pewpjtt3ytfa,492a,reflex,1,accepted,,
f_3x4dqfwl55qz2,5071,reflex,1,accepted,,
f_447ixi6yho6oq,12452,reflex,1,accepted,,
f_44vm4c44th3c6,12452,reflex,1,accepted,,
f_46b5brgcr5eqe,1697-2,reflex,1,accepted,,
f_4bh3ckl7xbydq,5219,reflex,1,accepted,,
f_4cpyxeoxaf3qe,4272,reflex,1,accepted,,
f_4dd4dcdmjkjkg,9209,reflex,1,accepted,,
f_4nl3vhtdtstny,3243,reflex,1,accepted,,
f_4ulyawub7niwe,9692,reflex,1,accepted,,
f_5fplonzvetsla,9758-2,reflex,1,accepted,,
f_5kt426sbitxpo,9500,reflex,1,accepted,,
f_5rlr2prke5wp4,1533-2,reflex,1,accepted,,
f_5v3ikxjbhfp3q,2757,reflex,1,accepted,,
f_5zmzcqojvhwxo,13676,reflex,1,accepted,,
f_67nmuch6ys3uu,2178-2,reflex,1,accepted,,
f_6c2ag4jefb7f2,2757,reflex,1,accepted,,
f_6dmqxr3jr64dc,1697-2,reflex,1,accepted,,
f_6jsnwqev4ee7a,1533-2,reflex,1,accepted,,
f_7ab62kzjxin32,9349,reflex,1,accepted,,
f_7f4add2zujbwy,10951,reflex,1,accepted,,
f_7sju774ez4qxi,1533-2,reflex,1,accepted,,
f_7u3avhjjmh7ek,f_jg7fkl55nyhjm,reflex,1,accepted,,
f_a5bsx4pad4dn2,5679,reflex,1,accepted,,
f_a6l4aem34kc42,5853,reflex,1,accepted,,
f_a7w47mj33scjq,7627,reflex,1,accepted,,
f_akcfweoq4e2k6,9758-2,reflex,1,accepted,,
f_alws6pqrlmdsa,1111,reflex,1,accepted,,
f_ao5kk7hu73tom,11572,reflex,1,accepted,,
f_awhc3r6zfdesg,10702,reflex,1,accepted,,
f_bchllv5q65kdq,f_vbtodh3gxxoq2,borrowed,1,accepted,,
f_biwccdh7zkzja,6198,reflex,1,accepted,,
f_bnucrp6u4jrwo,11225,reflex,1,accepted,,
f_bsudkfph272cq,9964,reflex,1,accepted,,
f_btrb3xv63qjui,5853,reflex,1,accepted,,
f_byokfkv75vl3q,3208,reflex,1,accepted,,
f_c4iebemjuqxhm,12452,reflex,1,accepted,,
f_cab4bsk6jxxp4,9749,reflex,1,accepted,,
f_capyaokkmtsps,4147-3,reflex,1,accepted,,
f_cxzqdzhtcemss,11572,reflex,1,accepted,,
f_cyanm5y7isuxq,13676,reflex,1,accepted,,
f_d2gjwt7fndv3k,11572,reflex,1,accepted,,
f_d4ihcnd66dugw,7627,reflex,1,accepted,,
f_dmw5l756bs7rg,1533-2,reflex,1,accepted,,
f_dq6omtyfbgs5o,1111,reflex,1,accepted,,
