Ancestor_ID,Proto_Nuristani_ID,Indo_Aryan_ID,Evidence
pii-7949,n16,7949,numeric IA ancestor
pii-7949,n17,7949,numeric IA ancestor
pii-8228,n55,8228,exact Strand ancestor headword + matching gloss
pii-8242,n62,8242,exact Strand ancestor headword + matching gloss
pii-8218,n70,8218,manually reviewed Strand ancestor and CDIAL head
pii-8236,n74,8236,manually reviewed Strand ancestor and CDIAL head
pii-7986,n78,7986,manually reviewed Strand ancestor and CDIAL head
pii-7621,n88,7621,exact duplicated reflex + matching Strand ancestor
pii-7621,n89,7621,exact duplicated reflex + matching Strand ancestor
pii-7621,n90,7621,exact Strand ancestor headword + matching gloss
pii-8540,n107,8540,exact Strand ancestor headword + matching gloss
pii-8343,n113,8343,exact duplicated reflex + matching Strand ancestor
pii-7918,n121,7918,manually reviewed Strand ancestor and CDIAL head
pii-7948,n131,7948,exact duplicated reflex + matching Strand ancestor
pii-7948,n132,7948,exact Strand ancestor headword + matching gloss
pii-7948,n133,7948,exact Strand ancestor headword + matching gloss
pii-8118,n136,8118,exact Strand ancestor headword + matching gloss
pii-7733,n154,7733,exact duplicated reflex + matching Strand ancestor
pii-7736,n156,7736,exact Strand ancestor headword + matching gloss
pii-8330,n177,8330,exact Strand ancestor headword + matching gloss
pii-8330,n178,8330,exact duplicated reflex + matching Strand ancestor
pii-8287,n190,8287,exact Strand ancestor headword + matching gloss
pii-7953,n194,7953,exact duplicated reflex + matching Strand ancestor
pii-7962,n203,7962,exact duplicated reflex + matching Strand ancestor
pii-7655,n214,7655,exact duplicated reflex + matching Strand ancestor
pii-7662,n216,7662,manually reviewed Strand ancestor and CDIAL head
pii-7662,n217,7662,manually reviewed Strand ancestor and CDIAL head
pii-9090,n230,9090,exact duplicated reflex + matching Strand ancestor
pii-8306,n236,8306,exact duplicated reflex + matching Strand ancestor
pii-8310,n243,8310,numeric IA ancestor
pii-8310,n244,8310,numeric IA ancestor
pii-8310,n245,8310,numeric IA ancestor
pii-7785,n267,7785,exact duplicated reflex + matching Strand ancestor
pii-8125,n271,8125,exact duplicated reflex + matching Strand ancestor
pii-8125-2,n274,8125-2,exact Strand ancestor headword + matching gloss
pii-8209,n278,8209,exact duplicated reflex + matching Strand ancestor
pii-9235,n325,9235,manually reviewed Strand ancestor and CDIAL head
pii-9235,n326,9235,manually reviewed Strand ancestor and CDIAL head
pii-9430,n352,9430,exact Strand ancestor headword + matching gloss
pii-9430,n354,9430,exact duplicated reflex + matching Strand ancestor
pii-9331,n357,9331,exact duplicated reflex + matching Strand ancestor
pii-9434,n360,9434,exact Strand ancestor headword + matching gloss
pii-9480,n368,9480,exact Strand ancestor headword + matching gloss
pii-9229,n372,9229,manually reviewed Strand ancestor and CDIAL head
pii-9416,n377,9416,exact Strand ancestor headword + matching gloss
pii-9416,n378,9416,exact Strand ancestor headword + matching gloss
pii-9475,n389,9475,manually reviewed Strand ancestor and CDIAL head
pii-9556,n392,9556,exact duplicated reflex + matching Strand ancestor
pii-9276,n400,9276,exact Strand ancestor headword + matching gloss
pii-9277,n403,9277,exact Strand ancestor headword + matching gloss
pii-9277,n404,9277,exact Strand ancestor headword + matching gloss
pii-9277,n407,9277,manually reviewed Strand ancestor and CDIAL head
pii-9459,n411,9459,exact duplicated reflex + matching Strand ancestor
pii-9588,n414,9588,exact Strand ancestor headword + matching gloss
pii-9464,n419,9464,exact duplicated reflex + matching Strand ancestor
pii-9570,n428,9570,manually reviewed Strand ancestor and CDIAL head
pii-9659,n431,9659,exact Strand ancestor headword + matching gloss
pii-9659-2,n434,9659-2,exact Strand ancestor headword + matching gloss
pii-9136,n446,9136,exact Strand ancestor headword + matching gloss
pii-9139,n448,9139,exact Strand ancestor headword + matching gloss
pii-9661,n462,9661,exact duplicated reflex + matching Strand ancestor
pii-9661,n463,9661,exact Strand ancestor headword + matching gloss
pii-9661,n464,9661,exact Strand ancestor headword + matching gloss
pii-9688,n468,9688,manually reviewed Strand ancestor and CDIAL head
pii-12111,n484,12111,numeric IA ancestor
pii-11209,n494,11209,numeric IA ancestor
pii-11209,n495,11209,numeric IA ancestor
pii-11209,n496,11209,numeric IA ancestor
pii-12067,n526,12067,numeric IA ancestor
pii-12233,n531,12233,numeric IA ancestor
pii-12233,n532,12233,numeric IA ancestor
pii-9981,n553,9981,exact duplicated reflex + matching Strand ancestor
pii-9758,n566,9758,exact duplicated reflex + matching Strand ancestor
pii-9758,n567,9758,manually reviewed Strand ancestor and CDIAL head
pii-10049,n581,10049,manually reviewed Strand ancestor and CDIAL head
pii-9828,n582,9828,exact duplicated reflex + matching Strand ancestor
pii-9828,n583,9828,exact duplicated reflex + matching Strand ancestor
pii-10124,n616,10124,exact Strand ancestor headword + matching gloss
pii-10124,n617,10124,exact Strand ancestor headword + matching gloss
pii-10124,n618,10124,exact Strand ancestor headword + matching gloss
