Bur,11433,abáś,"difficulty, unhappiness; difficult",,,NH; ?,berger[p. 11],,"sh. abáś, vgl. T 11433?",berger-entry-27,,,,adv noun dialect:Hunza dialect:NH uncertain
Bur,8000,aćári,"backward (village, area)",,,y hz. ng.; ?,berger[p. 11],,"vgl. kho. aćhár ""hinten"", T 8000?",berger-entry-40,,,,dialect:Hunza dialect:NH uncertain
Bur,1464,aćhará,"confused, headless, frightened, mentally unstable; (soil) miserable, barren, (harvest year) bad",,,hz. ng.,berger[p. 11],,"sh. aćhará, zu T 1464",berger-entry-43,,,,verb dialect:Hunza dialect:Nager uncertain
Bur,47,ac̣héemo,"villainous, vicious, insidious; therefore harmless: severe killers (especially in love matters)",,,,berger[p. 12],,"sh. açhéemo, T 47",berger-entry-52,,,,f pl dialect:Hunza uncertain
Bur,1154,adít,sunday,,,y hz. ng.,berger[p. 12],,"sh. adit, T 1154",berger-entry-57,,,,noun dialect:Hunza dialect:Nager uncertain
Bur,644,áḍa,"remaining, remaining; lesser, unworthy",,,,berger[p. 12],,"ys. áde, vgl. T 644",berger-entry-58,,,,dialect:Hunza uncertain
Werch,644,áḍe,"remaining, remaining; less good, unworthy",,,,berger[p. 12],,"ys. áde, vgl. T 644",berger-entry-58-dialect-1,,,,dialect:Yasin alternate uncertain
Bur,118,agón,"courtyard around the moon; circle (of people); upper room, veranda, reception room",,,,berger[p. 13],,T 118,berger-entry-69,,,,pl dialect:Hunza uncertain
Bur,12070,(ajá-)biṭi( ét-),"to work hard, to work hard",,,NH,berger[p. 13],,biṭi zu T 12070?,berger-entry-78,,,,verb dialect:Hunza dialect:NH uncertain
Bur,5281,(a)jóono,"stranger, stranger",,,,berger[p. 13],,"sh. ajóono, a- + T 5281?",berger-entry-87,,,,dialect:Hunza uncertain
Bur,708,alaláso,"weak, weak (people, plants)",,,,berger[p. 15],,vgl. T 708 und 1371,berger-entry-117,,,,dialect:Hunza uncertain
Bur,708,alúuśo,see alaláso,,,,berger[p. 17],,,berger-entry-166,,,,dialect:Hunza uncertain
Bur,569,amúko,"horrible-, horrible-looking, NH fearless, angry, angry",,,,berger[p. 18],,vgl. T 569,berger-entry-189,,,,dialect:Hunza dialect:NH uncertain
Werch,126,aṅáro,tuesday,,,y,berger[p. 19],,"ys. aṅãro L, sh. aṅgáaro, T 126",berger-entry-204-dialect-1,,,,noun dialect:Hunza uncertain
Bur,1452,aśamát,"first solid food of children, flour in hot water mixed with butter",,,?,berger[p. 23],,"vgl. kho. aśimát ""gekochte Speisen als Abgabe an den Fürsten""; zu T 1452?",berger-entry-289,,,,dialect:Hunza uncertain
Bur,5886,atúulo,"easy, weak",,,,berger[p. 23],,"sh. atúulo, vgl. T 5886",berger-entry-310,,,,dialect:Hunza uncertain
Bur,13747,(a)théero,"young, inexperienced",,,,berger[p. 23],,"sh. athéero, 'a2 + T 13747",berger-entry-311,,,,dialect:Hunza uncertain
Bur,2527,awá,yes,,,?,berger[p. 24],,ys. sh. awá; T 2527?,berger-entry-323,,,,dialect:Hunza uncertain
Bur,1197,awaáji,"necessary, necessary",,,,berger[p. 24],,"sh. awaájei 3.sg.fut. von awaáj- ""nötig sein"", T 1197 oder 1221",berger-entry-328,,,,noun sg dialect:Hunza dialect:Nager uncertain
Bur,1221,awaáji,"necessary, necessary",,,,berger[p. 24],,u. äwāz2,berger-entry-329,,,,verb dialect:Hunza uncertain
Bur,910,ayár,hail,,,,berger[p. 24],,"sh. aïyaár, vgl. T 910",berger-entry-333,,,,dialect:Hunza uncertain
Bur,1009,ayáś,heaven,,,y hz. ng.,berger[p. 24],,"ys. ayáś, sh. hagaái, B agái, T 1009",berger-entry-334,,,,verb dialect:Hunza dialect:Nager uncertain
Werch,1009,ayáś,heaven,,,y hz. ng.,berger[p. 24],,,berger-entry-334-dialect-1,,,,dialect:Hunza uncertain
Bur,9209,báabo,brother of the father,,,ng.,berger[p. 25],,"sh. baábo, T 9209",berger-entry-347,,,,dialect:Hunza uncertain
Bur,6658,báai,"sum of money, formerly 12, in Lorimer's time worth 16 rupees, now = 1 ox; = 2 qhar",,,,berger[p. 25],,"sh. báai ""12"", T 6658",berger-entry-359,,,,dialect:Hunza uncertain
Bur,9434,baák,"generosity, generosity",,,NH,berger[p. 26],,"sh. báak d- ""zustimmen """,berger-entry-364,,,,verb dialect:Hunza dialect:Nager uncertain
Bur,9331,baát,broth,,,,berger[p. 27],,,berger-entry-386,,,,dialect:Hunza uncertain
Bur,12193,baɣ,"baɣ-biéḍo: lynx, after others: animal that eats corpses from graves",,,hz. ng.,berger[p. 25],,"ys. ?ba, bah, sh. ba, pa, kho. bah",berger-entry-346,,,,verb dialect:Hunza dialect:Nager uncertain
Bur,9237,biéḍo,"baɣ-biéḍo: lynx, after others: animal that eats corpses from graves",,,hz. ng.,berger[p. 30],,"sh. bagbuyáro, L bagbeāro, B bagbiayu ""Leopard"", T 12193 + 9237",berger:gold:cdial9237:biedo,,,,dialect:Hunza dialect:Nager uncertain
Werch,11225,baiḍaár,"impudence, impudence",,,y,berger[p. 31],,sh. bariaár zu T 11225,berger:gold:cdial11225:baidaar,,,,verb dialect:Hunza uncertain
Bur,8431,bakór,"grass scar, a piece of (pierced) lawn; ng. so: earth excavated with the shovel from a canal",,,?,berger[p. 31],,"ys. bakór, bakhór, sh. pakoór, T 8431?",berger:gold:cdial8431:bakor,,,,dialect:Hunza uncertain
Bur,11480,bákur,small covered pen for lambs and kids,,,hz. ng.,berger[p. 31],,"sh. báakur, zu báa ""Hürde, T 11480",berger-entry-441,,,,dialect:Hunza dialect:Nager uncertain
Bur,9408,balá,"advantage, useful",,,,berger[p. 32],,vgl. T 9408,berger:gold:cdial9408:bala,,,,dialect:Hunza uncertain
Bur,6658,baláac̣ man-́,"after a throw to stand upright, happy omen, counts for the bone cube (ćartán) 12 points",,,?,berger[p. 32],,"kho. balāç LN; ys. baléç, DC baláç ""MaßBeinheit für 12 Ziegen"", zu T 6658?",berger:gold:cdial6658:balaac-man,,,,dialect:Hunza uncertain
Bur,11406,balán man-́,"squirming, rolling (especially horses and cows); dangling, (breasts) limply hanging down",,,?,berger[p. 33],,"ys. phalán-, sh. balán, phalán; zu T 11406?",berger:gold:cdial11406:balan-man,,,,verb dialect:Hunza uncertain
Bur,11406,balaneéś man-́,,,,?,berger[p. 33],,,berger:gold:cdial11406:balanees-man,,,,verb dialect:Hunza
Bur,9166,balándo,"strong, powerful",,,,berger[p. 33],,T 9166,berger:gold:cdial9166:balando,,,,dialect:Hunza uncertain
Bur,11879,baláṅ,"balance beam; cross beam or line for hanging clothes; n.g., strip supporting the funnel to the mill; strip around the loom; railing",,,,berger[p. 33],,"ys. baláħ, sh. balóṅń, T 11879",berger-entry-450,,,,dialect:Hunza uncertain
Bur,11879,balóṅ,"balance beam; cross beam or line for hanging clothes; n.g., strip supporting the funnel to the mill; strip around the loom; railing",,,ng.,berger[p. 33],,ys. balbán,berger-entry-450-dialect-1,,,,dialect:Hunza uncertain
