Kam,n1,pâid′o bu-,be found; be born; be created,,,,strand,,,,,,,verb intr dialect:Kamviri
sanu,n2,pu,over; around (away from the speaker),,,,strand,,,,,,,dir dialect:Ashkun%3A%20Sanu
nis,n2,pu,over; around (away from the speaker),,,,strand,,,,,,,dir dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,8419,p′ur,measure for buildings,,,[+; or < IA. < p′ura],strand,,,,,,,noun dialect:Katavari%3A%20Ktivi
Kam,8419,p′ur,measure for buildings,,,[+; or < IA. < p′ura],strand,,,,,,,noun dialect:Kamviri
Kam,n3,pâč′aṭik,cotton seed,,,,strand,,,,,,,noun f dialect:Kamviri
nis,n3,pačäṭik,bramble (gets caught in wool),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n4,pâṭl′ik,large pancake,,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n4,pâṭul′ik,large pancake,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n4,paṭalig,large pancake,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
nis,n5,paṭâkei,musket,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n6,p′iṭ,wooden part of bow,,,,strand,,,,,,,noun dialect:Kamviri
sanu,n6,paṭ′iː,wooden part of bow,,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
Kam,n7,pâṭl′a,man's name,,,[+],strand,,,,,,,noun dialect:Kamviri
nis,n7,paṭila,,,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n8,p′uř gü,"black mineral substance found on cliffsides, used medicinally to “heat” internal organs [Psht. salâjit]",,,[+],strand,,,,,,,noun dialect:Kamviri
Kam,n9,pṭ′ü_kâno,fir (Abies spectabilis),,,,strand,,,,,,,noun f dialect:Kamviri
sanu,n9,pṭ′ua,fir (Abies spectabilis),,,,strand,,,,,,,noun dialect:Ashkun%3A%20Sanu
nis,n9,paṛöv,fir (Abies spectabilis),,,,strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
ktivi,n10,pâṭ′a,porch,,,[+; ‘slab’ > ‘flat area’ > ‘flat area by house’?; whence â?],strand,,,,,,,noun f dialect:Katavari%3A%20Ktivi
Kam,n10,pâṭ′a,porch,,,[+; ‘slab’ > ‘flat area’ > ‘flat area by house’?; whence â?],strand,,,,,,,noun f dialect:Kamviri
Kam,n11,pâṭ′i,"part, portion, area, piece (of something flat)",,,[+],strand,,,,,,,num dialect:Kamviri
Kam,n11,pâṭk′ara,warped; cross-eyed,,,[+],strand,,,,,,,adj dialect:Kamviri
Kam,n11,pâṭ′i,sheet (of paper); letter; measure for hides,,,[+],strand,,,,,,,noun dialect:Kamviri
nis,n11,paṭara,warped; cross-eyed,,,[+],strand,,,,,,,adj dialect:Nuristani%20Kalasha%3A%20Nisheigram
Kam,n12,pâṭ′ü,turban [?],,,[+],strand,,,,,,,noun dialect:Kamviri
nis,n12,mu-paṛi,feast-giver's turban,,,[+],strand,,,,,,,noun dialect:Nuristani%20Kalasha%3A%20Nisheigram
sec,n13,iži-vot,eyebrow,,,,morgenstierne,,,,,,,noun dialect:Prasun%3A%20Sec
