maimani,12583,sīŋ,(animal) horn,,sɪŋ,,maimani,,,legacy:20230524-sindhic:row:1,,,,
luwati,12583,sīŋ,(animal) horn,,sɪŋ,,maimani,,,legacy:20230524-sindhic:row:2,,,,
maimani,13276,sabbīh,all,,sabbih,,maimani,,,legacy:20230524-sindhic:row:3,,,,
luwati,13276,sībbī,all,,sɪbbi,,maimani,,,legacy:20230524-sindhic:row:4,,,,
maimani,,ramādīh,ash,,rama:dih,,maimani,,,legacy:20230524-sindhic:row:5,,,,
luwati,,pūlyār,ash,,pʊlja:r,,maimani,,,legacy:20230524-sindhic:row:6,,,,
maimani,,kantūh,bark (of a tree),,kantuh,,maimani,,,legacy:20230524-sindhic:row:7,,,,
luwati,,nes,bark (of a tree),,nes,,maimani,,,legacy:20230524-sindhic:row:8,,,,
maimani,8376,beṭʰ,belly,,beʈʰ,,maimani,,,legacy:20230524-sindhic:row:9,,,,
luwati,8376,beṭʰ,belly,,beʈʰ,,maimani,,,legacy:20230524-sindhic:row:10,,,,
maimani,11225,vaɗūh,big,,waɗuh,,maimani,,,legacy:20230524-sindhic:row:11,,,,
luwati,11225,vaɗū,big,,waɗu,,maimani,,,legacy:20230524-sindhic:row:12,,,,
maimani,,jīlkʰrī,bird,,dʒɪlkʰri,,maimani,,,legacy:20230524-sindhic:row:13,,,,
luwati,,jīlkʰrī,bird,,dʒɪlkʰri,,maimani,,,legacy:20230524-sindhic:row:14,,,,
maimani,,śakūjītūh,bite,,ʃʰakudʒituh,,maimani,,,legacy:20230524-sindhic:row:15,,,,
luwati,,cʰaktūvījɛ,bite,,tʃʰaktʊvɪdʒɛ,,maimani,,,legacy:20230524-sindhic:row:16,,,,
maimani,3083,kārūh,black,,ka:ruh,,maimani,,,legacy:20230524-sindhic:row:17,,,,
luwati,3083,kārū,black,,ka:ru,,maimani,,,legacy:20230524-sindhic:row:18,,,,
maimani,10539,rat,blood,,rat̪,,maimani,,,legacy:20230524-sindhic:row:19,,,,
