Mai-Jijal,2462,ʌ́kh,one,,,"adj; Zoller 2005 ch. 4, p. 61; dictionary head: ʌ́kh 1; dictionary POS: adj",zoller2005,,"< *ekka- (2462). Same as B yɑ̈́k and G ek. Note: (a) in the conjunct verbs below the rising accent of ʌ́kh changes into the falling accent ʌ̀kh; (b) in the nominal compounds below, the accent of ʌ́kh is completely suppresseḍ"
Mai-Jijal,,ʌ́khʌỹc̣ɑ̄̀,(a) one-eyed (person),,,"adj; derived; Zoller 2005 ch. 4, p. 61; dictionary head: + -ʌỹc̣ɑ̄̀; dictionary POS: adj.m",zoller2005,,← ʌỹ́c̣hi.
Mai-Jijal,4971,ʌ́khčhʌtɑ̄̀,one storey (as a house),,,"adj; Zoller 2005 ch. 4, p. 61; dictionary head: + -čhʌtɑ̄̀; dictionary POS: adj",zoller2005,,< *chatti- (4971) in the sense of ‘ceiling’. Cf. du-čhʌtɑ̄̀.
Mai-Jijal,,ʌ́khzɑ̄́n,"equal, alike, similar",,,"adj; derived; Zoller 2005 ch. 4, p. 61; dictionary head: + -zɑ̄́n; dictionary POS: adj",zoller2005,,← zɑ̄́n 2.
Mai-Jijal,,ʌ́kh zḗ-ōkh,somewhere,,,"adv; Zoller 2005 ch. 4, p. 61; dictionary head: + zḗ-ōkh; dictionary POS: adv",zoller2005,,
Mai-Jijal,,ʌ́kh zḗ-ōkh tʌl,at some place or other,,,"adv; Zoller 2005 ch. 4, p. 62; dictionary head: + zḗ-ōkh tʌl; dictionary POS: adv",zoller2005,,
Mai-Jijal,13680,ʌ́khṭhērɑ̄̀,one-wheeled,,,"adj; Zoller 2005 ch. 4, p. 62; dictionary head: + -ṭhērɑ̄̀; dictionary POS: adj",zoller2005,,"< *stabhira- (13680). The second word is only used in compounds with numerals, cf. c̣ɑ̄́-ṭhērḕ gāḍīṭū́."
Mai-Jijal,8330,ʌ́kh pū̀r hɑ̄̀,one handful,,,"adv; derived; Zoller 2005 ch. 4, p. 62; dictionary head: + pū̀r hɑ̄̀ (n2); dictionary POS: adv",zoller2005,,< pūra-1 (8330) and ← hɑ̄̀ 1.
Mai-Jijal,,ʌ́kh bɑ̄̀rā̃,of similar kind,,,"adj; Zoller 2005 ch. 4, p. 62; dictionary head: + bɑ̄̀rā̃ (n2); dictionary POS: adj",zoller2005,,
Mai-Jijal,,ʌ́kh šānã̀h ho-/karʌ́ṽ,to resemble; to equal,,,"verb; derived; Zoller 2005 ch. 4, p. 62; dictionary head: + šānã̀h ho-/karʌ́ṽ; dictionary POS: v.i",zoller2005,,← Pshṭ šān ‘resembling’. Cf. the related ṣù-šɑ̄̀nā̃.
Mai-Jijal,2462-2,ʌ́kh,small and hard pieces in meat,,,"m; Zoller 2005 ch. 4, p. 62; dictionary head: ʌ́kh 2; dictionary POS: n.m",zoller2005,,
Mai-Jijal,,ʌ̀k-mʌkh karʌ́ṽ,"to natter, yak, gass, gossip a lot",,,"Zoller 2005 ch. 4, p. 62; dictionary head: ʌ̀k 3 -mʌkh karʌ́ṽ (note accent)",zoller2005,,
Mai-Jijal,,ʌkɑ̄̀ṭh,simple-minded (person),,,"adj; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkɑ̄̀ṭh; dictionary POS: adj",zoller2005,,
Mai-Jijal,,ʌkɑ̄̀l,land that yields only one harvest per year,,,"adj; derived; compound; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkɑ̄̀l, -ah; dictionary POS: adj",zoller2005,,← ʌ́kh 1 plus kɑ̄́l. Cf. dukɑ̄̀l and hʌrkɑ̄̀l.
Mai-Jijal,,ʌ̀kodubiš,forty-one,,,"adj; Zoller 2005 ch. 4, p. 62; dictionary head: ʌ̀kodubiš; dictionary POS: adj",zoller2005,,
Mai-Jijal,2476,ʌkōbī́š,twenty-one,,,"adj; derived; compound; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkōbī́š; dictionary POS: adj",zoller2005,,< ékaviṁśati- (2476) but synthetic ← ʌ́kh 1 ‘one’ plus an element ‘and’ plus bī́š ‘twenty’.
Mai-Jijal,,ʌ̀kōšʌl,hundred and one,,,"adj; Zoller 2005 ch. 4, p. 62; dictionary head: ʌ̀kōšʌl; dictionary POS: adj",zoller2005,,
Mai-Jijal,2480,ʌkṭhī́,together,,,"adj; Zoller 2005 ch. 4, p. 62; dictionary head: ʌkṭhī́; dictionary POS: adj",zoller2005,,< ekasthá- (2480) or rather *ekkastha-.
Mai-Jijal,,ʌ̀kdʌm,in a moment; all at once,,,"adv; derived; compound; Zoller 2005 ch. 4, p. 62; dictionary head: ʌ̀kdʌm; dictionary POS: adv",zoller2005,,← ʌ́kh 1 (note change of accent) plus Perṣ dam.
Mai-Jijal,,ʌklēṅgɑ̄̀,"a mysterious being (half human, half apelike) which lives in the forest in caves; it has only one leg and is fond of seducing women",,,"m; derived; Zoller 2005 ch. 4, p. 62; dictionary head: ʌklēṅgɑ̄̀; dictionary POS: n.m",zoller2005,,← ʌ́kh 1 ‘one’ and Pshṭ lengai ‘leg’.
