LSI-TURKI,,bēš,Five,,beːʃ,,"grierson-lsi1928[p. 10-11, form TURKI-5_five-1, concept 5_five]",,,grierson-lsi1928:TURKI-5_five-1,,,,
LSI-BURUSHASKI,,sundō,Five,,sun̪d̪oː,,"grierson-lsi1928[p. 10-11, form BURUSHASKI-5_five-1, concept 5_five]",,,grierson-lsi1928:BURUSHASKI-5_five-1,,,,
LSI-BURUSHASKI,,sindī,Five,,sin̪d̪iː,,"grierson-lsi1928[p. 10-11, form BURUSHASKI-5_five-2, concept 5_five]",,,grierson-lsi1928:BURUSHASKI-5_five-2,,,,
LSI-KHERWARISANTHALI,,må̃ṛå̃,Five,,mɔɽɔ,,"grierson-lsi1928[p. 10-11, form KHERWARISANTHALI-5_five-1, concept 5_five]",,,grierson-lsi1928:KHERWARISANTHALI-5_five-1,,,,
LSI-MUNDARI,,må̃ṛē̃,Five,,mɔɽẽː,,"grierson-lsi1928[p. 10-11, form MUNDARI-5_five-1, concept 5_five]",,,grierson-lsi1928:MUNDARI-5_five-1,,,,
LSI-KURKU,,mono,Five,,mon̪o,,"grierson-lsi1928[p. 10-11, form KURKU-5_five-1, concept 5_five]",,,grierson-lsi1928:KURKU-5_five-1,,,,
LSI-KHARIA,,moloi,Five,,molɔɪ,,"grierson-lsi1928[p. 10-11, form KHARIA-5_five-1, concept 5_five]",,,grierson-lsi1928:KHARIA-5_five-1,,,,
LSI-SAVARA,,molloi,Five,,mollɔɪ,,"grierson-lsi1928[p. 10-11, form SAVARA-5_five-1, concept 5_five]",,,grierson-lsi1928:SAVARA-5_five-1,,,,
LSI-GADABA,,manlēi,Five,,mʌn̪leːi,,"grierson-lsi1928[p. 10-11, form GADABA-5_five-1, concept 5_five]",,,grierson-lsi1928:GADABA-5_five-1,,,,
LSI-GADABA,,manulēi,Five,,mʌn̪uleːi,,"grierson-lsi1928[p. 10-11, form GADABA-5_five-2, concept 5_five]",,,grierson-lsi1928:GADABA-5_five-2,,,,
LSI-BALALI,,ṅā-ji,Five,,ŋʌː+dʒi,,"grierson-lsi1928[p. 10-11, form BALALI-5_five-1, concept 5_five]",,,grierson-lsi1928:BALALI-5_five-1,,,,
LSI-SANGPANG,,ṅā-ka-bo,Five,,ŋʌː+kʌ+bo,,"grierson-lsi1928[p. 10-11, form SANGPANG-5_five-1, concept 5_five]",,,grierson-lsi1928:SANGPANG-5_five-1,,,,
LSI-SANGPANG,,ṅā-ka-li,Five,,ŋʌː+kʌ+li,,"grierson-lsi1928[p. 10-11, form SANGPANG-5_five-2, concept 5_five]",,,grierson-lsi1928:SANGPANG-5_five-2,,,,
LSI-SANGPANG,,ṅā-ka-la-paṅ,Five,,ŋʌː+kʌ+lʌ+pʌŋ,,"grierson-lsi1928[p. 10-11, form SANGPANG-5_five-3, concept 5_five]",,,grierson-lsi1928:SANGPANG-5_five-3,,,,
LSI-LOHORONG,,ṅā-chi,Five,,ŋʌː+tʃi,,"grierson-lsi1928[p. 10-11, form LOHORONG-5_five-1, concept 5_five]",,,grierson-lsi1928:LOHORONG-5_five-1,,,,
LSI-LOHORONG,,ṅa-baṅ,Five,,ŋʌ+bʌŋ,,"grierson-lsi1928[p. 10-11, form LOHORONG-5_five-2, concept 5_five]",,,grierson-lsi1928:LOHORONG-5_five-2,,,,
LSI-GURUNG,,ṅā,Five,,ŋʌː,,"grierson-lsi1928[p. 10-11, form GURUNG-5_five-1, concept 5_five]",,,grierson-lsi1928:GURUNG-5_five-1,,,,
LSI-GURUNG,,hneo,Five,,hn̪eo,,"grierson-lsi1928[p. 10-11, form GURUNG-5_five-2, concept 5_five]",,,grierson-lsi1928:GURUNG-5_five-2,,,,
LSI-MURMI,,ṅā,Five,,ŋʌː,,"grierson-lsi1928[p. 10-11, form MURMI-5_five-1, concept 5_five]",,,grierson-lsi1928:MURMI-5_five-1,,,,
LSI-MAGARI,,ba-ṅa,Five,,bʌ+ŋʌ,,"grierson-lsi1928[p. 10-11, form MAGARI-5_five-1, concept 5_five]",,,grierson-lsi1928:MAGARI-5_five-1,,,,
LSI-NEWARI,,ṅā,Five,,ŋʌː,,"grierson-lsi1928[p. 10-11, form NEWARI-5_five-1, concept 5_five]",,,grierson-lsi1928:NEWARI-5_five-1,,,,
LSI-PADIPAHRIORPAHI,,ṅo-ṅu,Five,,ŋo+ŋu,,"grierson-lsi1928[p. 10-11, form PADIPAHRIORPAHI-5_five-1, concept 5_five]",,,grierson-lsi1928:PADIPAHRIORPAHI-5_five-1,,,,
LSI-DAFLA,,ā-ṅ,Five,,ʌː+ŋ,,"grierson-lsi1928[p. 10-11, form DAFLA-5_five-1, concept 5_five]",,,grierson-lsi1928:DAFLA-5_five-1,,,,
LSI-BALTI,,ɣā,Five,,ɣʌː,,"grierson-lsi1928[p. 10-11, form BALTI-5_five-1, concept 5_five]",,,grierson-lsi1928:BALTI-5_five-1,,,,
LSI-BHOTIAOFPURIK,,ɣā,Five,,ɣʌː,,"grierson-lsi1928[p. 10-11, form BHOTIAOFPURIK-5_five-1, concept 5_five]",,,grierson-lsi1928:BHOTIAOFPURIK-5_five-1,,,,
LSI-LADAKHI,,šṅa,Five,,ʃŋʌ,,"grierson-lsi1928[p. 10-11, form LADAKHI-5_five-1, concept 5_five]",,,grierson-lsi1928:LADAKHI-5_five-1,,,,
