Ni,,ābā-ke,to the father,,ābā-ke,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 3]",,,nihali-database2026:konow:r3,,,,
Ni,,ābā-ʈā,fathers,,ābā-ʈā,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 4]",,,nihali-database2026:konow:r4,,,,
Ni,,-kī,to/in,,-kī,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 5]",,,nihali-database2026:konow:r5,,,,
Ni,,-kē,to/in,,-kē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 6]",,,nihali-database2026:konow:r6,,,,
Ni,,khēt-kē,in the field,,khēt-kē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 7]",,,nihali-database2026:konow:r7,,,,
Ni,,-kun,from/to,,-kun,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 8]",,,nihali-database2026:konow:r8,,,,
Ni,,māl-kun,from the property,,māl-kun,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 9]",,,nihali-database2026:konow:r9,,,,
Ni,,hāl-kun,to the servants,,hāl-kun,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 10]",,,nihali-database2026:konow:r10,,,,
Ni,,-kē,of,,-kē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 11]",,,nihali-database2026:konow:r11,,,,
Ni,,-kū,of,,-kū,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 12]",,,nihali-database2026:konow:r12,,,,
Ni,,-n,of,,-n,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 13]",,,nihali-database2026:konow:r13,,,,
Ni,,-nē,of,,-nē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 14]",,,nihali-database2026:konow:r14,,,,
Ni,,-kā,of,,-kā,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 15]",,,nihali-database2026:konow:r15,,,,
Ni,,mānchu-kē,of a man,,mānchu-kē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 16]",,,nihali-database2026:konow:r16,,,,
Ni,,ābā-n,of the father,,ābā-n,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 17]",,,nihali-database2026:konow:r17,,,,
Ni,,ābā-ku,of the father,,ābā-ku,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 18]",,,nihali-database2026:konow:r18,,,,
Ni,,ɖhol-kā,of drums,,ɖhol-kā,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 19]",,,nihali-database2026:konow:r19,,,,
Ni,,ābā-nē,by the father,,ābā-nē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 20]",,,nihali-database2026:konow:r20,,,,
Ni,,bāchuran,by the younger,,bāchuran,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 21]",,,nihali-database2026:konow:r21,,,,
Ni,,irā,two,,irā,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 22]",,,nihali-database2026:konow:r22,,,,
Ni,,moʈho,three,,moʈho,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 23]",,,nihali-database2026:konow:r23,,,,
Ni,,nālo,four,,nālo,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 24]",,,nihali-database2026:konow:r24,,,,
Ni,,bidī,one,,bidī,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 25]",,,nihali-database2026:konow:r25,,,,
Ni,,jo,I,,jo,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 26]",,,nihali-database2026:konow:r26,,,,
Ni,,iŋgē,my,,iŋgē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 27]",,,nihali-database2026:konow:r27,,,,
Ni,,iŋ,my,,iŋ,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 28]",,,nihali-database2026:konow:r28,,,,
Ni,,nē,thou,,nē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 29]",,,nihali-database2026:konow:r29,,,,
Ni,,ho,he,,ho,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 30]",,,nihali-database2026:konow:r30,,,,
Ni,,hoytarē,he,,hoytarē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 31]",,,nihali-database2026:konow:r31,,,,
Ni,,ētarē,he,,ētarē,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 32]",,,nihali-database2026:konow:r32,,,,
Ni,,iʈi,that,,iʈi,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 33]",,,nihali-database2026:konow:r33,,,,
Ni,,hoiʈi,that,,hoiʈi,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 34]",,,nihali-database2026:konow:r34,,,,
Ni,,ibnijī,own,,ibnijī,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 35]",,,nihali-database2026:konow:r35,,,,
Ni,,nānī,who,,nānī,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 36]",,,nihali-database2026:konow:r36,,,,
Ni,,nēnī,who,,nēnī,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 37]",,,nihali-database2026:konow:r37,,,,
Ni,,nānko,what,,nānko,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 38]",,,nihali-database2026:konow:r38,,,,
Ni,,ughāiŋ-ga,lives,,ughāiŋ-ga,,"konow1906[pp. 185–189];nihali-database2026[tab Konow, row 39]",,,nihali-database2026:konow:r39,,,,
