Kt,n3525,ačẽ́,woolen thread,,,,"nured[page 5, revision 3580, 2026-04-22]",,,nured:5:form:1,,,,noun m dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Ash,n3525,aċë̃́,woolen yarn,,,,"nured[page 5, revision 3580, 2026-04-22]",,,nured:5:form:2,,,,noun m dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Pr,n3525,ižiníg,"yarn/thread produced in Nuristan, woolen yarn",,,,"nured[page 5, revision 3580, 2026-04-22]",,,nured:5:form:3,,,,noun dialect:Pr:nured-Pr-i:%E1%B9%A2up%C3%BA%20%28I%E1%B9%A3%E1%B9%ADewi%29 dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29
Kt,n3421,ac̣ǘ,tear,,,,"nured[page 81, revision 3263, 2026-01-30]",,,nured:81:form:1,,,,noun f dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Ash,n3421,istrū́,tear,,,,"nured[page 81, revision 3263, 2026-01-30]",,,nured:81:form:2,,,,noun m dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Pr,n3421,üčǖ́,tear,,,,"nured[page 81, revision 3263, 2026-01-30]",,,nured:81:form:3,,,,noun
Wg,nured-110,üṣǘk,tear,,,,"nured[page 110, revision 2987, 2026-01-27]",,,nured:110:form:1,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29 dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Kt,nured-126,kaṭrë́,"wizard, sorcerer",,,,"nured[page 126, revision 1786, 2025-10-17]",,,nured:126:form:1,,,,noun m dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Kt,nured-126,kṭíri,witch,,,,"nured[page 126, revision 1786, 2025-10-17]",,,nured:126:form:2,,,,noun f dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-126,kaṭrë́-vor,"magic, sorcery",,,,"nured[page 126, revision 1786, 2025-10-17]",,,nured:126:form:3,,,,noun m dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Ash,nured-126,kaṭyerë́,"wizard, sorcerer",,,,"nured[page 126, revision 1786, 2025-10-17]",,,nured:126:form:4,,,,noun m dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Ash,nured-126,kaṭyera-wā́r,"magic, sorcery",,,,"nured[page 126, revision 1786, 2025-10-17]",,,nured:126:form:5,,,,noun m dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Pr,nured-126,k(š)čir(ë),magic,,,,"nured[page 126, revision 1786, 2025-10-17]",,,nured:126:form:6,,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 dialect:Pr:nured-Pr-z:Zum%C3%BA loanword
Pr,nured-126,kščire li-,to practice magic,,,,"nured[page 126, revision 1786, 2025-10-17]",,,nured:126:form:7,,,,noun multiword-expression dialect:Pr:nured-Pr-z:Zum%C3%BA dialect:Pr:nured-Pr-d:W%C3%BC%C4%8B%C7%98%20%28Dewa%29
Kt,n531,r̆iċ,barley,,,,"nured[page 169, revision 3287, 2026-01-30]",,,nured:169:form:1,,,,noun m
Pr,n532,wuzí,barley,,,,"nured[page 169, revision 3287, 2026-01-30]",,,nured:169:form:2,,,,noun
Kt,n1272,nāṛén,shin,,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:1,,,,noun m dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,n1272,ḍënë́,fine (penalty),,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:2,,,,noun m
Kt,n1272,ḍëné-,to harass,,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:3,,,,verb dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,n1272,ḍunéḍun,"maltreatment, abuse",,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:4,,,,noun dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,n1272,ḍun,stick,,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:5,,,,noun f dialect:Kt:nured-Kt-w:Western%20Kat%C3%AB dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,n1272,ḍun,stick,,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:6,,,,noun dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Ash,n1273,doṇ,"stem, stalk; handle (e.g. of an axe)",,,,"nured[page 206, revision 3627, 2026-07-31]",,,nured:206:form:7,,,,noun dialect:Ash:nured-Ash-tt:Tit%C3%ADn
