Malayalam,d7,aka-ppeṭuka,"to get into, be caught, befall",,,,"burrow-emeneau1972den1[p. 399, entry 8]",,DEN I (1972) records this reflex under old main 8; resolved to current DEDR d7.,burrow-emeneau1972den1:p399:u001:f001,,,,source-addition
Malayalam,d7,akappeṭukka,to catch,,,,"burrow-emeneau1972den1[p. 399, entry 8]",,DEN I (1972) records this reflex under old main 8; resolved to current DEDR d7.,burrow-emeneau1972den1:p399:u001:f002,,,,source-addition
Tulu,d8,agelů,"to go apart, to widen",,,source label: B-K,"burrow-emeneau1972den1[p. 399, entry 9]",,DEN I (1972) records this reflex under old main 9; resolved to current DEDR d8.,burrow-emeneau1972den1:p399:u002:f001,,,,source-addition
Tulu,d11,agate,overturning the soil by spade,,,source label: B-K,"burrow-emeneau1972den1[p. 399, entry 12]",,DEN I (1972) records this reflex under old main 12; resolved to current DEDR d11.,burrow-emeneau1972den1:p399:u003:f001,,,,source-addition
Kurux,d59,aṛxā,any leguminous plant or eatable greens,,,,"burrow-emeneau1972den1[p. 399, entry 54]",,DEN I (1972) records this reflex under old main 54; resolved to current DEDR d59.,burrow-emeneau1972den1:p399:u007:f001,,,,source-addition
Kurux,d59,aṛxā-cēxel,"the vegetable kingdom, plants in general",,,see 2293 for cekhel,"burrow-emeneau1972den1[p. 399, entry 54]",,DEN I (1972) records this derived under old main 54; resolved to current DEDR d59.,burrow-emeneau1972den1:p399:u007:f002,,,,source-addition derived
Tulu,d63,aḍeka,"small, narrow",,,source label: B-K,"burrow-emeneau1972den1[p. 399, entry 56(a)]",,DEN I (1972) records this reflex under old main 56; resolved to current DEDR d63.,burrow-emeneau1972den1:p399:u008:f002,,,,source-addition
Telugu,d77,aṭukulu,"rice wetted, parched and flattened, beaten rice",,,plural,"burrow-emeneau1972den1[p. 399, entry 67]",,DEN I (1972) records this reflex under old main 67; resolved to current DEDR d77.,burrow-emeneau1972den1:p399:u010:f001,,,,source-addition
Telugu,d79,dāparamu,"getting, obtaining, coming or lighting upon",,,,"burrow-emeneau1972den1[p. 399, entry 69(a)]",,DEN I (1972) records this reflex under old main 69; resolved to current DEDR d79.,burrow-emeneau1972den1:p399:u011:f001,,,,source-addition
Telugu,d79,dāparincu,"to be obtained, happen, occur, fall to one's lot",,,,"burrow-emeneau1972den1[p. 399, entry 69(a)]",,DEN I (1972) records this derived under old main 69; resolved to current DEDR d79.,burrow-emeneau1972den1:p399:u011:f002,,,,source-addition derived
