Wg,,a-,to; at; before,,,Präposition,"buddruss-waigali1992[p. 71, glossary entry 01]",,source compares Sanskrit ā without assigning a Turner number,buddruss-waigali1992:p71:e01,,,,prep dialect:Wg:nis:Nisheigram
Wg,1045,ā,"come, arrived",,,Partizip zu e- kommen,"buddruss-waigali1992[p. 71, glossary entry 02]",,Buddruss directly compares or assigns this headword to Turner/CDIAL 1045. participle of e-; source compares āgata-,buddruss-waigali1992:p71:e02,,,,participle dialect:Wg:nis:Nisheigram
Wg,,āst'a,"come, arrived",,,gekommen,"buddruss-waigali1992[p. 71, glossary entry 03]",,perfect participle of e-; cross-reference to ā,buddruss-waigali1992:p71:e03,,,,participle dialect:Wg:nis:Nisheigram
Wg,1533,āš,mouth,,,Mund,"buddruss-waigali1992[p. 71, glossary entry 04]",,Buddruss directly compares or assigns this headword to Turner/CDIAL 1533.,buddruss-waigali1992:p71:e04,,,,noun dialect:Wg:nis:Nisheigram
Wg,,al'i,this,,,dies,"buddruss-waigali1992[p. 71, glossary entry 05]",,first printed headword alternate,buddruss-waigali1992:p71:e05,,,,pron dialect:Wg:nis:Nisheigram
Wg,,äl'i,this,,,dies,"buddruss-waigali1992[p. 71, glossary entry 05]",,second printed headword alternate,buddruss-waigali1992:p71:e05:v2,buddruss-waigali1992:p71:e05,,,pron alternate dialect:Wg:nis:Nisheigram
Wg,560,am'ā,house,,,Haus,"buddruss-waigali1992[p. 71, glossary entry 06]",,Buddruss directly compares or assigns this headword to Turner/CDIAL 560.,buddruss-waigali1992:p71:e06,,,,noun dialect:Wg:nis:Nisheigram
Wg,,am'āyter,inside the house,,,im Inneren des Hauses,"buddruss-waigali1992[p. 71, glossary entry 07]",,,buddruss-waigali1992:p71:e07,,,,spatial dialect:Wg:nis:Nisheigram
Wg,,am'e,us,,,Obliquus zu am'i wir,"buddruss-waigali1992[p. 71, glossary entry 08]",,oblique of am'i,buddruss-waigali1992:p71:e08,,,,pron obl dialect:Wg:nis:Nisheigram
Wg,,Am'eš,man from Amešdes,,,Mann aus dem Dorf Amešdes,"buddruss-waigali1992[p. 71, glossary entry 09]",,,buddruss-waigali1992:p71:e09,,,,noun proper-noun dialect:Wg:nis:Nisheigram
