Sh,,-a,interrogative particle: perhaps?,,,etwa? [Gramm. 5.8.1],"degener-shina2008[p. 243, glossary entry 1]",,,degener-shina2008:p243:e01,,,,part interr dialect:Sh:gil:Gilgit
Sh,,-a,interrogative particle: ... or ...?,,,... oder ...?,"degener-shina2008[p. 243, glossary entry 2]",,,degener-shina2008:p243:e02,,,,part interr dialect:Sh:gil:Gilgit
Sh,,abáak,"wordless, mute",,,"wortlos, stumm","degener-shina2008[p. 243, glossary entry 3]",,,degener-shina2008:p243:e03,,,,adj m f dialect:Sh:gil:Gilgit
Sh,,abáš,"difficulty, distress",,,"Schwierigkeit, Not","degener-shina2008[p. 243, glossary entry 4]",,"[= Bur., Berger 1966, 81; Ikoh ʌbʌ̀s needless, bad]",degener-shina2008:p243:e04,,,,f dialect:Sh:gil:Gilgit
Sh,,abaáto,"sluggish, lazy",,,"träge, faul","degener-shina2008[p. 243, glossary entry 5]",,[Bur. abádo],degener-shina2008:p243:e05,,,,adj m dialect:Sh:gil:Gilgit
Sh,,aboóm,"the wrong way around, wrong",,,"verkehrtherum, falsch","degener-shina2008[p. 243, glossary entry 6]",,,degener-shina2008:p243:e06,,,,adj m f dialect:Sh:gil:Gilgit
Sh,227,ač-,"enter, go in, penetrate",,,"eintreten, hineingehen, eindringen","degener-shina2008[p. 243, glossary entry 7]",,Degener directly assigns this headword to Turner/CDIAL 227. [T. 227],degener-shina2008:p243:e07,,,,intr dialect:Sh:gil:Gilgit
Sh,47,ac̣héemo,"evil, malicious",,,"böse, böswillig","degener-shina2008[p. 243, glossary entry 8]",,"Degener directly assigns this headword to Turner/CDIAL 47. [= Bur., Berger 1966, 82, T. 47]",degener-shina2008:p243:e08,,,,adj m dialect:Sh:gil:Gilgit
Sh,,ac̣hii,eye,,,Auge,"degener-shina2008[p. 243, glossary entry 9]",,"[T. 43. Ikoh ayc̣^i, Atlas 98-99]",degener-shina2008:p243:e09,,,,f dialect:Sh:gil:Gilgit
Sh,7701,ac̣hi-páṭi,eyelid,,,Augenlid,"degener-shina2008[p. 243, glossary entry 10]",,Degener directly assigns this headword to Turner/CDIAL 7701. [T. 7701],degener-shina2008:p243:e10,,,,f dialect:Sh:gil:Gilgit
Sh,48,ac̣hóoi,"walnut, walnut tree",,,"Walnuss, Walnussbaum","degener-shina2008[p. 243, glossary entry 11]",,"Degener directly assigns this headword to Turner/CDIAL 48. [T. 48, Atlas 95]",degener-shina2008:p243:e11,,,,dialect:Sh:gil:Gilgit
Sh,,adáp,"politeness, education, manners",,,"Höflichkeit, Bildung, Umgangsformen. Vgl. bee-adap","degener-shina2008[p. 243, glossary entry 12]",,[← Ar.-Ur. adab],degener-shina2008:p243:e12,,,,loanword dialect:Sh:gil:Gilgit
Sh,,adáapi,(a girl) who was not given a dowry (dáap),,,"(ein Mädchen), dem keine Mitgift (dáap) gegeben wurde","degener-shina2008[p. 243, glossary entry 13]",,,degener-shina2008:p243:e13,,,,adj f dialect:Sh:gil:Gilgit
Sh,,aadát,habit,,,Gewohnheit,"degener-shina2008[p. 243, glossary entry 14]",,[← Ar.-Pers. ʿaadat],degener-shina2008:p243:e14,,,,f loanword dialect:Sh:gil:Gilgit
Sh,,adée,"so, in such a way",,,"so, solchermaßen","degener-shina2008[p. 243, glossary entry 15]",,,degener-shina2008:p243:e15,,,,adv dialect:Sh:gil:Gilgit
Sh,,agáar,fire,,,printed as a cross-reference: s. hagáar.,"degener-shina2008[p. 243, glossary entry 16]",,,degener-shina2008:p243:e16,degener-shina2008:p267:e18,,,dialect:Sh:gil:Gilgit
Sh,,agaṭyar-,slander,,,verleumden,"degener-shina2008[p. 243, glossary entry 17]",,[vgl. agaṭ(y)- verleumden],degener-shina2008:p243:e17,,,,dialect:Sh:gil:Gilgit
Sh,,agúi,"finger, toe",,,printed as a cross-reference: s. hagúi.,"degener-shina2008[p. 243, glossary entry 18]",,,degener-shina2008:p243:e18,degener-shina2008:p267:e19,,,dialect:Sh:gil:Gilgit
