Gondi,,mendul,body,,mendul,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 1, Chintoor Koya]",,,silkoya1985:chi:i001:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,talakaia,head,,talakaia,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 2, Chintoor Koya]",,,silkoya1985:chi:i002:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,kelːku,hair,,kelːku,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 3, Chintoor Koya]",,,silkoya1985:chi:i003:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,mokːam,face,,mokːam,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 4, Chintoor Koya]",,,silkoya1985:chi:i004:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,kandu,eye,,kandu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 5, Chintoor Koya]",,,silkoya1985:chi:i005:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,kev,ear,,kev,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 6, Chintoor Koya]",,,silkoya1985:chi:i006:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,mosoɾi,nose,,mosoɾi,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 7, Chintoor Koya]",,,silkoya1985:chi:i007:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,pawiɾ,mouth,,pawiɾ,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 8, Chintoor Koya]",,,silkoya1985:chi:i008:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,palːku,teeth,,palːku,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 9, Chintoor Koya]",,,silkoya1985:chi:i009:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,nalke,tongue,,nalke,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 10, Chintoor Koya]",,,silkoya1985:chi:i010:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,dokːa,belly,,dokːa,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 12, Chintoor Koya]",,,silkoya1985:chi:i012:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,dʒabːa,arm,,dʒabːa,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 13, Chintoor Koya]",,,silkoya1985:chi:i013:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,kundawangai,elbow,,kundawangai,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 14, Chintoor Koya]",,,silkoya1985:chi:i014:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,labːa,palm,,labːa,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 15, Chintoor Koya]",,,silkoya1985:chi:i015:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,tadugu,finger,,tadugu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 16, Chintoor Koya]",,,silkoya1985:chi:i016:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
Gondi,,goɾu,nail,,goɾu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 77, item 17, Chintoor Koya]",,,silkoya1985:chi:i017:v1,,,,dialect:Gondi:sil-koya-1985-chintoor:Chintoor%20Koya
