Kannada,,bəɳɖe,stone,,bəɳɖe,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 1, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i001,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,gida:,soil,,gida:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 2, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i002,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,ni:ru,water,,ni:ru,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 3, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i003,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,jele:,leaf,,jele:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 4, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i004,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,u:wa,flower,,u:wa,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 5, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i005,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,mara:,tree,,mara:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 6, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i006,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,mara:,wood,,mara:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 7, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i007,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,bi:ɲdʒa,seed,,bi:ɲdʒa,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 8, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i008,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,annu,fruit,,annu,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 9, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i009,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,marəpətte,bark,,marəpətte,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 10, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i010,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,be:ru,root,,be:ru,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 11, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i011,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,muɭɭu,thorn,,muɭɭu,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 12, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i012,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,mane:,house,,mane:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 13, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i013,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,kittʃu:,fire,,kittʃu:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 14, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i014,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,wəge:,smoke,,wəge:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 15, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i015,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,bu:de:,ash,,bu:de:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 16, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i016,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,wəle:,fireplace,,wəle:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 17, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i017,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
Kannada,,me:ga:,cloud,,me:ga:,manually transcribed from scan; source list classification: Southern Nonstandard Kannada,"blairetal2012kurumba[Appendix C, printed p. 234, item 18, list SNSK, Belavarthy Kurumba]",,,kurumba2012-belavarthy-i018,,,,dialect:Kannada:sil-kurumba-1984-belavarthy:SNSK%2C%20Belavarthy%20Kurumba
