id_pdr,number,classification,note,reconstruction,simplified,meaning,reference,status,reason,language_id,parameter_id,entry_key,installed_source,review_result
633,602,South Total Dravidian,South Total Dravidian,uṇaci-mīnu,unasiminu,porpoise,"Merriam, 2025",ingested,,PSTDr,d602,merriam2026dravidiandb:pdr:633,"merriam2026dravidiandb[record 633, DEDR 602]",pass
3709,3493,South Dravidian I,South Dravidian,doḍal- (?),total,a k. of small tree,"Starostin, 2006–2013",ingested,,PSD1,d3493,merriam2026dravidiandb:pdr:3709,"merriam2026dravidiandb[record 3709, DEDR 3493];starostin2006dravidian",pass
2280,2102,South Dravidian II,South Dravidian II,kop-el,kopel,small pot,"Merriam, 2025",ingested,,PSD2,d2102,merriam2026dravidiandb:pdr:2280,"merriam2026dravidiandb[record 2280, DEDR 2102]",pass
3686,3470,Proto-Dravidian,Proto-Dravidian,tēḷ-,tel,scorpion,"Starostin, 2006–2013",ingested,,PDr,d3470,merriam2026dravidiandb:pdr:3686,"merriam2026dravidiandb[record 3686, DEDR 3470];starostin2006dravidian",pass
4606,4379,Proto-Dravidian,Proto-Dravidian,pūr_-,pur,"anus; female privates; anus; bottom of a receptacle, buttocks, anus","Starostin, 2006–2013",ingested,,PDr,d4379,merriam2026dravidiandb:pdr:4606,"merriam2026dravidiandb[record 4606, DEDR 4379];starostin2006dravidian",pass
2434,2240,South Total Dravidian,South Total Dravidian,[d]al-,tal,"beauty, form, figure; a dance, dancing","Starostin, 2006–2013",ingested,,PSTDr,d2240,merriam2026dravidiandb:pdr:2434,"merriam2026dravidiandb[record 2434, DEDR 2240];starostin2006dravidian",pass
2166,1997,South Dravidian II,South Dravidian II,kēǯl-,keʒl,Grewia tiliaefolia (dhāman tree); dhaman tree; Grewia tiliaefolia (dhāman tree) (BB),"Merriam, 2025",ingested,,PSD2,d1997,merriam2026dravidiandb:pdr:2166,"merriam2026dravidiandb[record 2166, DEDR 1997]",pass
5427,5193,South Dravidian I,South Dravidian,lēs- (?),les,goodness,"Starostin, 2006–2013",ingested,,PSD1,d5193,merriam2026dravidiandb:pdr:5427,"merriam2026dravidiandb[record 5427, DEDR 5193];starostin2006dravidian",pass
1519,1414,South Dravidian I,South Dravidian,Kan-,kan,sugar-cane,"Starostin, 2006–2013",ingested,,PSD1,d1414,merriam2026dravidiandb:pdr:1519,"merriam2026dravidiandb[record 1519, DEDR 1414];starostin2006dravidian",pass
5883,2426,Central Dravidian,PCentral Dravidian,cāy-,say,to die,"Krishnamurti, 2003",ingested,,PCDr,d2426,merriam2026dravidiandb:pdr:5883,"merriam2026dravidiandb[record 5883, DEDR 2426];krishnamurti",pass
2220,2047,South Total Dravidian,South Total Dravidian,koḍambe,kotampe,a double basket for catching fish; a basket in which fish are snared,"Merriam, 2025",ingested,,PSTDr,d2047,merriam2026dravidiandb:pdr:2220,"merriam2026dravidiandb[record 2220, DEDR 2047]",pass
3412,3201,South Dravidian I,South Dravidian,tigVr-,tigvr,circle; wheel,"Starostin, 2006–2013",ingested,,PSD1,d3201,merriam2026dravidiandb:pdr:3412,"merriam2026dravidiandb[record 3412, DEDR 3201];starostin2006dravidian",pass
5924,4536,South Dravidian I,PSouth DravidianI,por-a-,pora,to sell,"Krishnamurti, 2003",ingested,,PSD1,d4536,merriam2026dravidiandb:pdr:5924,"merriam2026dravidiandb[record 5924, DEDR 4536];krishnamurti",pass
2709,2513,South Total Dravidian,South Total Dravidian,čiṭ-,sit,"small; small, little, young; small; mouse","Starostin, 2006–2013",ingested,,PSTDr,d2513,merriam2026dravidiandb:pdr:2709,"merriam2026dravidiandb[record 2709, DEDR 2513];starostin2006dravidian",pass
1451,1347,South Total Dravidian,South Total Dravidian,kaẓ-V- (?),kasv,"molucca bean; Caesalpinia bonducella, bonduc","Merriam, 2025",ingested,,PSTDr,d1347,merriam2026dravidiandb:pdr:1451,"merriam2026dravidiandb[record 1451, DEDR 1347]",pass
865,810,South Total Dravidian,South Total Dravidian,elal,elal,"wind, air; cool breeze, zephyr","Merriam, 2025",ingested,,PSTDr,d810,merriam2026dravidiandb:pdr:865,"merriam2026dravidiandb[record 865, DEDR 810]",pass
6304,3251,Proto-Dravidian,derived *tirV-,*tir-uḷ,tiru,to turn,"Krishnamurti, 2003",ingested,,PDr,d3251,merriam2026dravidiandb:pdr:6304,"merriam2026dravidiandb[record 6304, DEDR 3251];krishnamurti",pass
4004,3785,South Dravidian I,South Dravidian,niṭ- (?),nit,hip; buttocks,"Starostin, 2006–2013",ingested,,PSD1,d3785,merriam2026dravidiandb:pdr:4004,"merriam2026dravidiandb[record 4004, DEDR 3785];starostin2006dravidian",pass
2877,2672,Central Dravidian,Central Dravidian,supar- (*c-),supar,tamarind,"Starostin, 2006–2013",ingested,,PCDr,d2672,merriam2026dravidiandb:pdr:2877,"merriam2026dravidiandb[record 2877, DEDR 2672];starostin2006dravidian",pass
3469,3259,Proto-Dravidian,Proto-Dravidian,ted_-a-,teta,to open; open,"Starostin, 2006–2013",ingested,,PDr,d3259,merriam2026dravidiandb:pdr:3469,"merriam2026dravidiandb[record 3469, DEDR 3259];starostin2006dravidian",pass
