Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
head,bashir:khowar:86db329a23,,-aá,Kho-Bashir-src-source-mnn,part,ís there any water in that glass up there?,,14,1
head,bashir:khowar:700ee82fd4,,abád,Kho-Bashir-src-mys|Kho-Bashir-src-swka,adj,settled,"[< Prs., Ur.]",14,1
subentry,bashir:khowar:700ee82fd4:subentry:1,bashir:khowar:700ee82fd4,abadí,Kho-Bashir-src-mys|Kho-Bashir-src-swka,n,place to live,Subentry of abád,14,1
subentry,bashir:khowar:700ee82fd4:subentry:2,bashir:khowar:700ee82fd4,abadiγeér,Kho-Bashir-src-mys|Kho-Bashir-src-swka,n,place where a house was/is to be built,Subentry of abád,14,1
head,bashir:khowar:d78d4c8370,,abás,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-gmkh|Kho-Bashir-src-ms,adj,ordinary,,14,1
head,bashir:khowar:f82e1b463d,,abathá,Kho-Bashir-src-ms,adj,forgotten,,14,1
subentry,bashir:khowar:f82e1b463d:subentry:1,bashir:khowar:f82e1b463d,abathá bik,Kho-Bashir-src-ms,intr verb,"to get lost, go astray, be mistaken",Subentry of abathá,14,1
subentry,bashir:khowar:f82e1b463d:subentry:2,bashir:khowar:f82e1b463d,abathá korík,Kho-Bashir-src-ms,tr verb,"to mislead someone, to cause someone to go astray, to cause someone",Subentry of abathá,14,1
head,bashir:khowar:7c5631c197,,ač-,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,n,back,[< Skt. (M:1973) (T8000)]; Morphology: ač + -tu; ač + -a; ač + -ó; ač + -i; ač- + -o,14,1
variant,bashir:khowar:7c5631c197:variant:1,bashir:khowar:7c5631c197,áštu,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,n,back,Other pronunciation of ač-: áštu (RAKR),14,1
subentry,bashir:khowar:7c5631c197:subentry:1,bashir:khowar:7c5631c197,áčtu,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adv,behind (with vertical meaning component),Subentry of ač-; Morphology: ač + -tu,14,1
subentry,bashir:khowar:7c5631c197:subentry:2,bashir:khowar:7c5631c197,áča,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adv,"behind (spatial, pointlike location)",Subentry of ač-; Morphology: ač + -a,14,1
subentry,bashir:khowar:7c5631c197:subentry:3,bashir:khowar:7c5631c197,ačhó,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adj,of the past,Subentry of ač-; Morphology: ač + -ó,14,1
subentry,bashir:khowar:7c5631c197:subentry:4,bashir:khowar:7c5631c197,áči,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adv,behind (spatial),Subentry of ač-; Morphology: ač + -i,14,1
subentry,bashir:khowar:7c5631c197:subentry:5,bashir:khowar:7c5631c197,áčo,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,adv,behind (spatial),Subentry of ač-; Morphology: ač- + -o,14,1
subentry,bashir:khowar:7c5631c197:subentry:6,bashir:khowar:7c5631c197,ačé,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb|Kho-Bashir-src-rakr|Kho-Bashir-src-mys,intr verb,Move back!,Subentry of ač-,14,1
head,bashir:khowar:2f259f693a,,ačár,Kho-Bashir-src-mnn,n,dried onions,,14,1
subentry,bashir:khowar:2f259f693a:subentry:1,bashir:khowar:2f259f693a,ačár dreék,Kho-Bashir-src-mnn,tr verb,to put onions in the sun to dry,Subentry of ačár,14,1
head,bashir:khowar:492ac554db,,ačitrúng,Kho-Bashir-src-swka|Kho-Bashir-src-tmf,n,first clothes made for a child after birth,,14,1
