Printed_Page,Entry,Form,Definition,Loan_Codes,Tags,Entry_Key
687,1,abā,itj. dear; alas,,interj,ali-kobayashi2024:p687:e1
687,2,acānak,adv. suddenly,H,adv loanword,ali-kobayashi2024:p687:e2
687,3,aḍḍ,n. shelter,,noun,ali-kobayashi2024:p687:e3
687,4,aḍkann-ing,vi. to take shelter; stop,,verb intr,ali-kobayashi2024:p687:e4
687,5,adal,n. justice,A,noun loanword,ali-kobayashi2024:p687:e5
687,6,adā,itj. brother; guys; sir,Si.,interj loanword,ali-kobayashi2024:p687:e6
687,7,adā kann-ing,vt. to fulfil,A,verb tr loanword,ali-kobayashi2024:p687:e7
687,8,adālatt,n. court,A,noun loanword,ali-kobayashi2024:p687:e8
687,9,adīra,n. tomb,,noun,ali-kobayashi2024:p687:e9
687,10,ae,pron. that; they; he; she,,pron,ali-kobayashi2024:p687:e10
687,11,ae,itj. say; alas,,interj,ali-kobayashi2024:p687:e11
687,12,aeb,n. fault,A,noun loanword,ali-kobayashi2024:p687:e12
687,13,aebdār,a. defective,A,adj loanword,ali-kobayashi2024:p687:e13
687,14,aekān,adv. from there,,adv,ali-kobayashi2024:p687:e14
687,15,aeno,adv. today,,adv,ali-kobayashi2024:p687:e15
687,16,aeno-pagga,adv. nowadays,,adv,ali-kobayashi2024:p687:e16
687,17,aeṛe,adv. there,,adv,ali-kobayashi2024:p687:e17
687,18,aesās,n. sense of touch; feeling,A,noun loanword,ali-kobayashi2024:p687:e18
687,19,af,COP.NEG.PRS.3SG (ann-ing),,verb copula pres neg 3sg,ali-kobayashi2024:p687:e19
687,20,aga,conj. if,F,conj loanword,ali-kobayashi2024:p687:e20
687,21,agar,conj. if,F,conj loanword,ali-kobayashi2024:p687:e21
687,22,agi,conj. if,F,conj loanword,ali-kobayashi2024:p687:e22
687,23,agṛī,n. patch,,noun,ali-kobayashi2024:p687:e23
687,24,ahvāl,n. news,A,noun loanword,ali-kobayashi2024:p687:e24
687,25,ajab,a. wonderful; unexpected,A,adj loanword,ali-kobayashi2024:p687:e25
687,26,alādīn,prop. Aladdin,A,proper-noun loanword,ali-kobayashi2024:p687:e26
687,27,alāhoš,a. panicked,,adj,ali-kobayashi2024:p687:e27
687,28,alk,take-PST.3SG (hall-ing),,verb pret 3sg,ali-kobayashi2024:p687:e28
687,29,all,itj. oh,,interj,ali-kobayashi2024:p687:e29
687,30,allā,n. God,A,noun loanword,ali-kobayashi2024:p687:e30
687,31,allāh,n. God,A,noun loanword,ali-kobayashi2024:p687:e31
687,32,allāī,a. godly; inevitable; very long,,adj,ali-kobayashi2024:p687:e32
