Upstream_ID,NameInSource,Glottocode,Form_Count,Imported,Parent_ID,Parent_Name,Decision
JAPANESE,Japanese,nucl1643,186,No,,,no existing parent
AINU,Ainu,sakh1245,205,No,,,no existing parent
KOREAN,Korean,kore1280,194,No,,,no existing parent
TURKI,Turkī,nucl1301,226,Yes,Tr,Turkish,unique existing-language name
MANCHU,Manchu,manc1252,182,No,,,no existing parent
MONGOLIAN,Mongolian,mong1331,232,No,,,no existing parent
SAKUPA,Sakupà,,77,No,,,no existing parent
BASQUE,Basque,basq1248,249,No,,,no existing parent
BURUSHASKI,Burušaskī,buru1296,182,Yes,Bur,Burushaski,unique existing-language name
MALAY,Malay,baba1267,144,No,,,no existing parent
CHAM,Cham,cham1328,138,No,,,no existing parent
SALON,Salôn,moke1242,97,No,,,no existing parent
KHMER,K’mēr,cent1989,158,No,,,no existing parent
TALAINGWRITTEN,"Talaing, written",monn1252,186,No,,,no existing parent
TALAINGSPOKEN,"Talaing, spoken",monn1252,182,No,,,no existing parent
SAKAI,Sakai,seno1278,211,No,,,no existing parent
SEMANG,Sěmang,nort2682,130,No,,,no existing parent
PALAUNG,Palaung,ruma1248,271,No,,,no existing parent
KATURR,Katuṟṟ,,176,No,,,no existing parent
DARANG,Darāng,ruch1235,89,No,,,no existing parent
WA,Wa,nucl1290,185,No,,,no existing parent
SON,Sǒn,sonn1238,92,No,,,no existing parent
EN,En,ennn1242,85,No,,,no existing parent
TAILOI,Tai-loi,tail1246,86,No,,,no existing parent
AMOK,A Mǒk,mokk1243,90,No,,,no existing parent
ANGKU,Āng-kū,huuu1240,76,No,,,no existing parent
MOENGLWE,Möng Lwe,,75,No,,,no existing parent
DANAO,Danå,dana1252,189,No,,,no existing parent
YINRIANG,Yin/Riang,rian1261,106,No,,,no existing parent
KHAMUK,K’a Muk,khmu1255,40,No,,,no existing parent
KHASISTANDARD,"K’āsī, Standard",khas1269,185,No,,,no existing parent
WAR,Wār,warj1242,182,No,,,no existing parent
NICOBARESE,Nicobarese,cent1990,215,No,,,no existing parent
KHERWARISANTHALI,"K’erwārī, Santālī",sant1410,187,Yes,sa,Santali,unique existing-language name
MUNDARI,Muṇḍārī,mund1320,184,Yes,mu,Mundari,unique existing-language name
KURKU,Kūrkū,kork1243,183,Yes,ko,Korku,unique existing-language name
KHARIA,K’aṛiā,khar1287,169,Yes,kh,Kharia,unique existing-language name
JUANG,Juāṅg,juan1238,157,Yes,ju,Juang,unique existing-language name
SAVARA,Savara,sora1254,205,Yes,so,Sora,unique existing-language name
GADABA,Gadabā,bodo1267,222,Yes,Gadaba,Gadaba,unique existing-language name
MANDARIN,Mandarin,mand1415,200,No,,,no existing parent
CANTONESE,Cantonese,cant1236,194,No,,,no existing parent
GYAOMI,Gyåmi,mand1415,92,No,,,no existing parent
SIAMESEWRITTEN,"Siamese, written",thai1261,183,No,,,no existing parent
SIAMESESPOKEN,"Siamese, spoken",thai1261,180,No,,,no existing parent
LU,Lü,luuu1242,169,No,,,no existing parent
KHUN,K’ün,khun1259,169,No,,,no existing parent
SHAN,Šàn,shan1277,178,No,,,no existing parent
AHOM,Āhom,ahom1240,199,No,,,no existing parent
KHAMTI,K’āmtī,kham1290,173,No,,,no existing parent
VIETNAMESE,Annamese,viet1252,175,No,,,no existing parent
PWOLITERARY,"Pwo, literary",phra1235,169,No,,,no existing parent
PWOBASSEIN,Pwo Bassein,pwow1235,174,No,,,no existing parent
PWOMAULMEIN,Pwo Maulmein,pwoe1235,173,No,,,no existing parent
TAUNGTHU,Taungθu,paok1235,169,No,,,no existing parent
SGALITERARY,"Sgå, literary",sgaw1245,168,No,,,no existing parent
SGASPOKEN,"Sgå, spoken",sgaw1245,192,No,,,no existing parent
BWE,Bwè,bwek1238,182,No,,,no existing parent
WEWAW,Wewaw,wewa1238,175,No,,,no existing parent
KARENBYU,Karenbyu,geba1237,173,No,,,no existing parent
BRAEO,Bräo,geba1237,109,No,,,no existing parent
KARENNI,Karenni,east2342,177,No,,,no existing parent
YINTALAE,Yintalä,yint1235,94,No,,,no existing parent
SINHMAOMAEPAUK,Sin-hmå Mäpauk,manu1255,93,No,,,no existing parent
GHEKO,Gheko,geko1235,169,No,,,no existing parent
PADAUNG,Padaung,kaya1315,167,No,,,no existing parent
YEINBA,Yeinbå,yinb1236,175,No,,,no existing parent
MANOE,Manö,manu1255,91,No,,,no existing parent
ZAVEIN,Zayein,zaye1235,163,No,,,no existing parent
MOPWABILICHI,"Mopwa, Bilichi",bili1249,197,No,,,no existing parent
MOPWADERMUHA,"Mopwa, Dermuha",derm1238,170,No,,,no existing parent
MIAOTSUHMONG,Miao-tsü (Hmōng),pahn1237,193,No,,,no existing parent
HEMIAO,Hē-Miao,east2369,92,No,,,no existing parent
PEMIAO,Pē-Miao,,167,No,,,no existing parent
MAN,Man,biao1256,179,No,,,no existing parent
LANTENYAO,Lanten-Yao,kimm1245,62,No,,,no existing parent
MANLANTIEN,Man-lan-tiēn,kimm1245,157,No,,,no existing parent
MANTAPAN,Man-ta-pan,kimm1245,157,No,,,no existing parent
MANCHATIORPATNI,Manchāṭī,karb1241,177,No,,,no existing parent
CHAMBALAHULI,Chamba Lāhulī,cham1308,149,No,,,no existing parent
KANASHI,Kanāšī,kana1283,173,No,,,no existing parent
KANAURI,Kanaurī,kinn1249,197,No,,,no existing parent
RANGKAS,Rangkas,rang1266,173,No,,,no existing parent
DHIMAL,D’īmāl,dhim1246,169,No,,,no existing parent
THAMI,T’āmī,than1259,156,No,,,no existing parent
LIMBU,Limbū,limb1266,191,No,,,no existing parent
YAKHA,Yāk’ā,yakk1236,165,No,,,no existing parent
KHAMBU,K’ambū,kham1288,167,No,,,no existing parent
BAHING,Bāhing,bahi1252,175,No,,,no existing parent
BALALI,Bālālī,nort2727,104,Yes,Lohorung,Lohorung,unique existing-language name
SANGPANG,Sāngpāng,samp1249,114,Yes,Sampang,Sampang,unique existing-language name
LOHORONG,Lōhōrông,nort2727,121,Yes,Lohorung,Lohorung,unique existing-language name
LAMBICHHONG,Lāmbich’ōng,yakk1236,102,No,,,no existing parent
WALING,Wāling,wali1261,98,No,,,no existing parent
CHHINGTANG,Ch’ingtāng,chhi1245,85,No,,,no existing parent
RUNGCHHENBUNG,Rūngch’ēnbūng,bant1281,127,No,,,no existing parent
DUNGMALI,Dūngmāli,dung1252,95,No,,,no existing parent
RODONGORCHAMLING,Rōdōng,caml1239,112,No,,,no existing parent
NACHHERENG,Nāch’erēng,nach1240,87,No,,,no existing parent
KULUNG,Kūlung,kulu1253,96,No,,,no existing parent
THULUNG,T’ūlung,drun1238,109,No,,,no existing parent
CHAURASYA,Chaurāsya,wamb1257,83,No,,,no existing parent
KHALING,K’āling,khal1275,92,No,,,no existing parent
DUMI,Dūmī,dumi1241,109,No,,,no existing parent
RAIORJIMDAR,Rai/Jimdār,athp1241,158,No,,,no existing parent
VAYUORHAYU,Vāyu/Hāyu,wayu1241,168,No,,,no existing parent
GURUNG,Gurng,east2345,186,Yes,Gurung,Gurung,unique existing-language name
MURMI,Murmi,west2415,177,Yes,WesternTamang,Western Tamang,unique existing-language name
SUNWAR,Sunwār,sunw1242,167,No,,,no existing parent
MAGARI,Mãgarī,west2418,179,Yes,WesternMagar,Western Magar,unique existing-language name
NEWARI,Nēwārī,newa1246,189,Yes,New,Newari,unique existing-language name
PADIPAHRIORPAHI,Paḍ’ī /Pahrī/Pahī,newa1246,184,Yes,New,Newari,unique existing-language Glottocode
RONGORLEPCHA,Róng/Lepcha,lepc1244,176,No,,,no existing parent
TOTO,Ṭōṭō,toto1302,100,No,,,no existing parent
AKA,Aka,hrus1242,205,No,,,no existing parent
ABOR,Abor,bori1243,156,No,,,no existing parent
MIRI,Miri,misi1242,158,No,,,no existing parent
DAFLA,Daflā,nyis1236,165,Yes,Nyishi,Nyishi-Hill Miri,unique existing-language name
MISHMIDIGARU,"Mišmi, Digārū",diga1241,133,No,,,no existing parent
MIJU,Mījū,miju1243,112,No,,,no existing parent
SIHIA,Si-hia,tang1334,65,No,,,no existing parent
LOLONI,"Lolo, ˨˦Ñi",axiy1235,179,No,,,no existing parent
AHI,A-hi,,197,No,,,no existing parent
LOLOPHO,Lo-lo p’o,lagh1245,157,No,,,no existing parent
AKAKA,A-ka (Kå),akha1245,175,No,,,no existing parent
AKO,A-kö,akoo1247,87,No,,,no existing parent
LISU,Lisu,lisu1250,175,No,,,no existing parent
LISHAOYAOYIN,Lis’å,lisu1250,166,No,,,no existing parent
MOSHO,Mo-s’o,lahu1253,175,No,,,no existing parent
LAHU,Lahu,lahu1253,171,No,,,no existing parent
PYENORPYIN,Pyen /Pyin,pyen1239,77,No,,,no existing parent
NUNG,Nung,nung1282,177,No,,,no existing parent
GYAORUNG,Gyårūng,jiar1240,78,No,,,no existing parent
MANYAK,Mànyàk,muya1239,80,No,,,no existing parent
THAUCHU,T’auchū,,89,No,,,no existing parent
TAKPA,Tàkpà,dakp1242,77,No,,,no existing parent
HAURPA,Haurpà,,86,No,,,no existing parent
BHOTIATIBETANWRITTEN,"B’ōṭiā, Tibetan, written",sikk1242,176,No,,,no existing parent
BHOTIATIBETANSPOKEN,"B’ōṭiā, Tibetan, spoken",sikk1242,182,No,,,no existing parent
BALTI,Baltī,balt1258,193,Yes,Balti,Balti,unique existing-language name
BHOTIAOFPURIK,Purik-Sham-Nubra of Purik,puri1258,197,Yes,HKAT-prx,Purik,unique existing-language Glottocode
LADAKHI,Ladak’ī,lada1244,198,Yes,HKAT-lbj,Ladakhi,unique existing-language name
LADAKHIOFSPITI,Spiti Bhoti of Spiti,spit1240,169,No,,,no existing parent
KAGATE,Kāgate,kaga1252,150,No,,,no existing parent
SHARPA,Šarpa,sher1255,164,No,,,no existing parent
DANJONGKA,Dänjongkä,sikk1242,148,No,,,no existing parent
HLOKE,Hloke,lowa1242,163,Yes,Loy,Loke,unique existing-language Glottocode
BODOORBARA,Bodo,bodo1269,183,No,,,no existing parent
LALUNG,Lālung,tiwa1253,163,No,,,no existing parent
DIMASA,Dīmā-sā,dima1251,169,No,,,no existing parent
GAROACHIK,"Gārō, Āchik",garo1247,171,No,,,no existing parent
KOCH,Kōch,koch1250,147,No,,,no existing parent
TIPURA,Tipurā,kokb1239,166,No,,,no existing parent
DEURICHUTIYA,Deurī-Chutiyā,deor1238,177,No,,,no existing parent
ANGAMI,Angāmi,anga1288,187,No,,,no existing parent
SEMA,Semā,sumi1235,201,No,,,no existing parent
RENGMA,Rengmā,nort2725,147,No,,,no existing parent
KEZAMA,Kēžāmā,khez1235,153,No,,,no existing parent
SOPVOMA,Sopvomā,maon1238,174,No,,,no existing parent
AO,Āo,aona1235,194,No,,,no existing parent
HLOTA,Hlōtā,loth1237,197,No,,,no existing parent
TENGSA,Tengsa,tase1235,74,No,,,no existing parent
THUKUMI,T’ukumi,sang1321,87,No,,,no existing parent
YACHUMI,Yachumi,yimc1240,89,No,,,no existing parent
TABLENG,Tableng,kony1248,166,No,,,no existing parent
TAMLU,Tamlu,phom1236,166,No,,,no existing parent
BANPARA,Banparā,wanc1238,155,No,,,no existing parent
NAMSANGIA,Namsangiā,noct1238,148,No,,,no existing parent
CHANG,Chāng,chan1313,181,No,,,no existing parent
MOSHANG,Mōšāng,mosa1240,81,No,,,no existing parent
EMPEO,Ēmpēo,zeme1240,154,No,,,no existing parent
KABUI,Kabui,rong1266,171,No,,,no existing parent
KHOIRAO,K’oirāo,than1255,165,No,,,no existing parent
MIKIR,Mikir,karb1241,180,No,,,no existing parent
MARAM,Marām,mara1379,84,No,,,no existing parent
KWOIRENG,Kwoireng,lian1251,83,No,,,no existing parent
TANGKHUL,Tāngk’ul,ukhr1238,172,No,,,no existing parent
PHADANG,P’adāng,phad1238,81,No,,,no existing parent
KHANGOI,K’angoi,khan1277,82,No,,,no existing parent
MARING,Maring,mari1416,172,No,,,no existing parent
CHINGPAORKACHIN,Chingpå/Kachin,kach1280,181,No,,,no existing parent
MARAN,Maran,,157,No,,,no existing parent
SINGPHO,Singp’o,sing1264,172,No,,,no existing parent
OLDMEITHEI,Old Meit’ei,,190,No,,,no existing parent
MEITHEI,Meit’ei,mani1292,188,No,,,no existing parent
THADO,T’ādo,thad1238,186,No,,,no existing parent
SIYIN,Siyin,siyi1240,181,No,,,no existing parent
LAI,Lai,haka1240,174,No,,,no existing parent
LUSHEI,LušēI,lush1249,165,No,,,no existing parent
BANJOGI,Banjōgi,zotu1235,156,No,,,no existing parent
PANKHU,Pānk’ū,pank1249,163,No,,,no existing parent
HRANGKHOL,Hrāngk’ol,hran1239,189,No,,,no existing parent
HALLAM,Hallām,fala1243,192,No,,,no existing parent
LANGRONG,Langrong,khur1238,187,No,,,no existing parent
AIMOL,Aimol,aimo1244,173,No,,,no existing parent
CHIRU,Chiru,chir1283,174,No,,,no existing parent
KOLHRENG,Kolhreng,kolh1240,176,No,,,no existing parent
KOM,Kōm,komi1270,176,No,,,no existing parent
PURUM,Pūrūm,puru1266,173,No,,,no existing parent
ANAL,Anāl,anal1239,175,No,,,no existing parent
HIROILAMGANG,Hirōi-Lamgāng,lamk1238,168,No,,,no existing parent
TAUNGTHA,Taungθa,paok1235,168,No,,,no existing parent
CHINBOK,Chinbōk,munc1235,80,No,,,no existing parent
YAWDWIN,Yådwin,munc1235,84,No,,,no existing parent
CHINBON,Chinbōn,chin1478,166,No,,,no existing parent
THAYETMYOCHIN,Thayetmyo Chin,thay1247,166,No,,,no existing parent
SHOORKHYANG,Šö/K’yang,asho1236,182,No,,,no existing parent
KHAMI,K’ami,kham1284,128,No,,,no existing parent
ANDRO,Andro,kadu1254,90,No,,,no existing parent
SENGMAI,Sengmai,kadu1254,44,No,,,no existing parent
CHAIREL,Chairel,chai1254,88,No,,,no existing parent
KADU,Kadu,kadu1254,142,No,,,no existing parent
SZIORATSI,Szi/Atsi,zaiw1241,107,No,,,no existing parent
LASHIORLECHI,Laši/Lechi,lash1243,63,No,,,no existing parent
MARU,Maru,maru1249,175,No,,,no existing parent
MAINGTHAORNGACHANG,Maingθa/Ngachang,acha1249,165,No,,,no existing parent
PHUNSAMONG,"P’un, Samong",hpon1238,170,No,,,no existing parent
MEGYAO,Me-gyå,,185,No,,,no existing parent
MRU,Mrū,mruu1242,158,No,,,no existing parent
BURMESEWRITTEN,"Burmese, written",nucl1310,162,No,,,no existing parent
BURMESESPOKEN,"Burmese, spoken",nucl1310,162,No,,,no existing parent
