Status,Reason,PDF_Page,Printed_Page,Entry,Raw_Form_POS,Form,POS,Definition,Mean_Confidence,Low_Confidence_Tokens,Entry_Key,Emitted_Keys,Rejected_Forms,Review_Flags
ocr_unreviewed,source transcription requires human verification,144,136,1,ədou V.,ədou,V.,to press.,93.43,,ghatage-kasargod1970:p136:e1,ghatage-kasargod1970:p136:e1,,
ocr_unreviewed,source transcription requires human verification,144,136,2,ənni N.,ənni,N.,boiled rice.,75.18,ənni,ghatage-kasargod1970:p136:e2,ghatage-kasargod1970:p136:e2,,low-confidence
ocr_unreviewed,source transcription requires human verification,144,136,3,ədki Adj.,ədki,Adj.,more.,91.65,,ghatage-kasargod1970:p136:e3,ghatage-kasargod1970:p136:e3,,
ocr_unreviewed,source transcription requires human verification,144,136,4,ilodi N.,ilodi,N.,turmeric.,92.51,,ghatage-kasargod1970:p136:e4,ghatage-kasargod1970:p136:e4,,
ocr_unreviewed,source transcription requires human verification,144,136,5,ilədi Adj.,ilədi,Adj.,yellow.,93.12,,ghatage-kasargod1970:p136:e5,ghatage-kasargod1970:p136:e5,,
verified,Recovered the contrastive central high vowels from the source image.,144,136,6,t:sti N.,ɨ:stɨ,N.,elephant.,91.58,,ghatage-kasargod1970:p136:e6,ghatage-kasargod1970:p136:e6,,human-corrected
ocr_unreviewed,source transcription requires human verification,144,136,7,akəri V.,akəri,V.,to call.,93.94,,ghatage-kasargod1970:p136:e7,ghatage-kasargod1970:p136:e7,,
ocr_unreviewed,source transcription requires human verification,144,136,8,akka N.,akka,N.,elder sister.,95.73,,ghatage-kasargod1970:p136:e8,ghatage-kasargod1970:p136:e8,,
ocr_unreviewed,source transcription requires human verification,144,136,9,akkudu Adj.,akkudu,Adj.,short.,81.45,,ghatage-kasargod1970:p136:e9,ghatage-kasargod1970:p136:e9,,
ocr_unreviewed,source transcription requires human verification,144,136,10,aga:ri N.,aga:ri,N.,garden.,93.93,,ghatage-kasargod1970:p136:e10,ghatage-kasargod1970:p136:e10,,
ocr_unreviewed,source transcription requires human verification,144,136,11,agiči pețți F.,agiči pețți,F.,match box.,69.88,box.,ghatage-kasargod1970:p136:e11,ghatage-kasargod1970:p136:e11,,low-confidence
ocr_unreviewed,source transcription requires human verification,144,136,12,agkəlit V.,agkəlit,V.,"to raise, to lift.",83.47,agkəlit,ghatage-kasargod1970:p136:e12,ghatage-kasargod1970:p136:e12,,low-confidence
ocr_unreviewed,source transcription requires human verification,144,136,13,ayko:u V.,ayko:u,V.,"to ride, to drive.",79.94,ayko:u,ghatage-kasargod1970:p136:e13,ghatage-kasargod1970:p136:e13,,low-confidence
ocr_unreviewed,source transcription requires human verification,144,136,14,angi E.,angi,E.,"frock, shirt.",86.41,angi,ghatage-kasargod1970:p136:e14,ghatage-kasargod1970:p136:e14,,low-confidence
ocr_unreviewed,source transcription requires human verification,144,136,15,agta bə:tțt M.,agta bə:tțt,M.,thumb.,72.79,bə:tțt,ghatage-kasargod1970:p136:e15,ghatage-kasargod1970:p136:e15,,low-confidence
ocr_unreviewed,source transcription requires human verification,144,136,16,ačči kə:ri V.,ačči kə:ri,V.,to print.,91.10,,ghatage-kasargod1970:p136:e16,ghatage-kasargod1970:p136:e16,,
ocr_unreviewed,source transcription requires human verification,144,136,17,ajja M.,ajja,M.,grand father.,96.44,,ghatage-kasargod1970:p136:e17,ghatage-kasargod1970:p136:e17,,
ocr_unreviewed,source transcription requires human verification,144,136,18,ajji F.,ajji,F.,grand mother.,93.60,,ghatage-kasargod1970:p136:e18,ghatage-kasargod1970:p136:e18,,
ocr_unreviewed,source transcription requires human verification,144,136,19,ajjimiri N.,ajjimiri,N.,rainbow.,92.25,,ghatage-kasargod1970:p136:e19,ghatage-kasargod1970:p136:e19,,
ocr_unreviewed,source transcription requires human verification,144,136,20,anjur M.,anjur,M.,fig.,63.07,anjur,ghatage-kasargod1970:p136:e20,ghatage-kasargod1970:p136:e20,,low-confidence
ocr_unreviewed,source transcription requires human verification,144,136,21,ați F.,ați,F.,cow shed.,95.20,,ghatage-kasargod1970:p136:e21,ghatage-kasargod1970:p136:e21,,
ocr_unreviewed,source transcription requires human verification,144,136,22,ațou V.,ațou,V.,"to remember, to think.,",88.63,,ghatage-kasargod1970:p136:e22,ghatage-kasargod1970:p136:e22,,
ocr_unreviewed,source transcription requires human verification,144,136,23,ațə,ațə,,memory.,72.05,ațə,ghatage-kasargod1970:p136:e23,ghatage-kasargod1970:p136:e23,,low-confidence
ocr_unreviewed,source transcription requires human verification,144,136,24,atlu F.,atlu,F.,jack fruit pit.,86.60,atlu,ghatage-kasargod1970:p136:e24,ghatage-kasargod1970:p136:e24,,low-confidence
ocr_unreviewed,source transcription requires human verification,144,136,25,adige kəri V.,adige kəri,V.,to cook.,89.50,,ghatage-kasargod1970:p136:e25,ghatage-kasargod1970:p136:e25,,
ocr_unreviewed,source transcription requires human verification,144,136,26,adige kərtələ M.,adige kərtələ,M.,cook.,94.07,,ghatage-kasargod1970:p136:e26,ghatage-kasargod1970:p136:e26,,
ocr_unreviewed,source transcription requires human verification,144,136,27,aduku F.N.,aduku,F.N.,bone.,93.52,,ghatage-kasargod1970:p136:e27,ghatage-kasargod1970:p136:e27,,
ocr_unreviewed,source transcription requires human verification,144,136,28,aduve N.,aduve,N.,rafter.,88.87,,ghatage-kasargod1970:p136:e28,ghatage-kasargod1970:p136:e28,,
