Status,Entry_Key,Snapshot_Revision,Snapshot_Timestamp,Wikitext_Line,Raw_Gloss,Gloss,Raw_Form,Form,Raw_Origin,Origin,Raw_Page_Marker,Variant_Number
ingested,nagaraja2014-wiktionary:1,88143027,2025-11-12T18:53:49Z,11,[[all]] of a [[sudden]],all of a sudden,acaːnak,acaːnak,Hindi,Hindi,,1
ingested,nagaraja2014-wiktionary:2,88143027,2025-11-12T18:53:49Z,13,[[end]] (of a [[cloth]] [[worn]] by [[ladies]]),end (of a cloth worn by ladies),acaːr,acaːr,,,,1
ingested,nagaraja2014-wiktionary:3,88143027,2025-11-12T18:53:49Z,15,to [[sneeze]],to sneeze,acchi-,acchi-,Dr./IA?,Dr./IA?,,1
ingested,nagaraja2014-wiktionary:4,88143027,2025-11-12T18:53:49Z,17,to [[dig]],to dig,acci-be,acci-be,,,,1
ingested,nagaraja2014-wiktionary:5,88143027,2025-11-12T18:53:49Z,19,[[all]] of a [[sudden]],all of a sudden,aḍawḍi,aḍawḍi,,,,1
ingested,nagaraja2014-wiktionary:6,88143027,2025-11-12T18:53:49Z,21,to [[burn]] ([[intr]].),to burn (intr.),aḍek,aḍek,,,,1
ingested,nagaraja2014-wiktionary:7,88143027,2025-11-12T18:53:49Z,23,to [[kindle]] ([[tr]].),to kindle (tr.),aḍek-kamaː-be,aḍek-kamaː-be,,,,1
ingested,nagaraja2014-wiktionary:8,88143027,2025-11-12T18:53:49Z,25,[[thick]] ([[e.g]]. [[cloth]]),thick (e.g. cloth),addo,addo,,,,1
ingested,nagaraja2014-wiktionary:9,88143027,2025-11-12T18:53:49Z,27,[[exchange]],exchange,adla-badli,adla-badli,Hindi,Hindi,,1
ingested,nagaraja2014-wiktionary:10,88143027,2025-11-12T18:53:49Z,29,[[train]],train,aggari,aggari,Hindi,Hindi,,1
ingested,nagaraja2014-wiktionary:11,88143027,2025-11-12T18:53:49Z,31,[[sweat]],sweat,agin (a ‘half long’),agin,,,,1
ingested,nagaraja2014-wiktionary:12,88143027,2025-11-12T18:53:49Z,33,to [[perspire]],to perspire,agin-be,agin-be,,,,1
ingested,nagaraja2014-wiktionary:13,88143027,2025-11-12T18:53:49Z,35,[[going]] – [[while]],going – while,agor-agor,agor-agor,,,,1
ingested,nagaraja2014-wiktionary:14,88143027,2025-11-12T18:53:49Z,37,to [[close]] ([[door]]),to close (door),agri-be,agri-be,,,,1
ingested,nagaraja2014-wiktionary:15,88143027,2025-11-12T18:53:49Z,39,"to [[catch]] ([[animal]], [[etc]].)","to catch (animal, etc.)",agur,agur,,,,1
ingested,nagaraja2014-wiktionary:16,88143027,2025-11-12T18:53:49Z,41,[[these]] [[days]],these days,ahun,ahun,,,,1
ingested,nagaraja2014-wiktionary:17,88143027,2025-11-12T18:53:49Z,43,[[husband]]’s [[younger]] [[sister]],husband’s younger sister,aji,aji,,,,1
ingested,nagaraja2014-wiktionary:18,88143027,2025-11-12T18:53:49Z,45,[[python]],python,ajigaːr,ajigaːr,Hindi,Hindi,,1
ingested,nagaraja2014-wiktionary:19,88143027,2025-11-12T18:53:49Z,47,to [[vomit]],to vomit,ajini,ajini,,,,1
ingested,nagaraja2014-wiktionary:20,88143027,2025-11-12T18:53:49Z,49,to [[bow]]/[[hold]] ([[leg]]),to bow/hold (leg),ajli-be,ajli-be,,,,1
ingested,nagaraja2014-wiktionary:21,88143027,2025-11-12T18:53:49Z,51,"[[just]] [[now]], [[soon]]","just now, soon",aju,aju,,,,1
ingested,nagaraja2014-wiktionary:22,88143027,2025-11-12T18:53:49Z,53,[[also]],also,ajyu,ajyu,,,,1
ingested,nagaraja2014-wiktionary:23,88143027,2025-11-12T18:53:49Z,55,a [[kind]] of [[tree]],a kind of tree,akaw aːḍḍo,akaw aːḍḍo,,,*,1
ingested,nagaraja2014-wiktionary:24,88143027,2025-11-12T18:53:49Z,57,to [[hang]] [[something]],to hang something,akha-be,akha-be,,,,1
ingested,nagaraja2014-wiktionary:25,88143027,2025-11-12T18:53:49Z,59,[[finger]],finger,akhanḍa,akhanḍa,,,,1
ingested,nagaraja2014-wiktionary:26,88143027,2025-11-12T18:53:49Z,61,[[w:Pola (festival)|Pora]] [[festival]],Pora festival,akkhaːji,akkhaːji,,,,1
ingested,nagaraja2014-wiktionary:27,88143027,2025-11-12T18:53:49Z,63,[[hook]],hook,akoṛa,akoṛa,,,,1
ingested,nagaraja2014-wiktionary:28,88143027,2025-11-12T18:53:49Z,65,[[eleven]],eleven,akra,akra,Marathi,Marathi,,1
ingested,nagaraja2014-wiktionary:29,88143027,2025-11-12T18:53:49Z,67,to [[thin]] a [[bamboo]],to thin a bamboo,alago,alago,,,,1
ingested,nagaraja2014-wiktionary:30,88143027,2025-11-12T18:53:49Z,69,[[new]] [[moon]],new moon,amso,amso,Hindi,Hindi,,1
ingested,nagaraja2014-wiktionary:31,88143027,2025-11-12T18:53:49Z,71,to [[select]],to select,anci-be,anci-be,,,,1
ingested,nagaraja2014-wiktionary:32,88143027,2025-11-12T18:53:49Z,73,[[hello]] (to [[call]] [[attention]] of [[someone]]),hello (to call attention of someone),ane,ane,,,,1
ingested,nagaraja2014-wiktionary:33,88143027,2025-11-12T18:53:49Z,75,[[shirt]],shirt,angaːrako,angaːrako,IA,IA,,1
ingested,nagaraja2014-wiktionary:34,88143027,2025-11-12T18:53:49Z,77,to [[bathe]],to bathe,angluj-be,angluj-be,"Marathi, Korku?","Marathi, Korku?",,1
ingested,nagaraja2014-wiktionary:35,88143027,2025-11-12T18:53:49Z,79,to [[yawn]],to yawn,angub-be,angub-be,Korku,Korku,,1
ingested,nagaraja2014-wiktionary:36,88143027,2025-11-12T18:53:49Z,81,to [[bend]],to bend,anuj,anuj,,,,1
ingested,nagaraja2014-wiktionary:37,88143027,2025-11-12T18:53:49Z,83,to [[make]] to [[cry]],to make to cry,aːpakamaː-be,aːpakamaː-be,,,,1
ingested,nagaraja2014-wiktionary:38,88143027,2025-11-12T18:53:49Z,85,to [[wash]] ([[clothes]]: [[vigorously]]),to wash (clothes: vigorously),apharaːṭini-be,apharaːṭini-be,,,,1
ingested,nagaraja2014-wiktionary:39,88143027,2025-11-12T18:53:49Z,87,to [[fly]],to fly,aphir-,aphir-,Korku,Korku,,1
ingested,nagaraja2014-wiktionary:40,88143027,2025-11-12T18:53:49Z,89,to [[make]] to [[fly]],to make to fly,aphirkam-be,aphirkam-be,Korku,Korku,,1
ingested,nagaraja2014-wiktionary:41,88143027,2025-11-12T18:53:49Z,91,[[two]] [[and]] [[half]],two and half,araːy,araːy,Hindi,Hindi,,1
ingested,nagaraja2014-wiktionary:42,88143027,2025-11-12T18:53:49Z,93,"to [[see]], [[search]]","to see, search",ara-be,ara-be,,,,1
ingested,nagaraja2014-wiktionary:43,88143027,2025-11-12T18:53:49Z,95,[[stale]] [[food]] ([[left]] [[over]] [[food]]),stale food (left over food),arangaːji,arangaːji,,,,1
ingested,nagaraja2014-wiktionary:44,88143027,2025-11-12T18:53:49Z,97,"to [[remove]] [[some]] [[water]] [[from]] the [[pot]], [[for]] [[carrying]]","to remove some water from the pot, for carrying",arej-be,arej-be,,,*,1
ingested,nagaraja2014-wiktionary:45,88143027,2025-11-12T18:53:49Z,99,to [[weave]] ([[cloth]]),to weave (cloth),arku-be,arku-be,,,,1
ingested,nagaraja2014-wiktionary:46,88143027,2025-11-12T18:53:49Z,101,to [[leave]] ([[behind]] [[something]]),to leave (behind something),arn,arn,,,,1
ingested,nagaraja2014-wiktionary:47,88143027,2025-11-12T18:53:49Z,103,[[support]] ([[n]].),support (n.),asra,asra,Hindi,Hindi,,1
ingested,nagaraja2014-wiktionary:48,88143027,2025-11-12T18:53:49Z,105,[[swing]] ([[n]].),swing (n.),asuṛ,asuṛ,,,,1
ingested,nagaraja2014-wiktionary:49,88143027,2025-11-12T18:53:49Z,107,to [[swing]],to swing,asuṛ-be,asuṛ-be,,,,1
