Seed,Upstream_ID,Entry_Key,Stable_Anchor,Volume,Printed_Pages,IAST_Heads,Accepted_Targets,Match_Method,Image_SHA256,OCR_Compared,Head_Match_Compared,OCR_Character_Perfect,Material_Structural_Error,Review_Notes
1953,313,kewa:313,1-048-07,I,48,araḥ,594,exact accented head,104b989f31ec4787290e8445fbfa8a39bb8799d4c53614855340860b55e7d9f8,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,810,kewa:810,1-104-09,I,104,udraḥ,2056,exact accented head,118736babcd7f9481e197e1e8112bae92ff7d80ae605416e325b67a8a54fbf17,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,1152,kewa:1152,1-148-02,I,148,katamaḥ,2692,exact accented head,6ed091901974f8ee2c5c1c0206f1a3d7884590d224bd4e6ff150024ea646b247,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,1390,kewa:1390,1-185-03,I,185,kalyāṇaḥ,2952,exact accented head,52542803b5f44fcce218a2c421f1bfe4a041ae6bcb07983c4ccc28b7987d2600,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,2030,kewa:2030,1-275-09,I,275,krakacaḥ | krakacam,3570,exact accented head,da1b5f5fffa2efa9c0bffc63f7b4ab5549dd6686e0b71b6d238e7f9a26965052,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,3517,kewa:3517,1-499-09,I,499,tigmaḥ,5808,exact accented head,d024407575048f60c6aa41ffbdf91546dad1bd89fed904600d285e8bf62a9b1a,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,4409,kewa:4409,2-059-03,II,59,dṛtaḥ,6510,exact accented head,99838adf3951cdd5d0dec168881d7cd7ddfeedbef2d9a91f2eac383f05894e57,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,4774,kewa:4774,2-139-05,II,139,nardati,6982,exact accented head,d5e609ea61ec0f818ab221694e416ae4c299cd56ec8718dec4e5e2b764502604,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,4830,kewa:4830,2-151-07,II,151,nādaḥ,7052,exact accented head,6bd47b8a338b932c46790cc5ba82fb8fad45106e39e69d7b8c0e776c2f4dd572,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,5741,kewa:5741,2-367-04,II,367,pravaṇaḥ,8775,unique exact accent-normalized head,7615657804e1ee232391ea9c22483d87205b99bb95d50049158e5866317fe813,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,6035,kewa:6035,2-433-01,II,433,bilvaḥ,9248,unique exact accent-normalized head,71c1708d243baed70329584d102bddea5b548fff58bf862a51d0ce86d3686bc8,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,6642,kewa:6642,2-625-03,II,625,mārayati | māraḥ,10063 | 10066,exact accented head,03cccccf162539e8f6105f552d2f347a035e0eef8f9753b19e4d10a06375c574,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,6823,kewa:6823,2-676-02,II,676,mṛduḥ,10292,exact accented head,de42c79d66b8fb125a5da00b687f29d5de3f64d741023b849e9eb4deac3f07c4,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,7872,kewa:7872,3-229-02,III,229,viṣu- | viṣū-,11981,unique exact accent-normalized head,2873eb7dd4a31556b0f9ac42d2e9e019c57e1d704628e0ff0422a9082feca0cb,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,8195,kewa:8195,3-325-326-02,III,325-326,śāmyati,12398,exact accented head,deb6d6d64c9a0883e080cfd3911c9bad0683af758ba0c9dce5cb7d400dc655bd,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,8759,kewa:8759,3-464-465-02,III,464-465,siñcati,13394,exact accented head,98d2e6170d77ab5a8e893322beeb4a5f86d3be123f29ff0e5f7eb10e84f72201,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,8879,kewa:8879,3-494-03,III,494,sūpaḥ,13571,unique exact accent-normalized head,e74711d600101cab66169c93d6b30dd34c9259c814f747cef8e366bdd69f313b,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,9062,kewa:9062,3-539-03,III,539,spṛśati,13815,exact accented head,a3e2e9e59c36b6b1ba36adfd0a9783374fada79f9a73d5bbe72926a4a37871af,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,9142,kewa:9142,3-561-562-03,III,561-562,svapnaḥ,13904,exact accented head,c2024abb2c656da9827fc51a7895a0c5d4514ee09ff63b7927747d06be6796c6,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
1953,9264,kewa:9264,3-598-599-02,III,598-599,hiraṇyam,14110,exact accented head,816d84783104cd899edc6074a48d5e3789b48edf183dda4fcdd165db4e68b3bb,yes,yes,no,no,Complete scan crop and exact index-head/CDIAL mapping verified; OCR has character errors.
