Snapshot_Date,Entry_Key,PDF_Page,Printed_Page,Column,Column_Entry,Headword,Homograph_Number,IPA,Raw_POS,Gloss,Native_Example,English_Example,Scientific_Name,Relation_Label,Relation_Target,Relation_Target_Key,Dialect,Status,Reason,Tags,Source,Raw_Record,Review,Material_Error,Record_SHA256
2026-08-20,torwali2023student:p041:cR:e02,42,41,R,2,بھا,1,bʰa,n,Brother,مھی بھا ہم مے سکول می تھو۔,My brother is also at this school.,,,,,Sinkaen/Bahrain,installed,,noun dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 41, col. 1, entry 2]",بھا] .n rehtorB ⏎ 1 aʰb[ ⏎ مھی بھا ہم مے سکول می تھو۔ ⏎ My brother is also at this ⏎ school.,"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,c2b09aa28b5dc17fab0e708a3fc18ab402c570decfe82663270850f2c3d999c9
2026-08-20,torwali2023student:p042:cL:e01,43,42,L,1,بُھش,,,,spelling variant بش,,,,sp. var. of,بش,,Sinkaen/Bahrain,excluded_no_ipa,unresolved relation target,alternate dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 42, col. 2, entry 1]",بھشfo .rav .psبش ⏎ ےےے,"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,d649b9d25f85c5f4432d2adbbe4723ff9f14cc84c134161927239a4ba0dac115
2026-08-20,torwali2023student:p088:cL:e06,89,88,L,6,چت گام,,,,free variant بالاکوٹ,,,,fr. var. of,بالاکوٹ,torwali2023student:p033:cR:e03,Sinkaen/Bahrain,excluded_no_ipa,source entry supplies no pronunciation,alternate dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 88, col. 2, entry 6]",چت گامfo .rav .rfبالاکوٹ ⏎ ےےےےے,"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,2f00ee8f3ad05c1cec66941755bf688bc3a9d69276cc6fa9815a529fd1401544
2026-08-20,torwali2023student:p111:cR:e03,112,111,R,3,دُورخان,,du:rχan,,,,)(,,,,,Sinkaen/Bahrain,installed,installed with source-blank English gloss,dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 111, col. 1, entry 3]",دورخان] ⏎ [du:rχan ⏎ (.rav .ps دھوخان),"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,3d1c1540051db1cbd91080dae3d7d30eb7b321af1e03be0aeed81cf9d0e5547a
2026-08-20,torwali2023student:p141:cR:e04,142,141,R,4,شوگار,,ʃu:gar,n,Friday,ی لؤآنگا ما موش شوگار ہوئ۔,Friday is before Saturday.,,,,,Sinkaen/Bahrain,installed,,noun dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 141, col. 1, entry 4]",شوگار] .n yadirF ⏎ [ʃu:gar ⏎ ی ⏎ لؤآنگا ما موش شوگار ہوئ۔ ⏎ Friday is before Saturday.,"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,f646fd09af85a94aa97b3abe4f0e3f1348f103485eac2c87fd3bc43898c1f9e4
2026-08-20,torwali2023student:p142:cL:e03,143,142,L,3,شینِب,1,ʃerte,adv,Soon,یین شریئ مھوئ ینری۔,We will come soon.,,,,,Sinkaen/Bahrain,installed,,adv dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 142, col. 2, entry 3]",شینب] .vda nooS ⏎ 1 etreʃ[ ⏎ یین ⏎ شریئ مھوئ ینری۔ ⏎ We will come soon.,"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,e3d3164dba84821727709e06954003e053c2e2723de75262da1411325f53df9b
2026-08-20,torwali2023student:p163:cR:e04,164,163,R,4,کو,2,ko,n,Olive tree,کو سی تھام جھوک سی چھلے ہودو۔,An olive tree is like an oak tree.,,,,,Sinkaen/Bahrain,installed,,noun dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 163, col. 1, entry 4]",کو] .n eert evilO ⏎ 2 ok[ ⏎ کو سی تھام جھوک سی چھلے ⏎ ہودو۔ ⏎ An olive tree is like an oak ⏎ tree.,"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,7aa250f41ffab9283948eaf5c089af1d1239563c7c7904c41b43d55adac28f9f
2026-08-20,torwali2023student:p164:cL:e02,165,164,L,2,کُور,1,,,free variant دیوال,,,,fr. var. of,دیوال,torwali2023student:p114:cL:e06,Sinkaen/Bahrain,excluded_no_ipa,source entry supplies no pronunciation,alternate dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 164, col. 2, entry 2]",کورfo .rav .rfدیوال ⏎ 1ےےےے,"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,6c61bf542150b3da6a3dc90c954754164047c558023997be4a639a71bbc12807
2026-08-20,torwali2023student:p170:cL:e03,171,170,L,3,کُھو,,,,free variant کھے,,,,fr. var. of,کھے,torwali2023student:p172:cR:e02,Sinkaen/Bahrain,excluded_no_ipa,source entry supplies no pronunciation,alternate dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 170, col. 2, entry 3]",کھوfo .rav .rfکھے ⏎ ےےےے,"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,0c77c30014b88b0811e59fb0030bff714251e2ba810e45235734434729ba0dff
2026-08-20,torwali2023student:p172:cR:e05,173,172,R,5,کیئند,,keiɳd,adv,Somewhere,مأ تھأ موش کیئند ڈیڑتو۔,I have seen you somewhere,,,,,Sinkaen/Bahrain,installed,,adv dialect:Tor:torwali2023student-BAH:Bahrain%20%28Torwali%202023%29,"torwali2023student[p. 172, col. 1, entry 5]",کیئند] .vda ⏎ [keiɳd ⏎ Somewhere ⏎ مأ تھأ موش کیئند ڈیڑتو۔ ⏎ I have seen you somewhere,"source-image-verified: IPA, gloss, POS, dialect marker, and inclusion status; PDF ToUnicode headword candidate excluded from canonical Native",no,537d1581d17ff834f493bf6c70e8d33cf7a55df53368dd7b5922a8463ee23540
