Snapshot_Date,Collation_Date,Unit_ID,PDF_Page,Printed_Page,Raw_Form,Raw_Gloss_German,English_Gloss,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Key,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-24,2026-08-24,p71:e01,13,71,a-,Präposition,to; at; before,installed_form,a-,,buddruss-waigali1992:p71:e01,source compares Sanskrit ā without assigning a Turner number,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 01]",3d042d7c37e815ba4094e65b8ca48330cf75abf4affe9ab4a4d3aed8eed70dd5
2026-08-24,2026-08-24,p71:e02,13,71,ā,Partizip zu e- kommen,"come, arrived",installed_form,ā,1045,buddruss-waigali1992:p71:e02,participle of e-; source compares āgata-,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 02]",e714f10f2c6c4cf22d66741fa32d8ac2e5b2d10a06e8d92b356f276244f8a9a0
2026-08-24,2026-08-24,p71:e03,13,71,āst'a,gekommen,"come, arrived",installed_form,āst'a,,buddruss-waigali1992:p71:e03,perfect participle of e-; cross-reference to ā,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 03]",089575761c9716da3ca2fc9d79daeaba735b4f1eb50e3d840136042abd9bcaa3
2026-08-24,2026-08-24,p71:e04,13,71,āš,Mund,mouth,installed_form,āš,1533,buddruss-waigali1992:p71:e04,manually collated printed glossary headword,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 04]",8737541d2c58db0546ee4991ca8a227106f411ad47085801295e9464da446125
2026-08-24,2026-08-24,p71:e05,13,71,al'i,dies,this,installed_form,al'i,,buddruss-waigali1992:p71:e05,first printed headword alternate,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 05]",cb6c391c9bde61ea9e1ebd419855da97afba055b7ddecf2b891281542ebce467
2026-08-24,2026-08-24,p71:e05,13,71,äl'i,dies,this,installed_form,äl'i,,buddruss-waigali1992:p71:e05:v2,second printed headword alternate,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 05]",5f443ef08af51e7a7051b257dc3e6d89d86037f09b6513b0190e228096677a29
2026-08-24,2026-08-24,p71:e06,13,71,am'ā,Haus,house,installed_form,am'ā,560,buddruss-waigali1992:p71:e06,manually collated printed glossary headword,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 06]",b2e698e4bac3892644eae00736d91f901fa73346891ee4a0523053925445c2c1
2026-08-24,2026-08-24,p71:e07,13,71,am'āyter,im Inneren des Hauses,inside the house,installed_form,am'āyter,,buddruss-waigali1992:p71:e07,manually collated printed glossary headword,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 07]",f7f08b703dab8b1d4f2225b370526a6f98a9a70070ea0ff524e87735c752fb8b
2026-08-24,2026-08-24,p71:e08,13,71,am'e,Obliquus zu am'i wir,us,installed_form,am'e,,buddruss-waigali1992:p71:e08,oblique of am'i,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 08]",de4c1750d9715a63cf2fe0d43620630ae1a40e68c92499d39371df422e549805
2026-08-24,2026-08-24,p71:e09,13,71,Am'eš,Mann aus dem Dorf Amešdes,man from Amešdes,installed_form,Am'eš,,buddruss-waigali1992:p71:e09,manually collated printed glossary headword,full manual census against the 400 dpi render; embedded OCR and two Tesseract passes compared,no,"buddruss-waigali1992[p. 71, glossary entry 09]",af08198ae6d69aa018aaf2432b9346d025fb8b9b18c18082ebb775ac8ad63b9a
