Status,Reason,Entry_Key,Site_Code,Site_Description,Language_ID,Base_Language,Concept,Gloss,Printed_Page,Column,Response_Index,Response_Count,Raw_Cell,Response,House_Form,Tags,Source
ingested,single response,beine-bhatri:OAR:1:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,1,body,10,1,1,1,ɡaɡorˑ,ɡaɡorˑ,gagoṛ,,"beine2017bhatri[p. 10, item 1, site OAR]"
ingested,single response,beine-bhatri:OCU:1:1,OCU,"Oriya from Cuttack Tahsil, Cuttack District, Orissa",beine_ocu,Or,1,body,10,1,1,1,sor̩ir̩o,sor̩ir̩o,soṛiṛo,,"beine2017bhatri[p. 10, item 1, site OCU]"
ingested,single response,beine-bhatri:HBH:1:1,HBH,"Halbi from Bhatpal, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_hbh,hal,1,body,10,1,1,1,a̽ɡ,a̽ɡ,ãg,,"beine2017bhatri[p. 10, item 1, site HBH]"
ingested,single response,beine-bhatri:BAU:1:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,1,body,10,1,1,1,ɡaɡe̠rˑ,ɡaɡe̠rˑ,gagəṛ,,"beine2017bhatri[p. 10, item 1, site BAU]"
ingested,single response,beine-bhatri:BSA:1:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,1,body,10,1,1,1,ɡaɡe̠rˑ,ɡaɡe̠rˑ,gagəṛ,,"beine2017bhatri[p. 10, item 1, site BSA]"
ingested,single response,beine-bhatri:BJE:1:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,1,body,10,1,1,1,ɡv̠ɡe̠r̩,ɡv̠ɡe̠r̩,gʌgəṛ,,"beine2017bhatri[p. 10, item 1, site BJE]"
ingested,single response,beine-bhatri:BKP:1:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,1,body,10,1,1,1,ɡaɡr̩o,ɡaɡr̩o,gagṛo,,"beine2017bhatri[p. 10, item 1, site BKP]"
ingested,response 1 of 2 printed in one cell,beine-bhatri:BUM:1:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,1,body,10,1,1,2,dⁿe̽ha/ɡaɡe̩r,dⁿe̽ha,dẽha,,"beine2017bhatri[p. 10, item 1, site BUM]"
ingested,response 2 of 2 printed in one cell,beine-bhatri:BUM:1:2,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,1,body,10,1,2,2,dⁿe̽ha/ɡaɡe̩r,ɡaɡe̩r,gage̩r,uncertain,"beine2017bhatri[p. 10, item 1, site BUM]"
ingested,single response,beine-bhatri:BCB:1:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,1,body,10,1,1,1,ɡaɡv̠r̩,ɡaɡv̠r̩,gagʌṛ,,"beine2017bhatri[p. 10, item 1, site BCB]"
ingested,single response,beine-bhatri:BAN:1:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,1,body,10,1,1,1,ɡaɡv̠r̩,ɡaɡv̠r̩,gagʌṛ,,"beine2017bhatri[p. 10, item 1, site BAN]"
ingested,single response,beine-bhatri:BAR:1:1,BAR,"Bhatri from Karpaud, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bar,Bhatri,1,body,10,1,1,1,ɡaɡe̠r̩,ɡaɡe̠r̩,gagəṛ,,"beine2017bhatri[p. 10, item 1, site BAR]"
ingested,single response,beine-bhatri:BAG:1:1,BAG,"Bhatri from Amaguda, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bag,Bhatri,1,body,10,1,1,1,ɡaɡv̠r̩,ɡaɡv̠r̩,gagʌṛ,,"beine2017bhatri[p. 10, item 1, site BAG]"
ingested,single response,beine-bhatri:OAR:2:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,2,head,10,2,1,1,mundˑ,mundˑ,munḍ,,"beine2017bhatri[p. 10, item 2, site OAR]"
ingested,single response,beine-bhatri:OCU:2:1,OCU,"Oriya from Cuttack Tahsil, Cuttack District, Orissa",beine_ocu,Or,2,head,10,2,1,1,mu̽ndˑc̠,mu̽ndˑc̠,mũnḍɔ,,"beine2017bhatri[p. 10, item 2, site OCU]"
ingested,single response,beine-bhatri:HBH:2:1,HBH,"Halbi from Bhatpal, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_hbh,hal,2,head,10,2,1,1,mu̽dˑ,mu̽dˑ,mũḍ,,"beine2017bhatri[p. 10, item 2, site HBH]"
ingested,single response,beine-bhatri:BAU:2:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,2,head,10,2,1,1,mu̽dˑe̠,mu̽dˑe̠,mũḍə,,"beine2017bhatri[p. 10, item 2, site BAU]"
ingested,single response,beine-bhatri:BSA:2:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,2,head,10,2,1,1,mu̽dˑ,mu̽dˑ,mũḍ,,"beine2017bhatri[p. 10, item 2, site BSA]"
ingested,single response,beine-bhatri:BJE:2:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,2,head,10,2,1,1,mu̽dˑ,mu̽dˑ,mũḍ,,"beine2017bhatri[p. 10, item 2, site BJE]"
ingested,single response,beine-bhatri:BKP:2:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,2,head,10,2,1,1,mu̽ndˑe̠,mu̽ndˑe̠,mũnḍə,,"beine2017bhatri[p. 10, item 2, site BKP]"
ingested,single response,beine-bhatri:BUM:2:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,2,head,10,2,1,1,mu̽dˑa,mu̽dˑa,mũḍa,,"beine2017bhatri[p. 10, item 2, site BUM]"
ingested,single response,beine-bhatri:BCB:2:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,2,head,10,2,1,1,mu̽dˑ,mu̽dˑ,mũḍ,,"beine2017bhatri[p. 10, item 2, site BCB]"
ingested,single response,beine-bhatri:BAN:2:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,2,head,10,2,1,1,mu̽dˑ,mu̽dˑ,mũḍ,,"beine2017bhatri[p. 10, item 2, site BAN]"
ingested,single response,beine-bhatri:BAR:2:1,BAR,"Bhatri from Karpaud, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bar,Bhatri,2,head,10,2,1,1,mu̽dˑ,mu̽dˑ,mũḍ,,"beine2017bhatri[p. 10, item 2, site BAR]"
ingested,single response,beine-bhatri:BAG:2:1,BAG,"Bhatri from Amaguda, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bag,Bhatri,2,head,10,2,1,1,mu̽d,mu̽d,mũd,,"beine2017bhatri[p. 10, item 2, site BAG]"
ingested,single response,beine-bhatri:OAR:3:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,3,hair,10,3,1,1,sendˑi,sendˑi,senḍi,,"beine2017bhatri[p. 10, item 3, site OAR]"
ingested,single response,beine-bhatri:OCU:3:1,OCU,"Oriya from Cuttack Tahsil, Cuttack District, Orissa",beine_ocu,Or,3,hair,10,3,1,1,balˑe̠,balˑe̠,baḷə,,"beine2017bhatri[p. 10, item 3, site OCU]"
ingested,single response,beine-bhatri:HBH:3:1,HBH,"Halbi from Bhatpal, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_hbh,hal,3,hair,10,3,1,1,kes,kes,kes,,"beine2017bhatri[p. 10, item 3, site HBH]"
ingested,single response,beine-bhatri:BAU:3:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,3,hair,10,3,1,1,bal,bal,bal,,"beine2017bhatri[p. 10, item 3, site BAU]"
ingested,single response,beine-bhatri:BSA:3:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,3,hair,10,3,1,1,bal,bal,bal,,"beine2017bhatri[p. 10, item 3, site BSA]"
ingested,single response,beine-bhatri:BJE:3:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,3,hair,10,3,1,1,bal,bal,bal,,"beine2017bhatri[p. 10, item 3, site BJE]"
ingested,single response,beine-bhatri:BKP:3:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,3,hair,10,3,1,1,bale̠,bale̠,balə,,"beine2017bhatri[p. 10, item 3, site BKP]"
ingested,single response,beine-bhatri:BUM:3:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,3,hair,10,3,1,1,kes,kes,kes,,"beine2017bhatri[p. 10, item 3, site BUM]"
ingested,single response,beine-bhatri:BCB:3:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,3,hair,10,3,1,1,bal,bal,bal,,"beine2017bhatri[p. 10, item 3, site BCB]"
ingested,single response,beine-bhatri:BAN:3:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,3,hair,10,3,1,1,kes,kes,kes,,"beine2017bhatri[p. 10, item 3, site BAN]"
ingested,single response,beine-bhatri:BAR:3:1,BAR,"Bhatri from Karpaud, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bar,Bhatri,3,hair,10,3,1,1,bal,bal,bal,,"beine2017bhatri[p. 10, item 3, site BAR]"
ingested,single response,beine-bhatri:BAG:3:1,BAG,"Bhatri from Amaguda, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bag,Bhatri,3,hair,10,3,1,1,bal,bal,bal,,"beine2017bhatri[p. 10, item 3, site BAG]"
ingested,single response,beine-bhatri:OAR:4:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,4,face,10,1,1,1,mu̽k,mu̽k,mũk,,"beine2017bhatri[p. 10, item 4, site OAR]"
