Snapshot_Date,Collation_Date,Printed_Page,PDF_Page,Column,Item,List,Letter,Raw_Headword,Raw_Grammar,Raw_Gloss_German,Raw_Etymology,Unit_Form,Unit_Relation,Status,Reason,Entry_Key,Language_ID,Tags,Gloss_English,Source_Marks,Citations,Etymon_Cited,Etymon_Status,Etymon_Candidates,Parameter_ID,Review,Record_SHA256
2026-08-25,2026-08-25,311,312,L,01,Indische Etyma,A,abijav,m (f),"Hochzeit, Fest","< ai. vivāha- ""Heimführung der Braut""; vgl. hi. byāh",abijav,head,ingested,,boretzky1994romani:ind:311:L:01,eur,mf noun,wedding; feast,,,vivāha-,linked,11920,11920,,db61640e734dcb205829555fc97acaac9bc6a2bef13676a33a1f02d423b8263f
2026-08-25,2026-08-25,311,312,L,02,Indische Etyma,A,ačhel,itr,"bleiben, wohnen","< pa. acch- < ai. ākṣeti ""wohnen, bleiben""; vgl. Altgujarātī acchaï ""ist""",ačhel,head,ingested,,boretzky1994romani:ind:311:L:02,eur,verb intr,to remain; to dwell,,,ākṣeti,linked,1031,1031,,f21e70fafac56fb30caf23dfe4f8543499758b4909516ba2b74c69df3a162516
2026-08-25,2026-08-25,311,312,L,03,Indische Etyma,A,adava,pron,dieser,< a-dava; ohne Etym.,adava,head,ingested,,boretzky1994romani:ind:311:L:03,eur,pron,this,,,,no-etymon,,,,a4b48508544f640f8799f69a99badb5ce84f09b55b33a13ad810cc093a1c3721
2026-08-25,2026-08-25,311,312,L,04,Indische Etyma,A,agor,m,"Ende, Rand, Ecke",< ai. agra-,agor,head,ingested,,boretzky1994romani:ind:311:L:04,eur,m noun,end; edge; corner,,,agra-,linked,68,68,,e3929d302fc321271ef93faee64e3788ebf9b33e86e118169b1147945235de4a
2026-08-25,2026-08-25,311,312,L,05,Indische Etyma,A,agore,adv,"am Rande, zur Seite",< ai. lok agre ?,agore,head,ingested,,boretzky1994romani:ind:311:L:05,eur,adv uncertain,at the edge; aside,,,,no-etymon,,,,7fe83f5b33c1b5ec0206bb7d9b36aa68913f2eee497c048464f811f927b5b00c
2026-08-25,2026-08-25,311,312,L,06,Indische Etyma,A,aindž,f,Feld,ohne Etym.,aindž,head,ingested,,boretzky1994romani:ind:311:L:06,eur,f noun,field,,,,no-etymon,,,,48615abf1531bc247898e69782e38f38fc2375fb6ed7c21466104598c1499565
2026-08-25,2026-08-25,311,312,L,07,Indische Etyma,A,akaj,adv,hier,zu akava,akaj,head,ingested,,boretzky1994romani:ind:311:L:07,eur,adv,here,,,,no-etymon,,,,f72ddc4ce6707eea4f02ab310ce0eae33e67db29a546aa7c101f64427a9e07c8
2026-08-25,2026-08-25,311,312,L,08,Indische Etyma,A,akana,adv,jetzt,"< mi. a+khana < ai. kṣaṇa- ""Augenblick""; kaum zu pers. aknūn, obwohl nach ai. *akhana zu erwarten wäre",akana,head,ingested,,boretzky1994romani:ind:311:L:08,eur,adv,now,,,kṣaṇa-,linked,3642,3642,,08ae94b1bc121d4749ecdb083cbcf24ab54a26f394638c3485c69e3bc2ca133c
2026-08-25,2026-08-25,311,312,R,09,Indische Etyma,A,akava,pron,dieser,< a-kava; zu ai. interrog ka- ?,akava,head,ingested,,boretzky1994romani:ind:311:R:09,eur,pron uncertain,this,,,,no-etymon,,,,ea0cf5b7fc940bd82c93d7b4ddf708c39b4aee5725156e9850c2c9cb0159cfc5
2026-08-25,2026-08-25,311,312,R,10,Indische Etyma,A,ake,interj,das ist,< aka- pron,ake,head,ingested,,boretzky1994romani:ind:311:R:10,eur,interj,here is,,,,no-etymon,,,,30f6fe30d3678feb1f23387bbac573e43ec6fd47a343d87084b89ae59b418418
