Printed_Page|Column|Item|List|Letter|Headword|Grammar|Gloss_German|Gloss_English|Etymology|Editor_Note
311|L|01|ind|A|abijav|m (f)|Hochzeit, Fest|wedding; feast|< ai. vivāha- "Heimführung der Braut"; vgl. hi. byāh|
311|L|02|ind|A|ačhel|itr|bleiben, wohnen|to remain; to dwell|< pa. acch- < ai. ākṣeti "wohnen, bleiben"; vgl. Altgujarātī acchaï "ist"|
311|L|03|ind|A|adava|pron|dieser|this|< a-dava; ohne Etym.|
311|L|04|ind|A|agor|m|Ende, Rand, Ecke|end; edge; corner|< ai. agra-|
311|L|05|ind|A|agore|adv|am Rande, zur Seite|at the edge; aside|< ai. lok agre ?|
311|L|06|ind|A|aindž|f|Feld|field|ohne Etym.|
311|L|07|ind|A|akaj|adv|hier|here|zu akava|
311|L|08|ind|A|akana|adv|jetzt|now|< mi. a+khana < ai. kṣaṇa- "Augenblick"; kaum zu pers. aknūn, obwohl nach ai. *akhana zu erwarten wäre|
311|R|09|ind|A|akava|pron|dieser|this|< a-kava; zu ai. interrog ka- ?|
311|R|10|ind|A|ake|interj|das ist|here is|< aka- pron|
311|R|11|ind|A|akušel|tr|(be)schimpfen, tadeln|to abuse; to scold|< ai. ākruś- ; vgl. pa. akkosati|
311|R|12|ind|A|akharel|tr|rufen, einladen|to call; to invite|ai. aor akāriṣam "rufen" u. hi. karāhnā "stöhnen" gehören wegen fehlender Aspiration nicht dazu; eher < pa. garahati < ai. garhati "tadeln"|
311|R|13|ind|A|akhor|m|Walnuß|walnut|< pk. akkhoḍa < ai. akṣoṭa- "Walnuß"; vgl. hi. akhroṭ|
311|R|14|ind|A|amaro|pron poss|unser|our|vgl. hi. hamārā|
312|L|01|ind|A|amen|pron|wir|we|< pa. amhē < ai. gen asmān|
312|L|02|ind|A|anav|xref|s. nav|||see-reference
312|L|03|ind|A|andar|präp|von, aus|from; out of|< ai. abl antarāt "heraus von, von innen"; vgl. hi. ã:tar "Zwischenraum"|
312|L|04|ind|A|andral|adv|(von) innen|from inside|< ai. antarataḥ "im Innern; aus heraus, innerhalb von"|
312|L|05|ind|A|andre|adv|innen, drinnen|inside|< pa. ai. antare "drin"|
312|L|06|ind|A|anel|tr|(her)bringen|to bring|< pa. ā-neti < ai. ā-nayati "herführen"|
312|L|07|ind|A|angar|m|Kohle|coal|< pa. ai. aṅgāra-; vgl. hi. aṅgār|
312|L|08|ind|A|anglal|adv|vorn, früher|in front; earlier|< ai. agrataḥ; kontam. mit ai. antar- ?|
312|L|09|ind|A|angle|adv|(nach) vorne, früher|forward; earlier|< ai. lok agre "vorn, zuerst, am Anfang" bzw. *agrale; vgl. pk. -aggala-; s.a. agor|
312|L|10|ind|A|angušt|m|Finger|finger|< ai. anguṣṭha- "Daumen"?; wegen angrusti eher < pers. angušt|
312|L|11|ind|A|angrusti|xref|s. Iran. Etyma|||see-reference to the Iranian list
312|L|12|ind|A|anřo|m|Ei|egg|< ai. āṇḍa-; vgl. hi. aṇḍā|
312|L|13|ind|A|arakhel|tr|1. beschützen, (be)hüten 2. finden|to protect, guard; to find|< pk. rakkhati < ai. rakṣati bzw. ārakṣati "bewahren, hüten"|
312|L|14|ind|A|arli|m|Tausch, Handeln|exchange; trading|ohne Etym.|
312|L|15|ind|A|arman|f|Fluch, Schwur|curse; oath|zu ai. arma- "Abfall, Ruinen" bzw. arman- "eine Augenkrankheit" ?|
312|L|16|ind|A|ařo|m|Mehl|flour|< ai. *ārta- "Mehl"/aṭṭa- "Speise"; vgl. hi. āṭā|
312|L|17|ind|A|asal|xref|s. hasal|||see-reference
312|L|18|ind|A|astarel|tr|ergreifen, beginnen|to seize; to begin|kaum zu ai. ā-sthā-; mögl. zu ai. *sthārayati "festmachen" oder zu *stabhira- "fest", dazu hi. ṭhahar- "anhalten, entscheiden"|
312|L|19|ind|A|asvin|f|Träne|tear|< pk. assu < ai. aśru- ; vgl. hi. ã:sū|
312|L|20|ind|A|ašarel|tr|preisen, loben|to praise|< ai. (*ā-)ślāghate "loben" oder < pk. uccaraï < ai. uccarati, uccārayati "schreien, etwas äußern"|
312|L|21|ind|A|ašunel|tr|hören|to hear|< ai. śṛṇoti, āśṛṇoti; vgl. pa. suṇāti|
312|L|22|ind|A|atharel|tr|betrügen, belügen|to deceive; to lie to|< pk. dhāḍei "vertreiben, zerstören" < ai. *dhāṭayati ?; vgl. hi. dhālnā "eingießen"|
312|R|23|ind|A|avdive(s)|adv|heute|today|av- < ai. amu- "jener" + dives; s.u.|
312|R|24|ind|A|avel|itr|kommen, werden|to come; to become|< pk. āvei < pa. āpeti < ai. āpayati kaus zu āpnoti "erreichen"; vgl. auch ai. āpyate pass|
312|R|25|ind|A|aver|pron|anderer, adv anders|other; otherwise|< pk. avara- < ai. apara- "anderer, späterer"; vaver < ov aver?|
312|R|26|ind|A|avri|adv|draußen, hinaus|outside; out|< pk. adj vāhila, vāhira "draußen, ausserhalb" < ai. bahis-|
312|R|27|ind|A|azbal|tr|berühren|to touch|ohne Etym.|
312|R|28|ind|A|ažukerel|tr|warten|to wait|ohne Etym.|
312|R|29|ind|B|baj|f|Ärmel|sleeve|< pk. bāhā < ai. bāhu-; vgl. hi. bāhi|
312|R|30|ind|B|bakro|m|Widder, Schafbock|ram|< pk. vakkara- < ai. barkara-; vgl. hi. bakrā "Ziegenbock"|
