Snapshot_Date,Collation_Date,Printed_Page,PDF_Page,Column,Item,List,Letter,Raw_Headword,Raw_Grammar,Raw_Gloss_German,Raw_Etymology,Unit_Form,Unit_Relation,Status,Reason,Entry_Key,Language_ID,Tags,Gloss_English,Source_Marks,Citations,Etymon_Cited,Etymon_Status,Etymon_Candidates,Parameter_ID,Review,Record_SHA256
2026-08-25,2026-08-25,311,312,L,01,Indische Etyma,A,abijav,m (f),"Hochzeit, Fest","< ai. vivāha- ""Heimführung der Braut""; vgl. hi. byāh",abijav,head,ingested,,boretzky1994romani:ind:311:L:01,eur,mf noun,wedding; feast,,,vivāha-,linked,11920,11920,,db61640e734dcb205829555fc97acaac9bc6a2bef13676a33a1f02d423b8263f
2026-08-25,2026-08-25,313,314,L,02,Indische Etyma,B,berand,m,"Zeltstange, Dachbalken",bero + and < ai. anta- ?,berand,head,ingested,,boretzky1994romani:ind:313:L:02,eur,m noun uncertain,tent pole; roof beam,,,anta-,linked,347,347,,62abf1a25615e45bbd2a61d5b8694faeed91abc2651f22b633b9b54f064ba7de
2026-08-25,2026-08-25,314,315,L,14,Indische Etyma,Č,"čingar, čhingar",m/f,"Geschrei, Zank","< ai. ciṅghāṭa-; hi. cĩghāṛ ""Lärm, Geschrei""",čhingar,variant,ingested,,boretzky1994romani:ind:314:L:14:variant:2,eur,mf noun alternate,shouting; quarrel,,,ciṅghāṭa-,linked,4787,4787,,81554abe6cf18f68baff83594541a70fe283320f44e3b86b7e8969af2198ae7a
2026-08-25,2026-08-25,315,316,R,30,Indische Etyma,D,"dud, judut (Rozw)",m,"Licht, Helligkeit","< ai. dyuti- ""Helligkeit"" (pa. juti- ""Glanz, Licht"") ?",dud,head,ingested,,boretzky1994romani:ind:315:R:30,eur,m noun uncertain,light; brightness,,,dyuti-,linked,6606,6606,,5fc63d699cf53512db390d9ac008cfebaf7c6b9fc94ff889865d6548abd6f842
2026-08-25,2026-08-25,316,317,R,38,Indische Etyma,G,goj,f,Wurst,"< ai. guḍa- ""Bällchen, Kern"" ?",goj,head,ingested,,boretzky1994romani:ind:316:R:38,eur,f noun uncertain,sausage,,,guḍa-,ambiguous,4181 4182,,,51252f2865edbc7287df4e7fd661f15b1b1593193ef0d3835cb9c6f0332e7982
2026-08-25,2026-08-25,318,319,L,11,Indische Etyma,I,inkerel,tr,halten,ohne Etym.,inkerel,head,ingested,,boretzky1994romani:ind:318:L:11,eur,verb tr,to hold,,,,no-etymon,,,,d1be60e480f08e23edc8d83fd3ea2787cba7c586db028712c91098a565471e66
2026-08-25,2026-08-25,319,320,L,21,Indische Etyma,K,kiral,m,Käse,"< pk. kilāḍa- < ai. kilāṭa- ""eingedickte Milch""; vgl. khowar kiḷaḷ",kiral,head,ingested,,boretzky1994romani:ind:319:L:21,eur,m noun,cheese,,,kilāṭa-,linked,3181,3181,,b17c9de052346c9837a5e3656f8b039b118cd752360f8cf0959d35be4244cc51
2026-08-25,2026-08-25,320,321,R,31,Indische Etyma,L,late-del,,(Sinti) einen Tritt geben,"< pk. lattā ""Stoß mit der Ferse""; vgl. hi. lāt, lathāu ""Fußtritt"", lāt mārnā ""einen Fußtritt geben""",late-del,head,ingested,,boretzky1994romani:ind:320:R:31,RomSint,,to kick,Sinti,,,no-etymon,,,no grammatical label,809b19452f628217cdc9caee78f4e6fa5a429769e4e069af4cd8b484681e4f6e
2026-08-25,2026-08-25,322,323,L,07,Indische Etyma,M,murš,m,Mann,"kontam. < ai. manuṣya- + puruṣa- ?; vgl. ni. munis, murs u .ä.",murš,head,ingested,,boretzky1994romani:ind:322:L:07,eur,m noun uncertain,man,,,manuṣya-,linked,9828,9828,,13fb2d61490f1edf1420dab9de41ddd21c2eb96f3afd31af2ba78f34e2362885
2026-08-25,2026-08-25,323,324,L,17,Indische Etyma,P,pićal,impers,tropfen,"< rum. a pica ""tropfen"" ?; pa. phuṣita- ""bespritzt"" < ai. pruṣita lautlich fern; mögl. onomatop.",pićal,head,ingested,,boretzky1994romani:ind:323:L:17,eur,verb impersonal uncertain,to drip,,,pruṣita,rejected-by-source,,,,37b4c0579f9753530ab48c5391c23012206cad5c73f579732a983f639579c5b2
