Status,Reason,Entry_Key,Site_Code,Site_Name,Language_ID,Subgroup,Concept,Gloss,Source_Row,Part_Index,Part_Count,Raw_IPA,Part_IPA,House_Form,Cognate_Class,ASJP,SCA,Source
ingested,single response,beine:pmd:all:1,pmd,"Nainpur (Parsi Gondi, pmd)",beine_pmd,Northwest Gondi > Northern Gondi,all,all,80,1,1,sʌb,sʌb,sʌb,8,sob,SEP,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 80, site pmd, concept all]; beine1994gondi[site pmd, item all]"
ingested,single response,beine:gam:breast:1,gam,Amravati (gam),beine_gam,Northwest Gondi > Northern Gondi,breast,breast,800,1,1,mau,mau,mau,6,mau,MA,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 800, site gam, concept breast]; beine1994gondi[site gam, item breast]"
ingested,single response,beine:gut:cauliflower:1,gut,Utnoor (gut),beine_gut,Northwest Gondi > Southern Gondi,cauliflower,cauliflower,1071,1,1,(pul)ɡɦobi,(pul)ɡɦobi,(pul)ghobi,1,pulghobi,PYLKHUPI,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 1071, site gut, concept cauliflower]; beine1994gondi[site gut, item cauliflower]"
ingested,response 1 of 2 listed in one cell,beine:gba:child:1,gba,Bhamragarh (gba),beine_gba,Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria,child,child,1167,1,2,"pekor,pedal",pekor,pekor,4,"pekor, pedal","PEKUR, PETAL","rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 1167, site gba, concept child]; beine1994gondi[site gba, item child]"
ingested,response 2 of 2 listed in one cell,beine:mad:come:2,mad,"Adewada (Chotta Maria Gondi, mad)",beine_mad,Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria,come,come,1397,2,2,"vat̪o,va",va,va,4,"vato, va","BATU, BA","rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 1397, site mad, concept come]; beine1994gondi[site mad, item come]"
ingested,single response,beine:gba:cow:1,gba,Bhamragarh (gba),beine_gba,Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria,cow,cow,1437,1,1,ɡurdu,ɡurdu,gurdu,3,gurdu,KYRTY,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 1437, site gba, concept cow]; beine1994gondi[site gba, item cow]"
ingested,single response,beine:pmd:face:1,pmd,"Nainpur (Parsi Gondi, pmd)",beine_pmd,Northwest Gondi > Northern Gondi,face,face,2331,1,1,t̪od̪i,t̪od̪i,todi,2,todi,TUTI,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 2331, site pmd, concept face]; beine1994gondi[site pmd, item face]"
ingested,single response,beine:gja:finger:1,gja,Jarawandi (gja),beine_gja,Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria,finger,finger,2586,1,1,boʈa,boʈa,boṭa,2,bota,PUTA,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 2586, site gja, concept finger]; beine1994gondi[site gja, item finger]"
ingested,single response,beine:mso:fish:1,mso,"Naryanpur (Muria, mso)",beine_mso,Southeast Gondi > General Southeast Gondi > Muria,fish,fish,2752,1,1,mink,mink,mink,3,mink,MINK,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 2752, site mso, concept fish]; beine1994gondi[site mso, item fish]"
ingested,response 2 of 2 listed in one cell,beine:gki:fly:2,gki,"Kinwat (Koitur Gondi, gki)",beine_gki,Northwest Gondi > Southern Gondi,fly,fly,2892,2,2,"t̪iɾelʌkta,pʌɾenta",pʌɾenta,pʌrenta,B,"tirelokta, porenta","TIRELEKTA, PERENTA","rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 2892, site gki, concept fly]; beine1994gondi[site gki, item fly]"
ingested,single response,beine:glb:groundnut:1,glb,Amgaon (glb),beine_glb,Northwest Gondi > Northern Gondi,groundnut,groundnut,3334,1,1,muŋpuli,muŋpuli,muŋpuli,6,muNpuli,MYNPYLI,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 3334, site glb, concept groundnut]; beine1994gondi[site glb, item groundnut]"
ingested,single response,beine:mso:horns:1,mso,"Naryanpur (Muria, mso)",beine_mso,Southeast Gondi > General Southeast Gondi > Muria,horns,horns,3777,1,1,kohk,kohk,kohk,1,kohk,KUHK,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 3777, site mso, concept horns]; beine1994gondi[site mso, item horns]"
ingested,response 2 of 2 listed in one cell,beine:gni:kill:2,gni,"Nirmal (Koya Goti, gni)",beine_gni,Northwest Gondi > Southern Gondi,kill,kill,4053,2,2,"dʒaɡt̪or,dʒauka",dʒauka,jauka,2,"dZagtor, dZauka","TSAKTUR, TSAKA","rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 4053, site gni, concept kill]; beine1994gondi[site gni, item kill]"
ingested,response 1 of 2 listed in one cell,beine:gdh:knife:1,gdh,Dharni (gdh),beine_gdh,Northwest Gondi > Northern Gondi,knife,knife,4137,1,2,"tsuri,tsəko",tsuri,tsuri,6,"tsuri, ts3ko","TSYRI, TSEKU","rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 4137, site gdh, concept knife]; beine1994gondi[site gdh, item knife]"
ingested,single response,beine:gra:monkey:1,gra,Rajura (gra),beine_gra,Northwest Gondi > Southern Gondi,monkey,monkey,4751,1,1,ɡʌɖːi,ɡʌɖːi,gʌḍḍi,4,godi,KETI,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 4751, site gra, concept monkey]; beine1994gondi[site gra, item monkey]"
ingested,single response,beine:gbh:mother:1,gbh,Sironcha (gbh),beine_gbh,Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria,mother,mother,5039,1,1,i̯awal,i̯awal,i̯aval,4,iawal,IWAL,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 5039, site gbh, concept mother]; beine1994gondi[site gbh, item mother]"
ingested,single response,beine:gki:nail:1,gki,"Kinwat (Koitur Gondi, gki)",beine_gki,Northwest Gondi > Southern Gondi,nail,nail,5190,1,1,t̪iɖin,t̪iɖin,tiḍin,6,tidin,TITIN,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 5190, site gki, concept nail]; beine1994gondi[site gki, item nail]"
ingested,single response,beine:ktg:rope:1,ktg,Mohla (ktg),beine_ktg,Southeast Gondi > General Southeast Gondi > Muria,rope,rope,6489,1,1,dore,dore,dore,2,dore,TURE,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 6489, site ktg, concept rope]; beine1994gondi[site ktg, item rope]"
ingested,single response,beine:mad:sand:1,mad,"Adewada (Chotta Maria Gondi, mad)",beine_mad,Southeast Gondi > General Southeast Gondi > Hill Maria-Koya > Hill Maria,sand,sand,6696,1,1,toɖiu,toɖiu,toḍiu,6,todiu,TUTI,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 6696, site mad, concept sand]; beine1994gondi[site mad, item sand]"
ingested,single response,beine:gcj:six:1,gcj,Baya (gcj),beine_gcj,Northwest Gondi > Northern Gondi,six,six,6950,1,1,aruŋ,aruŋ,aruŋ,1,aruN,ARYN,"rama-coltekin-sofroniev2017gondi[data/gondi_combined_cognates.csv, row 6950, site gcj, concept six]; beine1994gondi[site gcj, item six]"
