Snapshot_Date,Unit_ID,Region,PDF_Page,Printed_Page,Locator,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Form,Final_Gloss,Final_Phonemic,Final_Tags,Emitted_Key,Merged_Into,Source,Record_SHA256
2026-08-25,t2:p:initial,table2,17,13,"p. 13, Table 2, /p/ initial",paːɬu,leaf,,installed,extracted from the PDF text layer and installed unchanged,paːɬu,leaf,paːɬu,,knobloch2020sauji:t2:p:initial,,"knobloch2020sauji[p. 13, Table 2, /p/ initial]",4c675fcc37e69152b3214ea91b1dddbcc764f2f6ddf7c75bf633f250738701a0
2026-08-25,t2:p:medial,table2,17,13,"p. 13, Table 2, /p/ medial",paːpi,paternal aunt,,installed,extracted from the PDF text layer and installed unchanged,paːpi,paternal aunt,paːpi,,knobloch2020sauji:t2:p:medial,,"knobloch2020sauji[p. 13, Table 2, /p/ medial]",42f9f9a1771e20de73c5e0d5b757f1b18d6e00398da744d46195a5d5ca4da52c
2026-08-25,t2:p:final,table2,17,13,"p. 13, Table 2, /p/ final",gap,word,"(Buddruss, 1967: 99)",installed,extracted from the PDF text layer and installed unchanged,gap,word,gap,,knobloch2020sauji:t2:p:final,,"knobloch2020sauji[p. 13, Table 2, /p/ final];buddruss1967sau[p. 99]",cb3851d4b5d67322586fbd6ecc330036f33d3801f0694498c4d69ad0458311c6
2026-08-25,t2:pʰ:initial,table2,17,13,"p. 13, Table 2, /pʰ/ initial",pʰaːnt,path,,installed,extracted from the PDF text layer and installed unchanged,pʰaːnt,path,pʰaːnt,,knobloch2020sauji:t2:pʰ:initial,,"knobloch2020sauji[p. 13, Table 2, /pʰ/ initial]",e3f5781235d61f4ed636793ae35459c1cbe5a5e8a9fe739683163a63b4597698
2026-08-25,t2:pʰ:medial,table2,17,13,"p. 13, Table 2, /pʰ/ medial",musaːpʰar,traveler/journey,,installed,extracted from the PDF text layer and installed unchanged,musaːpʰar,"traveler, journey",musaːpʰar,,knobloch2020sauji:t2:pʰ:medial,,"knobloch2020sauji[p. 13, Table 2, /pʰ/ medial]",56bb773cfca68d6153928960ab297c5b658ac80b04fa48bcf00ef517165457ff
2026-08-25,t2:b:initial,table2,17,13,"p. 13, Table 2, /b/ initial",baːbu,father,,installed,extracted from the PDF text layer and installed unchanged,baːbu,father,baːbu,,knobloch2020sauji:t2:b:initial,,"knobloch2020sauji[p. 13, Table 2, /b/ initial]",37d98e898a021cddf5ed3c8eae17f954c15590ef3658e3daee15e17800e462ef
2026-08-25,t2:b:medial,table2,17,13,"p. 13, Table 2, /b/ medial",baːbu,father,,installed,extracted from the PDF text layer and installed unchanged,baːbu,father,baːbu,,knobloch2020sauji:t2:b:medial,knobloch2020sauji:t2:b:initial,"knobloch2020sauji[p. 13, Table 2, /b/ medial]",d8c5a58f7be00fa0a35e8977441740a123ab8eb7d479ec8ccd623c477efc7b08
2026-08-25,t2:b:final,table2,17,13,"p. 13, Table 2, /b/ final",d͡ʒib,tongue,,installed,extracted from the PDF text layer and installed unchanged,d͡ʒib,tongue,d͡ʒib,,knobloch2020sauji:t2:b:final,,"knobloch2020sauji[p. 13, Table 2, /b/ final]",26b035c6f8ba4a1f91fd419ef7f123ecfc4b94b4fc077590a68e9b3b46da31da
2026-08-25,t2:t:initial,table2,17,13,"p. 13, Table 2, /t/ initial",tuː,you,,installed,extracted from the PDF text layer and installed unchanged,tuː,you,tuː,,knobloch2020sauji:t2:t:initial,,"knobloch2020sauji[p. 13, Table 2, /t/ initial]",d43ccfec2c767e5cd25253faff389714ff13bd40a3ba9ee135f3229f8f45585f
2026-08-25,t2:t:medial,table2,17,13,"p. 13, Table 2, /t/ medial",rateː,on,,installed,extracted from the PDF text layer and installed unchanged,rateː,on,rateː,,knobloch2020sauji:t2:t:medial,,"knobloch2020sauji[p. 13, Table 2, /t/ medial]",449878dc05c13eb41566b1cb305377a9798bd4c5cc7870d4088494a934c042cf
2026-08-25,t2:t:final,table2,17,13,"p. 13, Table 2, /t/ final",raːt,blood,,installed,extracted from the PDF text layer and installed unchanged,raːt,blood,raːt,,knobloch2020sauji:t2:t:final,,"knobloch2020sauji[p. 13, Table 2, /t/ final]",241b96075aa9ecf15d16c9279e053cf0b915272998c4fac1223dd0dd9f7abd28
2026-08-25,t2:tʰ:initial,table2,17,13,"p. 13, Table 2, /tʰ/ initial",tʰaanu,do (simple present),,installed,extracted from the PDF text layer and installed unchanged,tʰaanu,do,tʰaanu,verb pres,knobloch2020sauji:t2:tʰ:initial,,"knobloch2020sauji[p. 13, Table 2, /tʰ/ initial]",a9e96cb3d1dde7f915e4c74834eca4957d5e3c6681387b6cd7ea02223a83e592
2026-08-25,t2:tʰ:final,table2,17,13,"p. 13, Table 2, /tʰ/ final",haːtʰ,hand,,installed,extracted from the PDF text layer and installed unchanged,haːtʰ,hand,haːtʰ,,knobloch2020sauji:t2:tʰ:final,,"knobloch2020sauji[p. 13, Table 2, /tʰ/ final]",ed0cb3d00bdc58c999fefa8e8f2618c77cbd5457093ca64afd351ad4b5c012f4
2026-08-25,t2:d:initial,table2,17,13,"p. 13, Table 2, /d/ initial",duː,two,,installed,extracted from the PDF text layer and installed unchanged,duː,two,duː,,knobloch2020sauji:t2:d:initial,,"knobloch2020sauji[p. 13, Table 2, /d/ initial]",66df3c613837e572cc474c19c8c8575559cf2ae2dd5ef4f1e6d4953df95c8811
2026-08-25,t2:d:medial,table2,17,13,"p. 13, Table 2, /d/ medial",daːnda,teeth,,installed,extracted from the PDF text layer and installed unchanged,daːnda,teeth,daːnda,,knobloch2020sauji:t2:d:medial,,"knobloch2020sauji[p. 13, Table 2, /d/ medial]",ed66b6f2f99a5e5bebe979fec3c4314b01704d7a0eeda568198efb8c35e4e809
2026-08-25,t2:d:final,table2,17,13,"p. 13, Table 2, /d/ final",daːnd,tooth,,installed,extracted from the PDF text layer and installed unchanged,daːnd,tooth,daːnd,,knobloch2020sauji:t2:d:final,,"knobloch2020sauji[p. 13, Table 2, /d/ final]",f731f198f8c5617f8327597b5ad140f380e12e296adeafcb85d361f9c598bb07
2026-08-25,t2:ʈ:initial,table2,17,13,"p. 13, Table 2, /ʈ/ initial",ʈe,to,,installed,extracted from the PDF text layer and installed unchanged,ʈe,to,ʈe,,knobloch2020sauji:t2:ʈ:initial,,"knobloch2020sauji[p. 13, Table 2, /ʈ/ initial]",364bac7adb94d81a36942cb70477be9d23eedea45b989ca7f8311c433b7a87c2
2026-08-25,t2:ʈ:medial,table2,17,13,"p. 13, Table 2, /ʈ/ medial",baːʈa,stones,,installed,extracted from the PDF text layer and installed unchanged,baːʈa,stones,baːʈa,,knobloch2020sauji:t2:ʈ:medial,,"knobloch2020sauji[p. 13, Table 2, /ʈ/ medial]",4e6f2e7331891b407cfa7d55aca1497cb2e926812058339a5d6b73d170f1f995
2026-08-25,t2:ʈ:final,table2,17,13,"p. 13, Table 2, /ʈ/ final",baːʈ,stone,,installed,extracted from the PDF text layer and installed unchanged,baːʈ,stone,baːʈ,,knobloch2020sauji:t2:ʈ:final,,"knobloch2020sauji[p. 13, Table 2, /ʈ/ final]",3bb02159d7d5ecc411517e1b9d2677c37ad7ecb386b8f7319538ef2c45a3caf1
2026-08-25,t2:ɖ:initial,table2,17,13,"p. 13, Table 2, /ɖ/ initial",ɖaːgu,old,,installed,extracted from the PDF text layer and installed unchanged,ɖaːgu,old,ɖaːgu,,knobloch2020sauji:t2:ɖ:initial,,"knobloch2020sauji[p. 13, Table 2, /ɖ/ initial]",2f812de159cdb4ff73db6dd057a898e4264c7c60467a5f9d0b364fd997bdd199
