Snapshot_Date,Unit_ID,Region,PDF_Page,Printed_Page,Locator,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Form,Final_Gloss,Final_Phonemic,Final_Tags,Emitted_Key,Merged_Into,Source,Record_SHA256
2026-08-25,t11:PresentImperfective:2,table11,33,29,"p. 29, Table 11, PresentImperfective",pašaan-oo,see.ipfv-m.sg,TMA category PresentImperfective,installed,extracted from the PDF text layer and installed unchanged,pašaan-oo,see,,ipfv m sg verb,knobloch2020sauji:t11:PresentImperfective:2,,"knobloch2020sauji[p. 29, Table 11, PresentImperfective]",00182e44e7d8ea6afc3992c52d51ca2665e736e00676bf03ad0e0d9d96f9599a
2026-08-25,t10:2(-al):to eat:ipfv:1,table10,32,28,"p. 28, Table 10, class 2(-al) ipfv stem",khuwaan-,to eat,ipfv stem,installed,extracted from the PDF text layer and installed unchanged,khuwaan-,eat,,verb stem Sauji-verb-class-2,knobloch2020sauji:t10:2(-al):to eat:ipfv:1,,"knobloch2020sauji[p. 28, Table 10, class 2(-al) ipfv stem]",006c63b32a3381d786890c82907a05912bd2957254fd62848239cc4cee9772f7
2026-08-25,ex61:t1:w1,interlinear,36,32,"p. 32, example (61) word 1, data 19_NU_000819",la,det.prox.sg,example (61) line 1; 19_NU_000819,installed,extracted from the PDF text layer and installed unchanged,la,this,,determiner demonstrative prox sg,knobloch2020sauji:ex61:t1:w1,knobloch2020sauji:t7:nom:prox.det.sg:1,"knobloch2020sauji[p. 32, example (61) word 1, data 19_NU_000819]",01502b4841b4f4f0148ae931679097b65569caa3ce31674b7187ead794112de2
2026-08-25,ex37:t1:w6,interlinear,29,25,"p. 25, example (37) word 6, data 10_MAN_000512",giri,then,example (37) line 1; 10_MAN_000512,installed,extracted from the PDF text layer and installed unchanged,giri,then,,,knobloch2020sauji:ex37:t1:w6,,"knobloch2020sauji[p. 25, example (37) word 6, data 10_MAN_000512]",01861579801df98023589f8e0f933122a7054c087ec746c8911fbae5cfecc2dd
2026-08-25,t8:postp:prox.pron.sg:1,t8,26,22,"p. 22, Table 8, postp prox.pron.sg",lase,,postp prox.pron.sg,installed,extracted from the PDF text layer and installed unchanged,lase,"he, she, it (proximate)",,postp prox demonstrative sg pron 3sg,knobloch2020sauji:t8:postp:prox.pron.sg:1,knobloch2020sauji:t8:dat:prox.pron.sg:1,"knobloch2020sauji[p. 22, Table 8, postp prox.pron.sg];buddruss1967sau[pp. 41-43]",019fb252be5fde5d95808b2eb97fd66f552ecb4bdf2b884cdd03bbb145b612de
2026-08-25,ex34:t1:w3,interlinear,27,23,"p. 23, example (34) word 3, data 18_BS_000709",kašaṇ-i,black-f.sg,example (34) line 1; 18_BS_000709,installed,extracted from the PDF text layer and installed unchanged,kašaṇ-i,black,,f sg adj,knobloch2020sauji:ex34:t1:w3,,"knobloch2020sauji[p. 23, example (34) word 3, data 18_BS_000709]",01ba3f06018e58f3b6872ab656d7b7668fce184f93c2e8bd6512029d02d4d9e1
2026-08-25,ex54:t1:w2,interlinear,34,30,"p. 30, example (54) word 2, data 19_NU_000819",grom-e,village,example (54) line 1; 19_NU_000819,installed,extracted from the PDF text layer and installed unchanged,grom-e,village,,,knobloch2020sauji:ex54:t1:w2,knobloch2020sauji:ex35:t1:w2,"knobloch2020sauji[p. 30, example (54) word 2, data 19_NU_000819]",0240c2193875d1c495dc0c9aad7fefbb02b8a44966ef27e7c64a1a3c7f99e72d
2026-08-25,ex83:t1:w4,interlinear,54,50,"p. 50, example (83) word 4, data 10_MAN_000512",bora-bato,pashto-language,example (83) line 1; 10_MAN_000512,installed,extracted from the PDF text layer and installed unchanged,bora-bato,Pashto language,,noun,knobloch2020sauji:ex83:t1:w4,,"knobloch2020sauji[p. 50, example (83) word 4, data 10_MAN_000512]",0250424cb2de4b4af0416c033301fc8f4a45ba0548e7601f8841c0656b5083b3
2026-08-25,prose:p21:2,prose,25,21,p. 21,asa,us,postpositional pronoun reported by Buddruss (1967: 39); final a nasalized,installed,extracted from the PDF text layer and installed unchanged,asa,us,,pron 1pl postp,knobloch2020sauji:prose:p21:2,,knobloch2020sauji[p. 21];buddruss1967sau[p. 39],0250c04c48f47e98a8043b53913c59ccfb00c2a986fcf04eb42527fbfad6a5ce
2026-08-25,t2:ɬ:initial,table2,17,13,"p. 13, Table 2, /ɬ/ initial",ɬɑː,three,,installed,extracted from the PDF text layer and installed unchanged,ɬɑː,three,ɬɑː,,knobloch2020sauji:t2:ɬ:initial,,"knobloch2020sauji[p. 13, Table 2, /ɬ/ initial]",0280fd37696d3a2a7583def08dd04503677ef5a513bc320730aaf4c30bf68f3c
