Snapshot_Date,Unit_ID,Region,PDF_Page,Printed_Page,Locator,Raw_Form,Raw_Gloss,Raw_Context,Status,Reason,Final_Form,Final_Gloss,Final_Phonemic,Final_Tags,Final_Parameter,Emitted_Key,Merged_Into,Source,Record_SHA256
2026-08-25,t1:1,t1,4,131,"p. 131, table 1",dra,brother,palula=bhróo; gawri=ǰää,installed,read from the PDF text layer and installed unchanged,dra,brother,,noun,9661,kalkoti:t1:1,,"kalkoti[p. 131, table 1]",b73da9b9f82331f716c620022c7b1cc9c8c6c1554df71b7fcf0f794bba5bce79
2026-08-25,t1:2,t1,4,131,"p. 131, table 1",bään,sister,palula=bheéṇ; gawri=išpo,installed,read from the PDF text layer and installed unchanged,bään,sister,,noun,9349,kalkoti:t1:2,,"kalkoti[p. 131, table 1]",a4bb8d2992460c73bb09d2da105a1f1004c8e9d99c52b593559dcb24ab583195
2026-08-25,t1:3,t1,4,131,"p. 131, table 1",bärä,husband,"palula=bharíiw; gawri=khäman, miiš",installed,read from the PDF text layer and installed unchanged,bärä,husband,,noun,9467,kalkoti:t1:3,,"kalkoti[p. 131, table 1]",13da158f878272a55bbb66f4b4e18b0df48c83feea0598c4c156eeffe70d4eb5
2026-08-25,t1:4,t1,4,131,"p. 131, table 1",treer,wife,"palula=kúṛi; gawri=khämäniin, is",installed,read from the PDF text layer and installed unchanged,treer,wife,,noun,13734,kalkoti:t1:4,,"kalkoti[p. 131, table 1]",605995def13a2c0117cdb3847cc12306b20047172682fe5b98b0a19dd323f8f8
2026-08-25,t1:5,t1,4,131,"p. 131, table 1",däär,husband’s brother,palula=díir; gawri=däär,installed,read from the PDF text layer and installed unchanged,däär,husband's brother,,noun,6546,kalkoti:t1:5,,"kalkoti[p. 131, table 1]",191133ac822c8b1938179ee6358327a29ce5a95ea33863f975216159f10e9b9e
2026-08-25,t1:6,t1,4,131,"p. 131, table 1",ǰämäl,husband’s sister,palula=ǰheemíli; gawri=ǰemiɬ,installed,read from the PDF text layer and installed unchanged,ǰämäl,husband's sister,,noun,5198,kalkoti:t1:6,,"kalkoti[p. 131, table 1]",bc507bd11e01f69427e89431ab82a0046a47f7a91b263c808723e6dc7c92fd49
2026-08-25,t1:7,t1,4,131,"p. 131, table 1",šäyir,wife’s brother,palula=wíiway; gawri=šaašur,installed,read from the PDF text layer and installed unchanged,šäyir,wife's brother,,noun,12767,kalkoti:t1:7,,"kalkoti[p. 131, table 1]",26f554ffc031adc576546ee89d882b53c98aaf276888df07521dc5ddacb60e3d
2026-08-25,t1:8,t1,4,131,"p. 131, table 1",särän,wife’s sister,palula=saaréeṇi; gawri=saareen,installed,read from the PDF text layer and installed unchanged,särän,wife's sister,,noun,13871,kalkoti:t1:8,,"kalkoti[p. 131, table 1]",c35c8a8c1ec2f995a8ba338154691dc10b2e232c0600596681cce613294a2ef2
2026-08-25,t1:9,t1,4,131,"p. 131, table 1",bab,father,palula=báabu; gawri=bob,installed,read from the PDF text layer and installed unchanged,bab,father,,noun,9209,kalkoti:t1:9,,"kalkoti[p. 131, table 1]",623e8ed6d6bf3726787ae5ada3bcc04b381c4c475485060a5d24594870b21072
2026-08-25,t1:10,t1,5,132,"p. 132, table 1",yee,mother,palula=yéei; gawri=yeey,installed,read from the PDF text layer and installed unchanged,yee,mother,,noun,1351,kalkoti:t1:10,,"kalkoti[p. 132, table 1]",e3f087d680f80abecf2a301845b081595a3b4a3ab4e27b5137b37321293ac566
2026-08-25,t1:11,t1,5,132,"p. 132, table 1",šoor,father-in-law,palula=šúur; gawri=šušur,installed,read from the PDF text layer and installed unchanged,šoor,father-in-law,,noun,12753,kalkoti:t1:11,,"kalkoti[p. 132, table 1]",5b731ac5fe8b342a8a96dae7960b3de1aca974a9f1bf90900edfcaac430f5755
2026-08-25,t1:12,t1,5,132,"p. 132, table 1",irpäṣ,mother-in-law,palula=preṣ; gawri=čiš,installed,read from the PDF text layer and installed unchanged,irpäṣ,mother-in-law,,noun,12759,kalkoti:t1:12,,"kalkoti[p. 132, table 1]",07d8353b0bd4a1ff6f23be1e1ef8272cba1b5960883afc48bce0410138b12c25
2026-08-25,t1:13,t1,5,132,"p. 132, table 1",pitri,father’s brother,palula=pitrí; gawri=piɬi,installed,read from the PDF text layer and installed unchanged,pitri,father's brother,,noun,8188,kalkoti:t1:13,,"kalkoti[p. 132, table 1]",5b3e2cf4b187836ca6ef2e277874d24ad98312421180abe77facb759685aa616
2026-08-25,t1:14,t1,5,132,"p. 132, table 1",mool,mother’s brother,palula=máamu; gawri=mooṭ,installed,read from the PDF text layer and installed unchanged,mool,mother's brother,,noun,10009,kalkoti:t1:14,,"kalkoti[p. 132, table 1]",8dba8474da5a354a04557bdfd000df989d7b8cc68318d519769fa93f5b998eab
2026-08-25,t1:15,t1,5,132,"p. 132, table 1",pheep,father’s sister,palula=phéepi; gawri=peep,installed,read from the PDF text layer and installed unchanged,pheep,father's sister,,noun,9089,kalkoti:t1:15,,"kalkoti[p. 132, table 1]",f2b5c3abeacb761e0fdd1ba24d9bac053a7decf934d1539450fde27afc5d5b5f
2026-08-25,t1:16,t1,5,132,"p. 132, table 1",meeš,mother’s sister,palula=méeši; gawri=meeš,installed,read from the PDF text layer and installed unchanged,meeš,mother's sister,,noun,10001,kalkoti:t1:16,,"kalkoti[p. 132, table 1]",cc856e1567fbe927ff476ea5ef80624687c0a8c7405d1914a4825d2d34faed03
2026-08-25,t1:17,t1,5,132,"p. 132, table 1",puu,son,palula=putr; gawri=poo,installed,read from the PDF text layer and installed unchanged,puu,son,,noun,8265,kalkoti:t1:17,,"kalkoti[p. 132, table 1]",14b543b889ab23ade4b88066543feba4895355551ad45d8adedf709cfdf0660d
2026-08-25,t1:18,t1,5,132,"p. 132, table 1",pee,daughter,palula=dhií; gawri=duuy,installed,read from the PDF text layer and installed unchanged,pee,daughter,,noun,8271,kalkoti:t1:18,,"kalkoti[p. 132, table 1]",6b58f42ae5ade6f0cb94a77c42ecc78207c9d8fea7289b2bb23c14de928f46f7
2026-08-25,t1:19,t1,5,132,"p. 132, table 1",pootr,son’s son,palula=púutru; gawri=pooɬ,installed,read from the PDF text layer and installed unchanged,pootr,son's son,,noun,8416,kalkoti:t1:19,,"kalkoti[p. 132, table 1]",08e0c7e6d152e3a35e4fc467fc8f09963a05ef3f6f501b40ed598b73a86b62a2
2026-08-25,t1:20,t1,5,132,"p. 132, table 1",peetr,son’s daughter,palula=púutri; gawri=peeɬ,installed,read from the PDF text layer and installed unchanged,peetr,son's daughter,,noun,8417,kalkoti:t1:20,,"kalkoti[p. 132, table 1]",d9ce4352c64fe71c10eb0aa5f0f14121494a6dd5c7b76f734e7bdf10342a584f
2026-08-25,t1:21,t1,5,132,"p. 132, table 1",daad,father’s father,palula=dóodu; gawri=daad,installed,read from the PDF text layer and installed unchanged,daad,father's father,,noun,6261,kalkoti:t1:21,,"kalkoti[p. 132, table 1]",7b9d84e4751b69f05544b7ea99e369dccea619c7ce2cc75f23e25836a2414a9c
2026-08-25,t1:22,t1,5,132,"p. 132, table 1",deed,father’s mother,palula=déedi; gawri=deed,installed,read from the PDF text layer and installed unchanged,deed,father's mother,,noun,6261,kalkoti:t1:22,,"kalkoti[p. 132, table 1]",0d34bb503f5e69fbbe3b8465ac7bb0348fac0720adf500ad33b34b22e2659bae
2026-08-25,t1:23,t1,5,132,"p. 132, table 1",maam,mother’s father,palula=móomu; gawri=maam,installed,read from the PDF text layer and installed unchanged,maam,mother's father,,noun,10055,kalkoti:t1:23,,"kalkoti[p. 132, table 1]",ed48eedfdc4c74fc4326670db12ec325ecf2e5a8369f0847e3180f37599f1f23
