unit|region|pdf_page|form|gloss|context
t1:1|t1|4|dra|brother|palula=bhróo; gawri=ǰää
t1:2|t1|4|bään|sister|palula=bheéṇ; gawri=išpo
t1:3|t1|4|bärä|husband|palula=bharíiw; gawri=khäman, miiš
t1:4|t1|4|treer|wife|palula=kúṛi; gawri=khämäniin, is
t1:5|t1|4|däär|husband’s brother|palula=díir; gawri=däär
t1:6|t1|4|ǰämäl|husband’s sister|palula=ǰheemíli; gawri=ǰemiɬ
t1:7|t1|4|šäyir|wife’s brother|palula=wíiway; gawri=šaašur
t1:8|t1|4|särän|wife’s sister|palula=saaréeṇi; gawri=saareen
t1:9|t1|4|bab|father|palula=báabu; gawri=bob
t1:10|t1|5|yee|mother|palula=yéei; gawri=yeey
t1:11|t1|5|šoor|father-in-law|palula=šúur; gawri=šušur
t1:12|t1|5|irpäṣ|mother-in-law|palula=preṣ; gawri=čiš
t1:13|t1|5|pitri|father’s brother|palula=pitrí; gawri=piɬi
t1:14|t1|5|mool|mother’s brother|palula=máamu; gawri=mooṭ
t1:15|t1|5|pheep|father’s sister|palula=phéepi; gawri=peep
t1:16|t1|5|meeš|mother’s sister|palula=méeši; gawri=meeš
t1:17|t1|5|puu|son|palula=putr; gawri=poo
t1:18|t1|5|pee|daughter|palula=dhií; gawri=duuy
t1:19|t1|5|pootr|son’s son|palula=púutru; gawri=pooɬ
t1:20|t1|5|peetr|son’s daughter|palula=púutri; gawri=peeɬ
t1:21|t1|5|daad|father’s father|palula=dóodu; gawri=daad
t1:22|t1|5|deed|father’s mother|palula=déedi; gawri=deed
t1:23|t1|5|maam|mother’s father|palula=móomu; gawri=maam
t1:24|t1|5|meem|mother’s mother|palula=méemi; gawri=meem
t2:1:ipfv|t2|5|in|is|aspect=ipfv; printed=in (aas); palula=hínu (de); gawri=thu (aaš)
t2:1:pfv|t2|5|aas|was|aspect=pfv; printed=in (aas); palula=hínu (de); gawri=thu (aaš)
t2:2:ipfv|t2|5|buun|becomes|aspect=ipfv; printed=buun (bil); palula=bháanu (bhílu); gawri=hoant (hu)
t2:2:pfv|t2|5|bil|became|aspect=pfv; printed=buun (bil); palula=bháanu (bhílu); gawri=hoant (hu)
t2:3:ipfv|t2|5|thuun|does|aspect=ipfv; printed=thuun (thääl); palula=tháanu (thíilu); gawri=kärant (kiir)
t2:3:pfv|t2|5|thääl|did|aspect=pfv; printed=thuun (thääl); palula=tháanu (thíilu); gawri=kärant (kiir)
t2:4:ipfv|t2|6|buun|goes|aspect=ipfv; printed=buun (ɡoo); palula=baáanu (ɡúum); gawri=bäčant (ɡaa)
t2:4:pfv|t2|6|ɡoo|went|aspect=pfv; printed=buun (ɡoo); palula=baáanu (ɡúum); gawri=bäčant (ɡaa)
t2:5:ipfv|t2|6|duun|gives|aspect=ipfv; printed=duun (dit); palula=dáanu (dítu); gawri=diant (dit)
t2:5:pfv|t2|6|dit|gave|aspect=pfv; printed=duun (dit); palula=dáanu (dítu); gawri=diant (dit)
t2:6:ipfv|t2|6|yuun|comes|aspect=ipfv; printed=yuun (yaal); palula=yháandu (yhóolu); gawri=yant (yaay)
t2:6:pfv|t2|6|yaal|came|aspect=pfv; printed=yuun (yaal); palula=yháandu (yhóolu); gawri=yant (yaay)
t2:7:ipfv|t2|6|wuun|comes down|aspect=ipfv; printed=wuun (waat); palula=wháandu (wháatu); gawri=waant (was)
t2:7:pfv|t2|6|waat|came down|aspect=pfv; printed=wuun (waat); palula=wháandu (wháatu); gawri=waant (was)
t2:8:ipfv|t2|6|khuun|eats|aspect=ipfv; printed=khuun (khaal); palula=khaáanu (khóolu); gawri=khaant (khaay)
t2:8:pfv|t2|6|khaal|ate|aspect=pfv; printed=khuun (khaal); palula=khaáanu (khóolu); gawri=khaant (khaay)
t2:9:ipfv|t2|6|nikhuun|comes out|aspect=ipfv; printed=nikhuun (nikhät); palula=nikháandu (nikháatu); gawri=nikaant (nikas)
t2:9:pfv|t2|6|nikhät|came out|aspect=pfv; printed=nikhuun (nikhät); palula=nikháandu (nikháatu); gawri=nikaant (nikas)
t2:10:ipfv|t2|6|päšuun|sees|aspect=ipfv; printed=päšuun (driṣ); palula=pašáanu (dhríṣṭu); gawri=päšant (lic̣)
t2:10:pfv|t2|6|driṣ|saw|aspect=pfv; printed=päšuun (driṣ); palula=pašáanu (dhríṣṭu); gawri=päšant (lic̣)
t2:11:ipfv|t2|6|piluun|drinks|aspect=ipfv; printed=piluun (piil); palula=piláanu (píilu); gawri=puant (puuy)
t2:11:pfv|t2|6|piil|drank|aspect=pfv; printed=piluun (piil); palula=piláanu (píilu); gawri=puant (puuy)
t2:12:ipfv|t2|6|bišuun|sits down|aspect=ipfv; printed=bišuun (bäṭ); palula=bhešáanu (bhéṭu); gawri=bäyant (bääṣt)
t2:12:pfv|t2|6|bäṭ|sat down|aspect=pfv; printed=bišuun (bäṭ); palula=bhešáanu (bhéṭu); gawri=bäyant (bääṣt)
t2:13:ipfv|t2|6|märuun|dies|aspect=ipfv; printed=märuun (mur); palula=maráanu (múṛu); gawri=märant (mur)
t2:13:pfv|t2|6|mur|died|aspect=pfv; printed=märuun (mur); palula=maráanu (múṛu); gawri=märant (mur)
t3:1|t3|6|äɡa bil|it rained|structure=BECOME + nonverb
t3:2|t3|6|traam thääl|worked|structure=DO + nonverb
t3:3|t3|6|niin buun|is sleeping|structure=GO + nonverb
t3:4|t3|6|šiiš diin|is flying|structure=GIVE + nonverb
t3:5|t3|6|šidäl yuun|is feeling cold|structure=COME + nonverb
t4:1sg:nom|t4|6|ma|1 SG|case=nom; person=1 SG; printed=ma (ma); palula=ma (ma); gawri=yä (mäy)
t4:1sg:obl|t4|6|ma|1 SG|case=obl; person=1 SG; printed=ma (ma); palula=ma (ma); gawri=yä (mäy)
t4:2sg:nom|t4|6|tu|2 SG|case=nom; person=2 SG; printed=tu (tu); palula=tu (tu); gawri=tu (thäy)
