Snapshot_Date,Collation_Date,Unit_ID,PDF_Page,Printed_Page,Section,Span_Index,Raw_Form,Raw_Gloss,Status,Reason,Final_Forms,Final_Gloss,Final_Tags,Etymology,Emitted_Keys,Review,Material_Error,Source,Record_SHA256
2026-08-25,2026-08-25,1:2,2,124,1,2,"…m Kabul, Afghanistan), but its derivation from the Gypsy word kālā or kāūlā (cf. Hindi kālā, Zargari kālo/qālo), meaning","black, dark",ingest,Zargari lexical item glossed by the source,kālo/qālo,black; dark,adj,"The Gypsy word kālā or kāūlā, cf. Hindi kālā.",rezaibaghbidi2003zargari:p124:s1:i2 rezaibaghbidi2003zargari:p124:s1:i2:variant:2,Zargari forms cited parenthetically inside the etymology of the Iranian ethnonym Kowli,no,"rezaibaghbidi2003zargari[p. 124, section 1]",13d77b1506aef8949b14ecf25caf6e278887723b78bd0d71c822a7e76bf1da7e
2026-08-25,2026-08-25,2.3.6:3,5,127,2.3.6,3,dān(d),tooth,ingest,Zargari lexical item glossed by the source,dānd/dān,tooth,noun,,rezaibaghbidi2003zargari:p127:s2.3.6:i3 rezaibaghbidi2003zargari:p127:s2.3.6:i3:variant:2,the source prints dān(d),no,"rezaibaghbidi2003zargari[p. 127, section 2.3.6]",c4cac222c0d1650964a3e99909eb161172fa7e7aaec49c4a824b6e6741629294
2026-08-25,2026-08-25,2.3.13:1,6,128,2.3.13,1,soj-,to sleep,ingest,Zargari lexical item glossed by the source,soj-,to sleep,verb pres stem,The source derives the stem-final -j from *-v.,rezaibaghbidi2003zargari:p128:s2.3.13:i1,,no,"rezaibaghbidi2003zargari[p. 128, section 2.3.13]",3ae56080a8002e78894de09eed5aff9e243539d71f483035a900f560355045f1
2026-08-25,2026-08-25,2.3.16:2,6,128,2.3.16,2,kāt/qāt,scissors,ingest,Zargari lexical item glossed by the source,kāt/qāt,scissors,noun,,rezaibaghbidi2003zargari:p128:s2.3.16:i2 rezaibaghbidi2003zargari:p128:s2.3.16:i2:variant:2,,no,"rezaibaghbidi2003zargari[p. 128, section 2.3.16]",72b0ee3ae05ebf504ea3347e65fecef49f0ea7c3aa0cb2434bf27d3700f1e61f
2026-08-25,2026-08-25,2.3.24:1,7,129,2.3.24,1,āngunlo/āngulno,"last, previous",ingest,Zargari lexical item glossed by the source,āngunlo/āngulno,last; previous,adj,,rezaibaghbidi2003zargari:p129:s2.3.24:i1 rezaibaghbidi2003zargari:p129:s2.3.24:i1:variant:2,,no,"rezaibaghbidi2003zargari[p. 129, section 2.3.24]",76521623b671b31d433d9e23940389f235e72e944c2d0a2700f73e6fab2031c0
2026-08-25,2026-08-25,2.4.1:4,7,129,2.4.1,4,du.rom,road,ingest,Zargari lexical item glossed by the source,durom,road,noun loanword,< Greek δρόμος; the source also compares Early Romani drom.,rezaibaghbidi2003zargari:p129:s2.4.1:i4,etymology printed at 5.3; the source's syllable dots are editorial,no,"rezaibaghbidi2003zargari[p. 129, section 2.4.1]",2999cb3f703799ba5f6f9a59b1f6077b7c8a819d3b221f8d1a38a20db24573b9
2026-08-25,2026-08-25,3.1.8:1,9,131,3.1.8,1,bār,stone,ingest,Zargari lexical item glossed by the source,bār,stone,noun,,rezaibaghbidi2003zargari:p131:s3.1.8:i1,,no,"rezaibaghbidi2003zargari[p. 131, section 3.1.8]",f57ba8a3ee355e08d4d9f8568cfbbe512a0161c35401eef73cdde680dce5eb69
2026-08-25,2026-08-25,3.1.8:18,9,131,3.1.8,18,qāšt,tree,ingest,Zargari lexical item glossed by the source,qāšt,tree,noun,,rezaibaghbidi2003zargari:p131:s3.1.8:i18,section 2.3.16 gives kāšt/qāšt 'wood'; this is the source's separate 'tree' sense,no,"rezaibaghbidi2003zargari[p. 131, section 3.1.8]",f855f20ea013df25be7025718b30666636d9e818d60525fc41074ca1163584ac
2026-08-25,2026-08-25,3.1.9:2,10,132,3.1.9,2,"bāšno, pl. bāšno",cock,ingest,Zargari lexical item glossed by the source,bāšno,cock,noun,,rezaibaghbidi2003zargari:p132:s3.1.9:i2,the printed plural bāšno is identical to the singular,no,"rezaibaghbidi2003zargari[p. 132, section 3.1.9]",93033c562b7a2caa31d9234282f30ca2aa7a15fea139100e73438cb7c23d348d
2026-08-25,2026-08-25,3.1.10:6+1,10,132,3.1.10,6+1,,,ingest,Zargari lexical item glossed by the source,džudža-na,chicken,noun f loanword,< Persian juje.,rezaibaghbidi2003zargari:p132:s3.1.10:i6+1,printed feminine counterpart of džudža-s,no,"rezaibaghbidi2003zargari[p. 132, section 3.1.10]",afb348ee10a44807c65e6a69d1a9d4b3d707a103d8967e3469d316a45021d837
2026-08-25,2026-08-25,3.3.2.4:4,12,134,3.3.2.4,4,elakovā,that same (m.),ingest,Zargari lexical item glossed by the source,elakovā,that same,pron demonstrative dist m,,rezaibaghbidi2003zargari:p134:s3.3.2.4:i4,,no,"rezaibaghbidi2003zargari[p. 134, section 3.3.2.4]",883eb56c88d38c5135995b06b828b38ce3dc433b6c3119ff1a2d4d8f812d642b
2026-08-25,2026-08-25,3.5.1.1:4,16,138,3.5.1.1,4,šel-i-pāndž,105,ingest,Zargari lexical item glossed by the source,šel-i-pāndž,one hundred and five,num,,rezaibaghbidi2003zargari:p138:s3.5.1.1:i4,printed gloss '105',no,"rezaibaghbidi2003zargari[p. 138, section 3.5.1.1]",9273db82463ed4d07f60c7377999d56830cd67765f8e9bf2043340f26a375ced
2026-08-25,2026-08-25,3.6.2:11+1,16,138,3.6.2,11+1,,,ingest,Zargari lexical item glossed by the source,xāl-,to eat,verb perfect stem,,rezaibaghbidi2003zargari:p138:s3.6.2:i11+1,printed xā-l-,no,"rezaibaghbidi2003zargari[p. 138, section 3.6.2]",e1751fc13016c7d830a34c3da3c29a19317ea7d460a2146d2a01529c1ac788c7
2026-08-25,2026-08-25,3.16.1:1+1,19,141,3.16.1,1+1,,,ingest,Zargari lexical item glossed by the source,čhindil-,to be cut,verb pass perfect stem,,rezaibaghbidi2003zargari:p141:s3.16.1:i1+1,,no,"rezaibaghbidi2003zargari[p. 141, section 3.16.1]",a61df84360d90d3c1ba93aad40bd64c91c8710d9195f6b60da9f6534f90eca0a
2026-08-25,2026-08-25,3.16.1:3+1,19,141,3.16.1,3+1,,,ingest,Zargari lexical item glossed by the source,phuril-,to get old,verb pass perfect stem,,rezaibaghbidi2003zargari:p141:s3.16.1:i3+1,,no,"rezaibaghbidi2003zargari[p. 141, section 3.16.1]",4c9eef5755b93d46eae70d682c5a4597b8c65d790a3a1c2627543f5c75ee751c
2026-08-25,2026-08-25,3.17.3.1:1,20,142,3.17.3.1,1,čhinipej,to cut,ingest,Zargari lexical item glossed by the source,čhinipej,to cut,verb inf,,rezaibaghbidi2003zargari:p142:s3.17.3.1:i1,,no,"rezaibaghbidi2003zargari[p. 142, section 3.17.3.1]",8f6741996d2f5123a47131e683973d07f92dd57e2ea4231460e7d20455fd37c0
2026-08-25,2026-08-25,3.19.1.1:2,21,143,3.19.1.1,2,/n-ašti,cannot,ingest,Zargari lexical item glossed by the source,n-ašti,cannot,verb modal indecl neg,,rezaibaghbidi2003zargari:p143:s3.19.1.1:i2,,no,"rezaibaghbidi2003zargari[p. 143, section 3.19.1.1]",e06f97e312fafbaf2e4ff682c6c913a55ff4b63e96a3dfa2fd6e3895c690cb18
2026-08-25,2026-08-25,3.20.1.3:6,21,143,3.20.1.3,6,khal,this side,ingest,Zargari lexical item glossed by the source,khal,this side,adv spatial,,rezaibaghbidi2003zargari:p143:s3.20.1.3:i6,,no,"rezaibaghbidi2003zargari[p. 143, section 3.20.1.3]",6991822b8dcd3ab339555b595ca6992d318aa81151e4c798d28d07e9d09552fa
2026-08-25,2026-08-25,3.20.4.2:1,22,144,3.20.4.2,1,3.20.4.2. The negative form of the verb (i)si,is; are; there is; there are,ingest,Zargari lexical item glossed by the source,isi/si,is; are; there is; there are,verb copula 3sg 3pl,,rezaibaghbidi2003zargari:p144:s3.20.4.2:i1 rezaibaghbidi2003zargari:p144:s3.20.4.2:i1:variant:2,the source prints (i)si,no,"rezaibaghbidi2003zargari[p. 144, section 3.20.4.2]",02e0fd8ea15d008ffa2caaee58a2f16a459d75dfc569beaed7bd9e29cb70cc4c
2026-08-25,2026-08-25,3.20.1.8:5,22,144,3.20.1.8,5,pāndā,again,ingest,Zargari lexical item glossed by the source,pāndā,again,adv,,rezaibaghbidi2003zargari:p144:s3.20.1.8:i5,,no,"rezaibaghbidi2003zargari[p. 144, section 3.20.1.8]",e257032fd0857efe79c3244c03588b084adb515f1b636befb7fdf3f64504930a
2026-08-25,2026-08-25,5.1:1,24,146,5.1,1,bilakis,wrist,ingest,Zargari lexical item glossed by the source,bilakis,wrist,noun loanword,< Azari Turkish bilak.,rezaibaghbidi2003zargari:p146:s5.1:i1,,no,"rezaibaghbidi2003zargari[p. 146, section 5.1]",91648436f9460bdede688ab11b02be767657cc3fb97592cdd47e49a6c7b7fbaa
2026-08-25,2026-08-25,5.1:9,24,146,5.1,9,qaši,eyebrow,ingest,Zargari lexical item glossed by the source,qaši,eyebrow,noun loanword,< Azari Turkish qāš.,rezaibaghbidi2003zargari:p146:s5.1:i9,,no,"rezaibaghbidi2003zargari[p. 146, section 5.1]",272762d64c194890dac88ce721d2fb239e445edef8fa25e01a2c6b51977bc33d
2026-08-25,2026-08-25,3.3.5.1:t07,14,136,3.3.5.1,t07,dat./gen. sosku,what?,ingest,Zargari lexical item glossed by the source,sosku,what?,pron interr dat gen,,rezaibaghbidi2003zargari:p136:s3.3.5.1:it07,,no,"rezaibaghbidi2003zargari[p. 136, section 3.3.5.1]",0029600ff7954dea0466f2c44b8b66ee557e880b7bc1472e69fdc17bd156a601
2026-08-25,2026-08-25,3.3.5.1:t25,14,136,3.3.5.1,t25,"abl. qojna sāhatdan, qojna vaxtistar",at what time?,ingest,Zargari lexical item glossed by the source,qojna vaxtistar,at what time?,pron interr temporal multiword-expression abl,,rezaibaghbidi2003zargari:p136:s3.3.5.1:it25,,no,"rezaibaghbidi2003zargari[p. 136, section 3.3.5.1]",44706522a2efb29e48b9709d446a5238220e272334cd8d556afb5877afaba0ab
