Report,PDF_Page,Column,Item,Gloss,Group,Site_Code,Site,Raw_Form,Status,Reason,Entry_Key
kim-kim-sangma2012garo,51,0,1,sky,1,a,Gajni,sɨlɡa,installed,,silgarobd2012:i001:a:1
kim-kim-sangma2012garo,51,0,1,sky,1,i,Chunia,sɨlɡa,installed,,silgarobd2012:i001:i:1
kim-kim-sangma2012garo,51,0,1,sky,1,o,Birisiri,sɨlɡa,installed,,silgarobd2012:i001:o:1
kim-kim-sangma2012garo,51,0,1,sky,2,c,Kholchanda,ʃaɡu,installed,,silgarobd2012:i001:c:1
kim-kim-sangma2012garo,51,0,1,sky,2,d,Namchapara,ʃoɡa,installed,,silgarobd2012:i001:d:1
kim-kim-sangma2012garo,51,0,1,sky,2,e,Songra,ʃoɡa,installed,,silgarobd2012:i001:e:1
kim-kim-sangma2012garo,51,0,1,sky,2,f,Nagar Sontosh,ʃoɡa,installed,,silgarobd2012:i001:f:1
kim-kim-sangma2012garo,51,0,1,sky,2,g,Sapmari,ʃoɡa,installed,,silgarobd2012:i001:g:1
kim-kim-sangma2012garo,51,0,1,sky,2,h,Digholbag,ʃoɡa,installed,,silgarobd2012:i001:h:1
kim-kim-sangma2012garo,51,0,1,sky,2,n,Utrail,ʃoɡa,installed,,silgarobd2012:i001:n:1
kim-kim-sangma2012garo,51,0,1,sky,2,b,Nokshi,saɡu,installed,,silgarobd2012:i001:b:1
kim-kim-sangma2012garo,51,0,1,sky,3,j,Panchgaon,bɾi,installed,,silgarobd2012:i001:j:1
kim-kim-sangma2012garo,51,0,1,sky,3,k,Sonyasipara,bɾi,installed,,silgarobd2012:i001:k:1
kim-kim-sangma2012garo,51,0,1,sky,4,l,Bharatpur,raŋɾa,installed,,silgarobd2012:i001:l:1
kim-kim-sangma2012garo,51,0,1,sky,4,m,Nalchapra,raŋɾa,installed,,silgarobd2012:i001:m:1
kim-kim-sangma2012garo,51,0,1,sky,5,0,Bangla,akaʃ,installed,,silgarobd2012:i001:0:1
kim-kim-sangma2012garo,51,0,1,sky,6,p,Lyngngam,bnɨŋ,installed,,silgarobd2012:i001:p:1
kim-kim-sangma2012garo,51,0,2,sun,1,a,Gajni,ʃal,installed,,silgarobd2012:i002:a:1
kim-kim-sangma2012garo,51,0,2,sun,1,d,Namchapara,ʃal,installed,,silgarobd2012:i002:d:1
kim-kim-sangma2012garo,51,0,2,sun,1,e,Songra,ʃal,installed,,silgarobd2012:i002:e:1
kim-kim-sangma2012garo,51,0,2,sun,1,f,Nagar Sontosh,ʃal,installed,,silgarobd2012:i002:f:1
kim-kim-sangma2012garo,51,0,2,sun,1,g,Sapmari,ʃal,installed,,silgarobd2012:i002:g:1
kim-kim-sangma2012garo,51,0,2,sun,1,h,Digholbag,ʃal,installed,,silgarobd2012:i002:h:1
kim-kim-sangma2012garo,51,0,2,sun,1,i,Chunia,ʃal,installed,,silgarobd2012:i002:i:1
kim-kim-sangma2012garo,51,0,2,sun,1,n,Utrail,ʃal,installed,,silgarobd2012:i002:n:1
kim-kim-sangma2012garo,51,0,2,sun,1,o,Birisiri,ʃal,installed,,silgarobd2012:i002:o:1
kim-kim-sangma2012garo,51,0,2,sun,2,m,Nalchapra,raŋʃan,installed,,silgarobd2012:i002:m:1
kim-kim-sangma2012garo,51,0,2,sun,2,l,Bharatpur,ranʃaŋ,installed,,silgarobd2012:i002:l:1
kim-kim-sangma2012garo,51,0,2,sun,2,b,Nokshi,rasan,installed,,silgarobd2012:i002:b:1
kim-kim-sangma2012garo,51,0,2,sun,2,c,Kholchanda,rasan,installed,,silgarobd2012:i002:c:1
kim-kim-sangma2012garo,51,0,2,sun,3,j,Panchgaon,jao � bɾi,excluded,contains a glyph with no verified reading,
kim-kim-sangma2012garo,51,0,2,sun,3,k,Sonyasipara,jao � bɾi,excluded,contains a glyph with no verified reading,
kim-kim-sangma2012garo,51,0,2,sun,4,0,Bangla,ʃuɹdʒo,installed,,silgarobd2012:i002:0:1
