Report,PDF_Page,Column,Gloss_Number,Gloss,Lect,Site,Group,Raw_Form,Status,Reason,Entry_Key
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Itticity,1,melɨ,installed,,silidukki2015:g001:idukki-muthuvan-itticity:i1
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Itticity,3,uɖəmbɨ,installed,,silidukki2015:g001:idukki-muthuvan-itticity:i2
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Itticity,4,ɕʌɾiɾʌm,installed,,silidukki2015:g001:idukki-muthuvan-itticity:i3
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Chempakathozhu,3,oɖəmbɨ,installed,,silidukki2015:g001:idukki-muthuvan-chempakathozhu:i1
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Kavakudi,3,oɖəmbɨ,installed,,silidukki2015:g001:idukki-muthuvan-kavakudi:i1
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Kozhiyala,3,oɖəmbɨ,installed,,silidukki2015:g001:idukki-muthuvan-kozhiyala:i1
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Valsapetti,3,oɖəmbɨ,installed,,silidukki2015:g001:idukki-muthuvan-valsapetti:i1
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Kunchipara,1,melɨ,installed,,silidukki2015:g001:idukki-muthuvan-kunchipara:i1
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Kunchipara,4,ɕʌɾiɾʌm,installed,,silidukki2015:g001:idukki-muthuvan-kunchipara:i2
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Thalayirappan,4,tʃʌɾiɾʌm,installed,,silidukki2015:g001:idukki-muthuvan-thalayirappan:i1
varghese-mathew2015idukki,58,0,1,body,Muthuvan,Kurathikudi,2,d̪ehʌm,installed,,silidukki2015:g001:idukki-muthuvan-kurathikudi:i1
varghese-mathew2015idukki,58,0,1,body,Mannan,Vattamedu,3,uɖəmbɨ,installed,,silidukki2015:g001:idukki-mannan-vattamedu:i1
