Snapshot_Date,Collation_Date,Unit_ID,Printed_Page,Scan,Raw_Headline,Raw_Subparagraphs,Raw_Gloss_German,English_Gloss,Headwords,Labels,Turner_Claim,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Keys,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-27,2026-08-27,p295:e02,295,TN447377,phíčiu-phíčiu Zwitschern eines Sperlings.,736.,Zwitschern eines Sperlings,chirping of a sparrow,phíčiu-phíčiu,,,installed_form,phíčiu-phíčiu,,degener-shina2008:p295:e02,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 295, glossary entry 2]",000bdda3860c324e7b17045bfc73e3de7197286a30dd56652524c6b37295633f
2026-08-27,2026-08-27,p279:e18,279,TN446831,khapái fem. Löffel. [Ikoh khapʌ́y~ Schöpfkelle].,khapéyek 675. Locii khapáyer 307.,Löffel,spoon,khapái,fem.,,installed_form,khapái,,degener-shina2008:p279:e18,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 279, glossary entry 18]",000c07136de998b7780113b5b15e3188ac512d9a3be9f6a33e894c12dda91427
2026-08-27,2026-08-27,p274:e09,274,TN446831,"kaái fem. Wunsch, Sehnsucht. [vgl. kaáyo].",391. pl kaáye. Obl-pl kaáyo 380. ⁋ kaáyo b- sich sehnen (m. ma théi kaáyo bigás/ fem. ma théi kaáyo bigís Ich sehne mich nach dir).,"Wunsch, Sehnsucht",wish; longing,kaái,fem.,,installed_form,kaái,,degener-shina2008:p274:e09,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 274, glossary entry 9]",0082b648e1734428797ab844e2afb1c3afaabff47a4727008691db125de2e242
2026-08-27,2026-08-27,p278:e07,278,TN446831,kúṛyer s. kuṭ.,,,,kúṛyer,,,audit_only_cross_reference,kúṛyer,,,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 278, glossary entry 7]",0095ce1ae9f8c51bb7dfe2fe46cbc5c7f8fd60aef028eac9ad2355cb6493aa8b
2026-08-27,2026-08-27,p284:e01,284,TN447377,"maphéer, maféer m. weiser Alter. [Bur. =].",208. Gen-s maphéerei 205.,weiser Alter,wise old man,maphéer | maféer,m.,,installed_form,maphéer,,degener-shina2008:p284:e01 degener-shina2008:p284:e01:v2,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 284, glossary entry 1]",00b5b60a31409504b6f9f3404c1c38023d6a8342cd8db467f9dd62a67ee867f9
2026-08-27,2026-08-27,p307:e04,307,TN447377,titíiro Brust.,225.,Brust,breast,titíiro,,,installed_form,titíiro,,degener-shina2008:p307:e04,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 307, glossary entry 4]",00cd2c0e303e5711c530759830c2b16ccd80b9b190e2155fb1710d7586014347
2026-08-27,2026-08-27,p286:e07,286,TN447377,muc̣hóṭ adv. früher; nach vorne.,550.,früher; nach vorne,earlier; forward,muc̣hóṭ,adv.,,installed_form,muc̣hóṭ,,degener-shina2008:p286:e07,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 286, glossary entry 7]",00d23362184f36a41ca77c5d60e49bf191074987f3171bd1cd6d66068e80d2d4
2026-08-27,2026-08-27,p293:e10,293,TN447377,"phai- trans. zerspalten, aufbrechen. [Skt. sphaṭ- mit auffälligem Schwund von -ṭ-]",Inf. phayoóiky. Abs phayeé 411.,"zerspalten, aufbrechen","split, break open",phai-,trans.,,installed_form,phai-,,degener-shina2008:p293:e10,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 293, glossary entry 10]",015679026766710a9649245a726a82b81acbea10ec85c6c0873c75cdbacaf2ed
2026-08-27,2026-08-27,p266:e02,266,TN446831,gin- trans. nehmen. [T. 4236. Gramm. 5.3.5].,"Inf. ginoóiky 250. Präs 3sm gínen 753; 3pl gínenen 648. Imp 2s gin 116, 214, 535. Abs gínii mit 382, 462, 587.3, 587.4, 620, 628, 656.3, 688, 691, 698, 709, 715.2, 749, 750, 773. Prät 3sm giniígu-t 80, giniígu to 607; 3pl giniígye 218.",nehmen,take,gin-,trans.,4236,installed_form,gin-,4236,degener-shina2008:p266:e02,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 266, glossary entry 2]",016c0c5c2034a3671104764f443f007fb24d2c9541b34ecde88cd5c43d89a9d4
2026-08-27,2026-08-27,p299:e18,299,TN447377,sáa~ty postpos. (+ Obl) (zusammen) mit. [T. 13364].,"146, 385, 386, 504, 558, 589, 637, 668, 670, 700, 703, 704, 705, 712, 714, 752, 754, 783. Zur Markierung des Agens eines Kausativs 261.",(zusammen) mit,(together) with,sáa~ty,postpos. | (+ Obl),13364,installed_form,sáa~ty,13364,degener-shina2008:p299:e18,manually collated printed glossary headword paragraph,full manual census against 300 dpi renders with zoomed band verification; Tesseract digit cross-check,no,"degener-shina2008[p. 299, glossary entry 18]",017e62ebe03976b2cc93f5f7b730074c20beba2b12f34d600c5674f9fbd2aa58
