Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Page,Row,Item,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Parameter_ID,Link_Status,Alignment_Method,Rau_Citation,Rau_Form,Rau_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256
2026-08-28,bahl1962korwa:C:c1.p133.r16.i1805,,,,Korwa,kw,133,16,1805,,,,,,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,excluded,empty source record,"BAHL[p. 133, row 16, item 1805]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,23a510f69cede683667aa2626351eb009a4c4730f4f47016e27e6cb27112eabd
2026-08-28,bahl1962korwa:C:c1.p1.r5.i5,aeˀ,third singular reflexive.,,Korwa,kw,1,5,5,1,bahl1962korwa:C:c1.p1.r5.i5,,aeˀ,third singular reflexive.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 1, row 5, item 5]",pron,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,d55ba80b3f6ee5d1f4d898d8f2ca158078de3a9a340eedc2434974bc96f171b9
2026-08-28,bahl1962korwa:C:c1.p2.r9.i23,agbakaːo,to be perplexed.,,Korwa,kw,2,9,23,1,bahl1962korwa:C:c1.p2.r9.i23,,agbakaːo,to be perplexed.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 2, row 9, item 23]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,a838d131ccc828f38187bb471dce9ac21b086b8693564193c4b91c4eed9780e7
2026-08-28,bahl1962korwa:C:c1.p2.r5.i19,aguaː,"in front, before.",,Korwa,kw,2,5,19,1,bahl1962korwa:C:c1.p2.r5.i19,,aguaː,"in front, before.",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 2, row 5, item 19]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,de56ad6f4045931b6628045a967598b8d91114215adaeba00dea2ad348561586
2026-08-28,bahl1962korwa:C:c1.p2.r7.i21,aguraː,to watch.,,Korwa,kw,2,7,21,1,bahl1962korwa:C:c1.p2.r7.i21,,aguraː,to watch.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 2, row 7, item 21]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,413dc32ca17bb848d494571f00303dba08fe9ad27d1e098e7682aeeef57510e0
2026-08-28,bahl1962korwa:C:c1.p2.r10.i24,agʰuaːn,"to stand as a surety for somebody (of the headman), [to vouch for].",,Korwa,kw,2,10,24,1,bahl1962korwa:C:c1.p2.r10.i24,,agʰuaːn,"to stand as a surety for somebody (of the headman), [to vouch for].",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 2, row 10, item 24]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,fb5cba4855de012f255f7fb0e630d4bea99063c9fb65c67a86ee0bd4f4ae7d06
2026-08-28,bahl1962korwa:C:c1.p5.r13.i75,ahiraː,"Ahir caste, cowherd.",,Korwa,kw,5,13,75,1,bahl1962korwa:C:c1.p5.r13.i75,,ahiraː,"Ahir caste, cowherd.",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 5, row 13, item 75]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,1893751f63818f3f91a307ee9b3ae6155d52d96cee04942caafdcdfaa86116e1
2026-08-28,bahl1962korwa:C:c1.p5.r12.i74,ahĩd,a fish.,,Korwa,kw,5,12,74,1,bahl1962korwa:C:c1.p5.r12.i74,,ahĩd,a fish.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 5, row 12, item 74]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,d2eab97352ca2ee1a498545c8de94efbdd333879373edcf20e7d99871f458835
2026-08-28,bahl1962korwa:C:c1.p1.r7.i7,akalsakal,to be unconscious (before death).,,Korwa,kw,1,7,7,1,bahl1962korwa:C:c1.p1.r7.i7,,akalsakal,to be unconscious (before death).,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 1, row 7, item 7]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,1b5f572ff5216f550e8afda35385e06a69ee6d9a1c803b5e247e1e9e4d5e1565
2026-08-28,bahl1962korwa:C:c1.p1.r6.i6,"akaɽã, akʰaɽã",an inner room in a Korwa house where the family god is kept.,,Korwa,kw,1,6,6,1,bahl1962korwa:C:c1.p1.r6.i6,,akaɽã,an inner room in a Korwa house where the family god is kept.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 1, row 6, item 6]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,dc9e4a1c7e6122400030a03c895e7edf5d90fda1c25ed350c070169f5bfe9718
2026-08-28,bahl1962korwa:C:c1.p1.r6.i6,"akaɽã, akʰaɽã",an inner room in a Korwa house where the family god is kept.,,Korwa,kw,1,6,6,2,bahl1962korwa:C:c1.p1.r6.i6:v2,bahl1962korwa:C:c1.p1.r6.i6,akʰaɽã,an inner room in a Korwa house where the family god is kept.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 1, row 6, item 6]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,dc9e4a1c7e6122400030a03c895e7edf5d90fda1c25ed350c070169f5bfe9718
2026-08-28,bahl1962korwa:C:c1.p1.r10.i10,akiluːˀ,"to remember, to recollect.",,Korwa,kw,1,10,10,1,bahl1962korwa:C:c1.p1.r10.i10,,akiluːˀ,"to remember, to recollect.",,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 1, row 10, item 10]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,fcbc25e9aa5f130c6c4386b6ffb3e09ab7916d3e90789b4db8e4304ad8951419
2026-08-28,bahl1962korwa:C:c1.p1.r9.i9,akin,third dual reflexive.,,Korwa,kw,1,9,9,1,bahl1962korwa:C:c1.p1.r9.i9,,akin,third dual reflexive.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 1, row 9, item 9]",pron du,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,e8099a28c90936618ccb3e514da9a35d22b254484bc2d444aa8771225f8a08a4
2026-08-28,bahl1962korwa:C:c1.p1.r8.i8,akiɖ,to gather up grains.,,Korwa,kw,1,8,8,1,bahl1962korwa:C:c1.p1.r8.i8,,akiɖ,to gather up grains.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 1, row 8, item 8]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,ad06bc85c5087c8a4ce04db4ecacf00132a4eccdaca8764c677c41d62fcc0879
2026-08-28,bahl1962korwa:C:c1.p1.r11.i11,akuː,third plural reflexive.,,Korwa,kw,1,11,11,1,bahl1962korwa:C:c1.p1.r11.i11,,akuː,third plural reflexive.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 1, row 11, item 11]",pron pl,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,becc401a5be8cb1905c6714eaceb1e12cdd2ed1d4db4af8d12526fc6ae969f96
2026-08-28,bahl1962korwa:C:c1.p1.r12.i12,akʰad,sacred rice which is fed to the chicken by a priest before its ceremonial sacrifice.,,Korwa,kw,1,12,12,1,bahl1962korwa:C:c1.p1.r12.i12,,akʰad,sacred rice which is fed to the chicken by a priest before its ceremonial sacrifice.,,,none,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 1, row 12, item 12]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,be1fb7a2267b03a2b157ea546ed977533ad375e538b0c2069e339e634358b4fd
