Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Raw_Note,Source_Language,Language_ID,Page,Row,Item,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Final_Notes,Final_Etymology,Note_Class,Parameter_ID,Link_Status,Alignment_Method,Rau_Citation,Rau_Form,Rau_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,bahl1962korwa:C:c1.p89.r9.i1200,deˀ,to climb up.,,Korwa,kw,89,9,1200,1,bahl1962korwa:C:c1.p89.r9.i1200,,deˀ,to climb up.,,Rau 2019 assigns Bahl's Korwa form to Proto-Munda m6; resolved by unique normalized source form and compatible meaning.,none,m6,linked,unique normalized source form plus compatible meaning,BAHL[p89],deʔ,climb (v),ingested,structured dictionary record,"BAHL[p. 89, row 9, item 1200]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,b08b2977c51229f2b101457e0fd3d7de4cd1c7c1bbe75e679c89b2bf20dd0f12,pass,
2026-08-28,bahl1962korwa:C:c1.p63.r15.i888,joˀ,to bear fruit.,,Korwa,kw,63,15,888,1,bahl1962korwa:C:c1.p63.r15.i888,,joˀ,to bear fruit.,,Rau 2019 assigns Bahl's Korwa form to Proto-Munda m30; resolved by unique normalized source form and compatible meaning.,none,m30,linked,unique normalized source form plus compatible meaning,BAHL[p63],joʔ,fruit / to bear fruit (v),ingested,structured dictionary record,"BAHL[p. 63, row 15, item 888]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,69211932d927682981c080d659086397a49922f0175db32d48ad17d6d41e50f2,pass,
2026-08-28,bahl1962korwa:C:c1.p136.r9.i1846,siːm,cock.,,Korwa,kw,136,9,1846,1,bahl1962korwa:C:c1.p136.r9.i1846,,siːm,cock.,,Rau 2019 assigns Bahl's Korwa form to Proto-Munda m28; resolved by unique normalized source form and compatible meaning.,none,m28,linked,unique normalized source form plus compatible meaning,BAHL[p135],si:m,chicken,ingested,structured dictionary record,"BAHL[p. 136, row 9, item 1846]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,c895e34230448ac097b98c2ca0dbe01ad4333e4bc73e14ffb0c1fed2cc7661fd,pass,
2026-08-28,bahl1962korwa:C:c1.p105.r6.i1420,baːl,set a forest on fire.,,Korwa,kw,105,6,1420,1,bahl1962korwa:C:c1.p105.r6.i1420,,baːl,set a forest on fire.,,Rau 2019 assigns Bahl's Korwa form to Proto-Munda m23; resolved by unique normalized source form and compatible meaning.,none,m23,linked,unique normalized source form plus compatible meaning,BAHL[p105],ba:l,burn (v),ingested,structured dictionary record,"BAHL[p. 105, row 6, item 1420]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,99c15eb43811524850be80341bc40b9ae40212e71dc12e246a92da992d3fc607,pass,
2026-08-28,bahl1962korwa:C:c1.p3.r16.i46,ayub,early evening.,,Korwa,kw,3,16,46,1,bahl1962korwa:C:c1.p3.r16.i46,,ayub,early evening.,,Rau 2019 assigns Bahl's Korwa form to Proto-Munda m33; resolved by unique normalized source form and compatible meaning.,none,m33,linked,unique normalized source form plus compatible meaning,BAHL[p3],ayub,night,ingested,structured dictionary record,"BAHL[p. 3, row 16, item 46]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,68ec7d941e20b146f2b898d66c60dd64ed17a96a7f0ba909c28587b8f7d2813f,pass,
2026-08-28,bahl1962korwa:C:c1.p60.r9.i842,jaːŋ,bone.,,Korwa,kw,60,9,842,1,bahl1962korwa:C:c1.p60.r9.i842,,jaːŋ,bone.,,Rau 2019 assigns Bahl's Korwa form to Proto-Munda m2; resolved by unique normalized source form and compatible meaning.,none,m2,linked,unique normalized source form plus compatible meaning,BAHL[p60],ja:ŋ,bone,ingested,structured dictionary record,"BAHL[p. 60, row 9, item 842]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,2d50386e02ef1ed92079830be8ef06d7a35881701423055b4d8d3d3a19ddd76d,pass,
2026-08-28,bahl1962korwa:C:c1.p49.r7.i713,gʰale,emphatic particle.,!H./bhii/.  #07690.,Korwa,kw,49,7,713,1,bahl1962korwa:C:c1.p49.r7.i713,,gʰale,emphatic particle.,,H./bhii/.  #07690.,comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 49, row 7, item 713]",part emph,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,7052ab26991980afcca8b03fd61a72a06659d556e9c0ab29355f0b4b4dc691c1,pass,
2026-08-28,bahl1962korwa:C:c1.p31.r7.i451,kũdaruː,a vegetable.,!S. /kũdarū/  #04780.,Korwa,kw,31,7,451,1,bahl1962korwa:C:c1.p31.r7.i451,,kũdaruː,a vegetable.,,S. /kũdarū/  #04780.,comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 31, row 7, item 451]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,b702fa596522fb679dd419b36585b47e63c2d3542b1d5bb5871f56e7c480a027,pass,
2026-08-28,bahl1962korwa:C:c1.p119.r9.i1612,munmaʈiː,a kind of clay.,!S./nagaRā/.  #18650.,Korwa,kw,119,9,1612,1,bahl1962korwa:C:c1.p119.r9.i1612,,munmaʈiː,a kind of clay.,,S./nagaRā/.  #18650.,comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 119, row 9, item 1612]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,ceb31e60bf4f2b88618c86019a784028079532d25bba035ac85e114801e0fab6,pass,
2026-08-28,bahl1962korwa:C:c1.p125.r7.i1695,laiː cubaliː,filthy talk.,"|/laī/ `', /cubalī/ `'.  9680.",Korwa,kw,125,7,1695,1,bahl1962korwa:C:c1.p125.r7.i1695,,laiː cubaliː,filthy talk.,,"|/laī/ `', /cubalī/ `'.  9680.",comparative,,unlinked,no conservative Rau Proto-Munda resolution,,,,ingested,structured dictionary record,"BAHL[p. 125, row 7, item 1695]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=bahl1962korwa,8f565d1b4b28c1e070f770803f1506693c65b0a5f750ce4fce28a4c86487bba5,84b09e0b513cb89442da487c3e994477783f0917c116ec981e23f06a534847f4,pass,
