Entry_Key,Form,Raw_Gloss_German,English_Gloss,Review,Translator,Model,Source_SHA256
berger:p009:c1:e001,a,Ausruf der Überraschung,exclamation of surprise,machine-translated-unreviewed,Argos Translate,de_en 1.3,6c596b3584a51a894890d62352e896e665039d900745c35c58c7081c629fa803
berger:p009:c1:e002,a,"Kurzform für áti, Imp. von =t- © (Gr. .)","short for áti, imp. of =t- © (Gr. .)",machine-translated-unreviewed,Argos Translate,de_en 1.3,406bd98b6b6a523f3e6d86e9a6fdb35a0261a33150b7eff87c84cbdbf1cbb467
berger:p009:c1:e003,a:/oó-,"Negation beim Verbum, vgl. Gr. . - 9.; , 49","negation in the verb, cf. Gr. - 9.; , 49",machine-translated-unreviewed,Argos Translate,de_en 1.3,057c271efc45788f7967096c7339c1910b75817e9b606679bf400d6379509df7
berger:p009:c1:e003:dialect:1,aż,"Negation beim Verbum, vgl. Gr. . - 9.; , 49","negation in the verb, cf. Gr. - 9.; , 49",machine-translated-unreviewed,Argos Translate,de_en 1.3,057c271efc45788f7967096c7339c1910b75817e9b606679bf400d6379509df7
berger:p009:c1:e004,a ét-,"ãét- (den Mund) öffnen, (Vögel im Nest) den Schnabel aufsperren","ãét- (open the mouth), (birds in the nest) open the beak",machine-translated-unreviewed,Argos Translate,de_en 1.3,4641a89f8d19f2ee696e47ac48ce263cc74ad28c9afa0d8c3d2d26b82c8eb7c1
berger:p009:c1:e005,a,"bei Satzfragen dem letzten Wort angehängt, vgl. Gr","in sentence questions, attached to the last word, cf. Gr",machine-translated-unreviewed,Argos Translate,de_en 1.3,fe740836f503c965dd679b324c767df6fe5c2b57b47320ab7dcb37feadc024b3
berger:p009:c1:e006,áa ét-,"hindern, aufhalten, warnen, belehren (wen -ar)","hinder, stop, warn, teach (wen -ar)",machine-translated-unreviewed,Argos Translate,de_en 1.3,00f3fabba55ba8b2c51947471e01bfca6e7c13a46233eef71e437377d8f267e2
berger:p009:c1:e007,a ét-,weinen (Kind),crying (child),machine-translated-unreviewed,Argos Translate,de_en 1.3,999325e72fc3bf7f05501611e2960d651c0a3840c28c2def7b8994774767957f
berger:p009:c1:e008,åa,"ií, aaí NH (heimische) Musik (Kindersprache)","ií, aaí NH (native) music (children's language)",machine-translated-unreviewed,Argos Translate,de_en 1.3,c1587eb7ba13783aad051143305e165e98a758ebc3e4bb9192cbb4bb30bb34db
berger:p009:c1:e009,áa,ach! ; 344,ah!; 344,machine-translated-unreviewed,Argos Translate,de_en 1.3,6c90f2983d955027728e1520f9f9063f0d6d651bb657418534addd59ef9da7db
berger:p009:c1:e010,Sáa,Kurzform für áati von +-t- (Gr. .),short form for áati of +-t- (gr. .),machine-translated-unreviewed,Argos Translate,de_en 1.3,229f4bb08595598ee12ee7362a144a9b280f88a2d589b635388432746e79e484
berger:p009:c1:e011,a,"für jáa von je vor káa und -ar, Gr","for jáa from ever before káa and -ar, Gr",machine-translated-unreviewed,Argos Translate,de_en 1.3,ed4abb02b36a2b55481fd46caafe50af4bde94d310dd4aa2543a148774704d84
berger:p009:c1:e012,áa-,s.a,s.a,machine-translated-unreviewed,Argos Translate,de_en 1.3,ac0dba6e282f9aed8e9f0ef3e1018ffb514ebd20d2133e910ce8b08e232dfdd3
berger:p009:c1:e013,aabaadí,s. abåat,see also abåat,machine-translated-unreviewed,Argos Translate,de_en 1.3,ec41afbcb7edda752b203424430fac6c60d09177a62a65fe0a1b011d8b6ff382
berger:p009:c1:e014,aabidaaná,"Lebensunterhalt 54. 12 (in besonderer Verwendung, vgl. die A. dazu)","livelihood 54:12 (in special use, cf. the A. to it)",machine-translated-unreviewed,Argos Translate,de_en 1.3,86803fbd31f526a7ebfd55ebc37a38e673715fd1b89cdea6e79f39e510cd2c52
berger:p009:c1:e015,aadáatiů,s. aadát,see aadát,machine-translated-unreviewed,Argos Translate,de_en 1.3,750e569f567117f40d8066afd6a4e5c392b301127490c08daa2ce8090094dd9f
berger:p009:c2:e001,Aadám-qhalíil,"""Freund Adam"", der biblische Adam","“friend Adam,” the biblical Adam",machine-translated-unreviewed,Argos Translate,de_en 1.3,601a19927fb5b677d1a924d08ce8d8313a1552bc954f9f5bd0d53b24c627cd68
berger:p009:c2:e002,aadát,"pl. ng. aadáatiù Gewohnheit, Brauch, Praxis","pl. ng. aadáatiù habit, custom, practice",machine-translated-unreviewed,Argos Translate,de_en 1.3,7b9890892114af5337a4428ba67868a65a6307b5dca8731bf19be0fd8e8a6543
berger:p009:c2:e002:dialect:1,aadáatiù,"pl. ng. aadáatiù Gewohnheit, Brauch, Praxis","pl. ng. aadáatiù habit, custom, practice",machine-translated-unreviewed,Argos Translate,de_en 1.3,7b9890892114af5337a4428ba67868a65a6307b5dca8731bf19be0fd8e8a6543
berger:p009:c2:e003,aadér -ććhí-,Befehl geben,give order,machine-translated-unreviewed,Argos Translate,de_en 1.3,07e38864c0f82f39cbb8478121a8acf802558b9f07c7a4864fc96dd38bfe4b22
berger:p009:c2:e004,äi ét-,"ãáï ne hér- NH weinen, schreien","ãáï ne hér- NH crying, screaming",machine-translated-unreviewed,Argos Translate,de_en 1.3,ba3363e9542788a05623502200803e8c666da5559c6fb78633ec934603a39027
berger:p009:c2:e005,aai,s. ’åa,see ’åa,machine-translated-unreviewed,Argos Translate,de_en 1.3,dec7297ea802cde10303198ca165dd76d684d73c75b3bea2b511c7707f2c4c4d
berger:p009:c2:e006,aaindá,"` zukünftig, kommend ; adv. in Zukunft ; 22","` future, coming ; adv. in future ; 22",machine-translated-unreviewed,Argos Translate,de_en 1.3,4f2c4701d635839f7afbac824c593d679a144970e9568bd57d8d34c98d48f611
berger:p009:c2:e007,áajo,"ach, weh!","oh, hurt!",machine-translated-unreviewed,Argos Translate,de_en 1.3,46c3aaab8e48f0db5d91d76af23e52130f6a02335521a0367f3eac3aaa1bf7b8
berger:p009:c2:e007:dialect:1,ajó,"ach, weh!","oh, hurt!",machine-translated-unreviewed,Argos Translate,de_en 1.3,46c3aaab8e48f0db5d91d76af23e52130f6a02335521a0367f3eac3aaa1bf7b8
