Snapshot_Date,Collation_Date,Unit_ID,PDF_Page,Printed_Page,Raw_Form,Raw_Gloss_German,English_Gloss,Final_Status,Final_Form,Final_Parameter_ID,Emitted_Key,Resolution,Review,Material_Error,Source,Record_SHA256
2026-08-28,2026-08-28,p50:e10,27,50,yúun,Mond,moon,installed_form,yúun,5301,buddruss-shina1996:p50:e10,manually collated printed glossary headword,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 50, glossary entry 10]",003c25fbcde7a79353c07e750d40e1fb1ac37e2f8da0609e73f6e5df0331c752
2026-08-28,2026-08-28,p47:e08,24,47,niílo,blau,blue,installed_form,niílo,7563,buddruss-shina1996:p47:e08,feminine niíli remains prose,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 47, glossary entry 08]",01547bb86d4c829b70e14cde2e68945ea889a857609d902ae4f86ad420539390
2026-08-28,2026-08-28,p42:e08,19,42,c̣heéc,Feld,field,installed_form,c̣heéc,3735,buddruss-shina1996:p42:e08,manually collated printed glossary headword,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 42, glossary entry 08]",015957cd303cca9e22abdcefaa905b739d913bcad74d109c8186b4af80fd9e2a
2026-08-28,2026-08-28,p48:e17,25,48,san-,"machen, herstellen",make; produce,installed_form,san-,13126,buddruss-shina1996:p48:e17,manually collated printed glossary headword,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 48, glossary entry 17]",0173e780ea30b30c07f6cb7be7830904e52765c4256d207a6d70ecd9d66149b3
2026-08-28,2026-08-28,p48:e03,25,48,phii~ṣ b-,langsam herausgelassen werden; ausströmen,be let out slowly; flow out,installed_form,phii~ṣ b-,,buddruss-shina1996:p48:e03,printed nasal vowel normalized to source-profile ~ notation; Shina and Burushaski comparisons,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 48, glossary entry 03]",01a4733a407765bfe6b22c6afe10cb43267ae7499002e5ee04b1c3297ce6405f
2026-08-28,2026-08-28,p41:e05,18,41,bambá,Wasserhahn,water tap,installed_form,bambá,,buddruss-shina1996:p41:e05,ultimately Portuguese through Hindi-Urdu,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 41, glossary entry 05]",0301ed5c55f0f2f611ae3b47a6fc46d22aecdf8262dea60dd21db5b9077d9cc2
2026-08-28,2026-08-28,p47:e11,24,47,óo~ši,Wind,wind,installed_form,óo~ši,,buddruss-shina1996:p47:e11,printed nasal vowel normalized to source-profile ~ notation; Phalura and Maiya comparisons,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 47, glossary entry 11]",0350a88aa7473f8f2bdf3965727df1fc5e146fe60926ccc81abfe85a859414df
2026-08-28,2026-08-28,p43:e27,20,43,hagáar,Feuer,fire,installed_form,hagáar,125,buddruss-shina1996:p43:e27,manually collated printed glossary headword,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 43, glossary entry 27]",0391a9c92ce666d64e7ee426d39c711cba0d31522d25a3958470841f527a967d
2026-08-28,2026-08-28,p50:e05,27,50,xatún,Dame,lady,installed_form,xatún,,buddruss-shina1996:p50:e05,Persian loan,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 50, glossary entry 05]",03cfa1eef53bca878917d37fcf17f0b903b12bba18abbfb1f290fd28870d7f6b
2026-08-28,2026-08-28,p50:e09,27,50,yó~r-bat,Mühlstein,millstone,installed_form,yó~r-bat,11348,buddruss-shina1996:p50:e09,printed nasal vowel normalized to source-profile ~ notation,full manual census against 300 dpi renders; embedded PDF text used only for navigation,no,"buddruss-shina1996[p. 50, glossary entry 09]",085a81d20715cb02ee7f89cb72de5a541fd0835043e75f8f81dc442b45c387ea
