Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,Page,Item,Pinnow_Set,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Parameter_ID,Link_Status,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256
2026-08-28,pinnow1959versuch:C:c3.p97.i1319.sV147,(ə-)ˈlʔuːd-ən,ear,Sora,so,97,1319,V147,1,pinnow1959versuch:C:c3.p97.i1319.sV147,,(ə-)ˈlʔuːd-ən,m73,direct,ingested,Rau prints this Pinnow set number,"pinnow1959versuch[p. 97, item 1319, set V147]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,24f4190010fc45515a30ff8b83e26cc2a7b9b59e83bac2e808f9842086b39b39
2026-08-28,pinnow1959versuch:C:c3.p71.i1176.sV014,(ə-)ˈlʔɑːŋ-ən,tongue,Sora,so,71,1176,V14,1,pinnow1959versuch:C:c3.p71.i1176.sV014,,(ə-)ˈlʔɑːŋ-ən,m3,direct,ingested,Rau prints this Pinnow set number,"pinnow1959versuch[p. 71, item 1176, set V14]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,2ae90d27dcaeaebc786527789f116be28dd0619f6970c6d9395d31bcb481be0f
2026-08-28,pinnow1959versuch:C:c4.p71.i1180.sV018,-aʔ,genitive,Mundari,mu,71,1180,V18,1,pinnow1959versuch:C:c4.p71.i1180.sV018,,-aʔ,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 71, item 1180, set V18]",gen,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,9c723c638372eea8ac659a34a1d4e4e33f5fb8773f1a1885568160759e5271d2
2026-08-28,pinnow1959versuch:C:c2.p71.i1180.sV018,-aʔ,genitive,Santali,sa,71,1180,V18,1,pinnow1959versuch:C:c2.p71.i1180.sV018,,-aʔ,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 71, item 1180, set V18]",gen,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,ed1c47d67d96eb9ce79bacf2cd64719ceb3c0b543b9239b89346287b92c4bedc
2026-08-28,pinnow1959versuch:C:c3.p267.i475.sK349,-boːɟ-ən,a feminine suffix,Sora,so,267,475,K349,1,pinnow1959versuch:C:c3.p267.i475.sK349,,-boːɟ-ən,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 267, item 475, set K349]",suffix f,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,449a4dc22aa0ecf7859288d88956cda6890f638498a6eaf5d4d41c2490371dd7
2026-08-28,pinnow1959versuch:C:c11.p101.i1324.sV151,-del-,to come,Juang,ju,101,1324,V151,1,pinnow1959versuch:C:c11.p101.i1324.sV151,,-del-,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 101, item 1324, set V151]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,0d55bf74a5fe876b7683aed9b37b3b6348b742834ba0c12be12cdf13e1ee4423
2026-08-28,pinnow1959versuch:C:c8.p104.i1349.sV174,-leː,we,Bodo-Gadaba,gu,104,1349,V174,1,pinnow1959versuch:C:c8.p104.i1349.sV174,,-leː,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 104, item 1349, set V174]",pron 1pl,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,29cf60a39fe41bdb8da9a5e8107a14ea89f93719bdf26c929ea4d154a3b9427b
2026-08-28,pinnow1959versuch:C:c1.p71.i1180.sV018,-ɑʔ,genitive,Kharia,kh,71,1180,V18,1,pinnow1959versuch:C:c1.p71.i1180.sV018,,-ɑʔ,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 71, item 1180, set V18]",gen,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,eeeff73b6de100c7b20b1c42bde784e6ebbeb9bf75641ced2598c462bffc7971
2026-08-28,pinnow1959versuch:C:c3.p71.i1180.sV018,-ə-,genitive,Sora,so,71,1180,V18,1,pinnow1959versuch:C:c3.p71.i1180.sV018,,-ə-,,unlinked,ingested,Rau prints no cross-reference to this Pinnow set,"pinnow1959versuch[p. 71, item 1180, set V18]",gen,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,21b4c00d57d32d12a961c8d8a4e4cf33eff29f1111bcfab2a8ca3f93f38a0037
2026-08-28,pinnow1959versuch:C:c5.p174.i1619-2.sV381,MISSING,to milk cows,Korku,ko,174,1619-2,V381,,,,,,not-applicable,excluded,source explicitly marks the form MISSING,"pinnow1959versuch[p. 174, item 1619-2, set V381]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=pinnow1959versuch,c267d8e727c0ecbd4b7f47d4aded52220aac8c08bbcc0b9393911dd0d89cf7a3,aa9cfbd244dd68e45b5633aa8af3aa139cc8c1081d807da8026b96748ff95c62
