Source_Key,PDF_Page,Printed_Page,Column,Line,Item,Gloss,Similarity_Group,Site_Code,Site,Scope,OCR_Evidence,Manual_Form,Qualifier,Review_Method,Review_Status,Confidence,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Key
koshy2022bagheli,59,50,1,1,1,body,1,K,Katkon (Khadi-Hindi),Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,bɛɖen,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-katkon,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site K]",silbagheli2022:p59:c1:l001:K
koshy2022bagheli,59,50,1,1,1,body,1,a,Karchana (Allahabadi),Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,bɛɖen,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-karchana,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site a]",silbagheli2022:p59:c1:l001:a
koshy2022bagheli,59,50,1,2,1,body,2,K,Katkon (Khadi-Hindi),Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,ɖɛ,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-katkon,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site K]",silbagheli2022:p59:c1:l002:K
koshy2022bagheli,59,50,1,2,1,body,2,a,Karchana (Allahabadi),Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,ɖɛ,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-karchana,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site a]",silbagheli2022:p59:c1:l002:a
koshy2022bagheli,59,50,1,3,1,body,2,D,Dabhaura,Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,ɖeh,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-dabhaura,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site D]",silbagheli2022:p59:c1:l003:D
koshy2022bagheli,59,50,1,3,1,body,2,P,Amarkantak (Pindra-Zamindari),Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,ɖeh,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-amarkantak,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site P]",silbagheli2022:p59:c1:l003:P
koshy2022bagheli,59,50,1,3,1,body,2,S,Sunwari,Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,ɖeh,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-sunwari,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site S]",silbagheli2022:p59:c1:l003:S
koshy2022bagheli,59,50,1,3,1,body,2,k,Keoti,Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,ɖeh,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-keoti,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site k]",silbagheli2022:p59:c1:l003:k
koshy2022bagheli,59,50,1,3,1,body,2,n,Singpur (Sohagpuri),Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,ɖeh,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-singpur,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site n]",silbagheli2022:p59:c1:l003:n
koshy2022bagheli,59,50,1,3,1,body,2,p,Parasawar,Bagheli survey lect,tesseract_scaffold.txt: PDF_PAGE 59 COLUMN 1,ɖeh,,manual transcription from embedded source image; OCR comparison only,complete,high,installed,,bagheli_lakshman,sil-bagheli-2022-parasawar,"koshy2022bagheli[Appendix B.4, printed p. 50, item 1, site p]",silbagheli2022:p59:c1:l003:p
