Record_Type,Item,Gloss,Site_Code,Site_Name,Role,PDF_Page,Printed_Page,Column,Raw_Response,Similarity_Groups,Reviewed_Transcription,Manual_Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,1,body,BIA,Biapada U. Didayi,target,21,16,1,1 gagəɖe,1,gagəɖe,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-biapada-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Biapada U. Didayi]",silbondadidayi1997:bia:i001:v1
wordlist cell,1,body,CHI,Chitrakonda L. Didayi,target,21,16,1,1 gagəɖe,1,gagəɖe,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-chitrakonda-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Chitrakonda L. Didayi]",silbondadidayi1997:chi:i001:v1
wordlist cell,1,body,KAL,Kaluguda U. Didayi,target,21,16,1,1 gaːgɪɖe,1,gaːgɪɖe,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-kaluguda-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Kaluguda U. Didayi]",silbondadidayi1997:kal:i001:v1
wordlist cell,1,body,ORA,Orapadar U. Didayi,target,21,16,1,1 gʌgəɖɛ,1,gʌgəɖɛ,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-orapadar-u-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Orapadar U. Didayi]",silbondadidayi1997:ora:i001:v1
wordlist cell,1,body,ORI,Oringi L. Didayi,target,21,16,1,1 gagəɖe,1,gagəɖe,visual-source-page,,installed,,gt,sil-bonda-didayi-1997-oringi-l-didayi,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Oringi L. Didayi]",silbondadidayi1997:ori:i001:v1
wordlist cell,1,body,RAS,Rasabeda L. Bonda,target,21,16,1,1 gagoɖe,1,gagoɖe,visual-source-page,,installed,,re,sil-bonda-didayi-1997-rasabeda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Rasabeda L. Bonda]",silbondadidayi1997:ras:i001:v1
wordlist cell,1,body,KEN,Kendhuguda L. Bonda,target,21,16,1,2 ɛɾi,2,ɛɾi,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kendhuguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Kendhuguda L. Bonda]",silbondadidayi1997:ken:i001:v1
wordlist cell,1,body,KAD,Kadamguda L. Bonda,target,21,16,1,2 ɛɾi,2,ɛɾi,visual-source-page,,installed,,re,sil-bonda-didayi-1997-kadamguda-l-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Kadamguda L. Bonda]",silbondadidayi1997:kad:i001:v1
wordlist cell,1,body,DUM,Dumripada U. Bonda,target,21,16,1,2 ɛɾi,2,ɛɾi,visual-source-page,,installed,,re,sil-bonda-didayi-1997-dumripada-u-bonda,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Dumripada U. Bonda]",silbondadidayi1997:dum:i001:v1
wordlist cell,1,body,GUT,Tikrapada Gutob,comparison control,21,16,1,2 nɛɾi,2,nɛɾi,visual-source-page,,excluded,excluded comparison control,gu,,"mathew-chamberlain2022bonda-didayi[Appendix B, printed p. 16, item 1, Tikrapada Gutob]",
