Source_Key,PDF_Page,Printed_Page,Source_Line,Item,Gloss,Similarity_Groups,Site,Community,Manual_Form,Confidence,Review_Method,Review_Status,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Keys
behera2021desia,80,71,p80:L15@270.95,1,body,1,Potenda,Rona,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-potenda-rona,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Potenda]",sildesia2021:i001:potenda:f1
behera2021desia,80,71,p80:L19@318.96,1,body,1,Potenda,Rona,ɡaɡɔɖɨ muɳɖ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-potenda-rona,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Potenda]",sildesia2021:i001:potenda:f2
behera2021desia,80,71,p80:L11@222.93,1,body,1,Ghumar,Rona,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-ghumar-rona,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Ghumar]",sildesia2021:i001:ghumar:f1
behera2021desia,80,71,p80:L06@162.91,1,body,2,Sabhapatiguda,Gaud,d̪iɔ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-sabhapatiguda-gaud,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Sabhapatiguda]",sildesia2021:i001:sabhapatiguda:f1
behera2021desia,80,71,p80:L16@282.95,1,body,1,Sabhapatiguda,Gaud,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-sabhapatiguda-gaud,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Sabhapatiguda]",sildesia2021:i001:sabhapatiguda:f2
behera2021desia,80,71,p80:L26@402.99,1,body,1,Kantigad,Gaud,ɡɐɡɔɽ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-kantigad-gaud,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Kantigad]",sildesia2021:i001:kantigad:f1
behera2021desia,80,71,p80:L25@390.99,1,body,1,Kakalpoda,Bod Mali,ɡɐɡɔɽ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-kakalpoda-bod-mali,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Kakalpoda]",sildesia2021:i001:kakalpoda:f1
behera2021desia,80,71,p80:L13@246.94,1,body,1,Konda Maliguda,Bod Mali,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-konda-maliguda-bod-mali,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Konda Maliguda]",sildesia2021:i001:konda-maliguda:f1
behera2021desia,80,71,p80:L14@258.94,1,body,1,Patta Maliguda,San Mali,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-patta-maliguda-san-mali,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Patta Maliguda]",sildesia2021:i001:patta-maliguda:f1
behera2021desia,80,71,p80:L24@378.98,1,body,1,Gumalput,Gadaba,ɡɐɡɔɽ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-gumalput-gadaba,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Gumalput]",sildesia2021:i001:gumalput:f1
behera2021desia,80,71,p80:L09@198.92,1,body,1,Gagnapur,Poroja,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-gagnapur-poroja,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Gagnapur]",sildesia2021:i001:gagnapur:f1
behera2021desia,80,71,p80:L27@415.00,1,body,1,Gagnapur,Poroja,ɡɔɡaɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-gagnapur-poroja,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Gagnapur]",sildesia2021:i001:gagnapur:f2
behera2021desia,80,71,p80:L08@186.92,1,body,1,Dame side,Dom,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-dame-side-dom,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Dame side]",sildesia2021:i001:dame-side:f1
behera2021desia,80,71,p80:L21@342.97,1,body,1,Burja,Dom,ɡaɡɔr,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-burja-dom,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Burja]",sildesia2021:i001:burja:f1
behera2021desia,80,71,p80:L22@354.98,1,body,1,Chhatrabor,Harijan,ɡaɡɔr,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-chhatrabor-harijan,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Chhatrabor]",sildesia2021:i001:chhatrabor:f1
behera2021desia,80,71,p80:L07@174.92,1,body,1,Bodgaon,Dhulia,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-bodgaon-dhulia,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Bodgaon]",sildesia2021:i001:bodgaon:f1
behera2021desia,80,71,p80:L05@150.91,1,body,2,Gemelput,Mania,d̪iɔ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-gemelput-mania,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Gemelput]",sildesia2021:i001:gemelput:f1
behera2021desia,80,71,p80:L10@210.93,1,body,1,Gemelput,Mania,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-gemelput-mania,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Gemelput]",sildesia2021:i001:gemelput:f2
behera2021desia,80,71,p80:L17@294.96,1,body,1,Sindhiguda,Bonda,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-sindhiguda-bonda,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Sindhiguda]",sildesia2021:i001:sindhiguda:f1
behera2021desia,80,71,p80:L18@306.96,1,body,1,Souraguda,Soura,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-souraguda-soura,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Souraguda]",sildesia2021:i001:souraguda:f1
behera2021desia,80,71,p80:L20@330.97,1,body,1,Aunli,Bhotra,ɡaɡɔr,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-aunli-bhotra,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Aunli]",sildesia2021:i001:aunli:f1
behera2021desia,80,71,p80:L23@366.98,1,body,1,Sourakundi,Bhotra,ɡaɡɔɾ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-sourakundi-bhotra,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Sourakundi]",sildesia2021:i001:sourakundi:f1
behera2021desia,80,71,p80:L12@234.94,1,body,1,Jujhari,Kamar,ɡaɡɔɖɨ,high,manual visual comparison against rendered source image; embedded text used only as scaffold,complete,installed,,AdivasiOriya,sil-desia-2007-jujhari-kamar,"behera2021desia[Appendix B.5, printed p. 71, item 1, site Jujhari]",sildesia2021:i001:jujhari:f1
