Record_Type,Source_Key,PDF_Page,Printed_Page,Column,Item,Gloss,Site,Role,Source_Name,Location,Source_Raw,Manual_Transcription,Resolved_Forms,Similarity_Groups,Qualifiers,Manual_Review,Item_Review_Note,Uncertainty_Type,OCR_Evidence_Primary,OCR_Evidence_Secondary,OCR_Evidence_Latin,Source_Status,Status,Reason,Language_ID,Dialect_ID,Citation,Entry_Keys
wordlist cell,webster2024haryanvi,28,21,1,1,body,HRT,target,Rohtak Haryanvi/Bangru,"Rohtak, Rohtak district, Haryana",1 d̪eh /2 gaṭ /3 kaja,1 d̪eh /2 gaṭ /3 kaja,d̪eh | gaṭ | kaja,1 | 2 | 3, |  | ,manual-scan,,,1 geht 42 gat 13 kaja,1 geht 42 gat 13 kaja,1 gohi ?/2 gat /3 kaja,response,installed,,kaithal,sil-haryanvi-2024-hrt,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HRT]",silharyanvi2024:i001:hrt:v01 | silharyanvi2024:i001:hrt:v02 | silharyanvi2024:i001:hrt:v03
wordlist cell,webster2024haryanvi,28,21,1,1,body,HJN,target,Jind Haryanvi,"Jind, Jind district, Haryana",4 seṭ /2 gaṭ,4 seṭ /2 gaṭ,seṭ | gaṭ,4 | 2, | ,manual-scan,,,4 sect /2 gat,4 sect /2 gat,4 sct 12 gat,response,installed,,kaithal,sil-haryanvi-2024-hjn,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HJN]",silharyanvi2024:i001:hjn:v01 | silharyanvi2024:i001:hjn:v02
wordlist cell,webster2024haryanvi,28,21,1,1,body,HFT,target,Fatehabad Haryanvi/Bagri,"Fatehabad, Hissar district, Haryana",1 d̪eh /5 sʌrir /3 kaja,1 d̪eh /5 sʌrir /3 kaja,d̪eh | sʌrir | kaja,1 | 5 | 3, |  | ,manual-scan,,,1 goh /5 sarcic /3 kaja,1 goh /5 sarcic /3 kaja,1 doh /5 saric /3 kaja,response,installed,,kaithal,sil-haryanvi-2024-hft,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HFT]",silharyanvi2024:i001:hft:v01 | silharyanvi2024:i001:hft:v02 | silharyanvi2024:i001:hft:v03
wordlist cell,webster2024haryanvi,28,21,1,1,body,HNG,target,Dehar (Narayangarh) Haryanvi,"Dehar, Narayangarh Tehsil, Ambala district, Haryana",2 gaṭ /3 kaja /6 t̪ʌn,2 gaṭ /3 kaja /6 t̪ʌn,gaṭ | kaja | t̪ʌn,2 | 3 | 6, |  | ,manual-scan,,,2 gat /3 kaja /6 tan,2 gat /3 kaja /6 tan,2 gag /3 kaja 1/6 kan,response,installed,,kaithal,sil-haryanvi-2024-hng,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HNG]",silharyanvi2024:i001:hng:v01 | silharyanvi2024:i001:hng:v02 | silharyanvi2024:i001:hng:v03
wordlist cell,webster2024haryanvi,28,21,1,1,body,BPL,comparison,Palwal Braj Bhasha/Haryanvi comparison,"Aalahpur, Palwal Tehsil, Faridabad district, Haryana",,,,,,excluded comparison; not manually transcribed,,,1 geht,1 geht,1 gehi,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, BPL]",
wordlist cell,webster2024haryanvi,28,21,1,1,body,HTR,target,Taoru Haryanvi/Mewati,"Taoru, Gurgaon district, Haryana",5 sʌrir,5 sʌrir,sʌrir,5,,manual-scan,,,3 sacic,3 sacic,5 sarcir,response,installed,,kaithal,sil-haryanvi-2024-htr,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HTR]",silharyanvi2024:i001:htr:v01
wordlist cell,webster2024haryanvi,28,21,1,1,body,HLH,target,Loharu Haryanvi/Bagri,"Loharu, Mahendragarh district, Haryana",1 d̪eh,1 d̪eh,d̪eh,1,,manual-scan,,,1 geh,1 geh,1 deh,response,installed,,kaithal,sil-haryanvi-2024-hlh,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HLH]",silharyanvi2024:i001:hlh:v01
wordlist cell,webster2024haryanvi,28,21,1,1,body,PBG,comparison,Kuthard Baghati Pahari comparison,"Kuthard, Kasali Tehsil, Solan district, Himachal Pradesh",,,,,,excluded comparison; not manually transcribed,,,7 dgcsum,7 dgcsum,7 dztsum,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, PBG]",
wordlist cell,webster2024haryanvi,28,21,1,1,body,HIN,comparison,Standard North Indian Hindustani comparison,North India; many sources,,,,,,excluded comparison; not manually transcribed,,,S facic (7 badan,S facic (7 badan,5 facic 17 badan,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, HIN]",
wordlist cell,webster2024haryanvi,28,21,1,1,body,PUN,comparison,Standard Punjabi comparison,"Fatehgarh/Churian, Guridaspur district, Punjab",,,,,,excluded comparison; not manually transcribed,,,53 faric,53 faric,5 farir,excluded-comparison-untranscribed,excluded,comparison list outside the six Haryanvi target lists; exact cell locator and non-authoritative OCR evidence retained for source accounting,,,"webster2024haryanvi[Appendix A.3, printed p. 21, item 1, PUN]",
