Record_Type,Report,PDF_Page,Printed_Page,Gloss_Number,Gloss,Site_Code,Site_Name,Source_Label,Comparison_Role,Response,Similarity_Group,Transcription,Review,Uncertainty,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Key
wordlist response,john2008jaunsari,40,40,1,body,K,Korwa,Jaunsari-Korwa,target,1,1,çʌɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Korwa]",siljaunsari2008:g001:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,40,40,1,body,D,Khanaad,Jaunsari-Khanaad,target,1,1,çʌɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Khanaad]",siljaunsari2008:g001:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,40,40,1,body,C,Chapnu,Jaunsari-Chapnu,target,1,1,çʌɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Chapnu]",siljaunsari2008:g001:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,40,40,1,body,B,Bhandroli,Jaunsari-Bhandroli,target,1,1,çʌɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Bhandroli]",siljaunsari2008:g001:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,40,40,1,body,M,Maindrath,MixedJB-Maindrath,target,1,1,çʌɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Maindrath]",siljaunsari2008:g001:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,40,40,1,body,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,1,çʌɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Lakhamandal]",siljaunsari2008:g001:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,40,40,1,body,A,Chakrata,Jaunsari-Chakratha,target,1,1,ʃeɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Chakrata]",siljaunsari2008:g001:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,40,40,1,body,h,Hindi,Hindi,comparison control,1,1,ʃeɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Hindi]",
wordlist response,john2008jaunsari,40,40,1,body,h,Hindi,Hindi,comparison control,2,1,ʃʌɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Hindi]",
wordlist response,john2008jaunsari,40,40,1,body,S,Bangani,Bangani,comparison control,1,1,ʃərir,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Bangani]",
wordlist response,john2008jaunsari,40,40,1,body,J,Jaunpuri,Jaunpuri,comparison control,1,1,səɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Jaunpuri]",
wordlist response,john2008jaunsari,40,40,1,body,N,Nagpuriya,Nagpuriya,comparison control,1,1,səɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Nagpuriya]",
wordlist response,john2008jaunsari,40,40,1,body,G,Sirmauri,Sirmauri,comparison control,1,1,ʃəɾiɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 1, Sirmauri]",
wordlist response,john2008jaunsari,40,40,2,head,K,Korwa,Jaunsari-Korwa,target,1,2,munɖ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-korwa,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Korwa]",siljaunsari2008:g002:sil-jaunsari-2008-korwa:i1
wordlist response,john2008jaunsari,40,40,2,head,D,Khanaad,Jaunsari-Khanaad,target,1,2,munɖ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-khanaad,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Khanaad]",siljaunsari2008:g002:sil-jaunsari-2008-khanaad:i1
wordlist response,john2008jaunsari,40,40,2,head,C,Chapnu,Jaunsari-Chapnu,target,1,2,munɖi,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chapnu,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Chapnu]",siljaunsari2008:g002:sil-jaunsari-2008-chapnu:i1
wordlist response,john2008jaunsari,40,40,2,head,B,Bhandroli,Jaunsari-Bhandroli,target,1,2,muːnɖ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-bhandroli,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Bhandroli]",siljaunsari2008:g002:sil-jaunsari-2008-bhandroli:i1
wordlist response,john2008jaunsari,40,40,2,head,M,Maindrath,MixedJB-Maindrath,target,1,2,munɖ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-maindrath,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Maindrath]",siljaunsari2008:g002:sil-jaunsari-2008-maindrath:i1
wordlist response,john2008jaunsari,40,40,2,head,L,Lakhamandal,Jr-Glmix-Lakhamandal,target,1,2,munɖ,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-lakhamandal,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Lakhamandal]",siljaunsari2008:g002:sil-jaunsari-2008-lakhamandal:i1
wordlist response,john2008jaunsari,40,40,2,head,A,Chakrata,Jaunsari-Chakratha,target,1,2,munɖi,decoded from the SAG-IPA text layer with SIL's official converter map,,installed,,jaun,sil-jaunsari-2008-chakrata,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Chakrata]",siljaunsari2008:g002:sil-jaunsari-2008-chakrata:i1
wordlist response,john2008jaunsari,40,40,2,head,h,Hindi,Hindi,comparison control,1,1,sɪɾ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Hindi]",
wordlist response,john2008jaunsari,40,40,2,head,S,Bangani,Bangani,comparison control,1,3,mʊɾt̪ka,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Bangani]",
wordlist response,john2008jaunsari,40,40,2,head,J,Jaunpuri,Jaunpuri,comparison control,1,2,muɳɖ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Jaunpuri]",
wordlist response,john2008jaunsari,40,40,2,head,N,Nagpuriya,Nagpuriya,comparison control,1,2,muɳɖ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Nagpuriya]",
wordlist response,john2008jaunsari,40,40,2,head,G,Sirmauri,Sirmauri,comparison control,1,2,mũɖ,decoded from the SAG-IPA text layer with SIL's official converter map,,excluded,comparison-language control; not a Jaunsari target list,,,"john2008jaunsari[Appendix A.2, printed p. 40, item 2, Sirmauri]",
