Record_Type,Item,Gloss,Site_Code,Site_Name,Role,PDF_Page,Printed_Page,Column,Manual_Transcription,Manual_Review,Uncertainty,OCR_Evidence,Status,Reason,Language_ID,Dialect_ID,Source,Entry_Keys
wordlist cell,1,body,AMD,Amdhana Mawasi,target,79,74,1,kompɛr,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 1, Amdhana Mawasi]",silkorku1985:amd:i001:v1
wordlist cell,1,body,BAG,Bagdara Ruma,target,57,52,1,kombor,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 1, Bagdara Ruma]",silkorku1985:bag:i001:v1
wordlist cell,1,body,CHI,Chikli Ruma,target,46,41,1,kombor,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 1, Chikli Ruma]",silkorku1985:chi:i001:v1
wordlist cell,1,body,KHA,Khanapur Ruma,target,46,41,2,dʒiu,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 1, Khanapur Ruma]",silkorku1985:kha:i001:v1
wordlist cell,1,body,KHM,Khamalpur Bondoy,target,79,74,2,komor,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-khamalpur-bondoy,"stahl2021korku[Appendix F, printed p. 74, item 1, Khamalpur Bondoy]",silkorku1985:khm:i001:v1
wordlist cell,1,body,LAH,Lahi Bouriya,target,68,63,2,komoɖ,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-lahi-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 1, Lahi Bouriya]",silkorku1985:lah:i001:v1
wordlist cell,1,body,MOR,Moragao Bouriya,target,68,63,1,komor,manual-source-image,,tesseract_raw.txt#pdf68,installed,,ko,sil-korku-1985-moragao-bouriya,"stahl2021korku[Appendix F, printed p. 63, item 1, Moragao Bouriya]",silkorku1985:mor:i001:v1
wordlist cell,1,body,NIH,Jammat Jalgaon Nihali,comparison control,90,85,1,pakor,manual-source-image,,tesseract_raw.txt#pdf90,excluded,excluded comparison control,Ni,,"stahl2021korku[Appendix F, printed p. 85, item 1, Jammat Jalgaon Nihali]",
wordlist cell,1,body,WAR,Warsari Ruma,target,57,52,2,dʒiu,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-warsari-ruma,"stahl2021korku[Appendix F, printed p. 52, item 1, Warsari Ruma]",silkorku1985:war:i001:v1
wordlist cell,2,head,AMD,Amdhana Mawasi,target,79,74,1,dũi,manual-source-image,,tesseract_raw.txt#pdf79,installed,,ko,sil-korku-1985-amdhana-mawasi,"stahl2021korku[Appendix F, printed p. 74, item 2, Amdhana Mawasi]",silkorku1985:amd:i002:v1
wordlist cell,2,head,BAG,Bagdara Ruma,target,57,52,1,kapar,manual-source-image,,tesseract_raw.txt#pdf57,installed,,ko,sil-korku-1985-bagdara-ruma,"stahl2021korku[Appendix F, printed p. 52, item 2, Bagdara Ruma]",silkorku1985:bag:i002:v1
wordlist cell,2,head,CHI,Chikli Ruma,target,46,41,1,kepɛr,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-chikli-ruma,"stahl2021korku[Appendix F, printed p. 41, item 2, Chikli Ruma]",silkorku1985:chi:i002:v1
wordlist cell,2,head,KHA,Khanapur Ruma,target,46,41,2,kapɛiʲ,manual-source-image,,tesseract_raw.txt#pdf46,installed,,ko,sil-korku-1985-khanapur-ruma,"stahl2021korku[Appendix F, printed p. 41, item 2, Khanapur Ruma]",silkorku1985:kha:i002:v1
