Snapshot_Date,Raw_ID,Raw_Form,Raw_Gloss,Source_Language,Language_ID,Page,Item,Column,Comparison_Group,Group_Status,Variant_Index,Entry_Key,Variant_Of_Key,Final_Form,Final_Gloss,Status,Reason,Citation,Tags,Source_URL,HTML_SHA256,Record_SHA256,Review_Result,Material_Error
2026-08-28,zide1982reconstruction:C:c2.p428.i1172,ataɟ-,to fart,Juray,Juray,428,1172,2,Z82-p428-i1172,paired,1,zide1982reconstruction:C:c2.p428.i1172,,ataɟ-,to fart,ingested,structured source comparison record,"zide1982reconstruction[p. 428, item 1172]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,8919dc0c4e21171f2d0248c2212324b96e2bc8495e8b373da43c491fb6d0a5e5,pass,
2026-08-28,zide1982reconstruction:C:c2.p422.i1107,tʌr-kob,white-breasted kite,Juray,Juray,422,1107,2,Z82-p422-i1107,singleton,1,zide1982reconstruction:C:c2.p422.i1107,,tʌr-kob,white-breasted kite,ingested,structured source comparison record,"zide1982reconstruction[p. 422, item 1107]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,62982d8866b556e18163b78aade9c67782b81359950f156761197257346f7d92,pass,
2026-08-28,zide1982reconstruction:C:c1.p332.i627,de-,"to get pierced, to touch",Sora,so,332,627,1,Z82-p332-i627,paired,1,zide1982reconstruction:C:c1.p332.i627,,de-,"to get pierced, to touch",ingested,structured source comparison record,"zide1982reconstruction[p. 332, item 627]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,ebce1a726a639426e931b1114689d066b4087a9edc205050ff4c97fb11238507,pass,
2026-08-28,zide1982reconstruction:C:c1.p271.i338,"ɡʌd-, ɡad-","to cut, to saw",Sora,so,271,338,1,Z82-p271-i338,paired,2,zide1982reconstruction:C:c1.p271.i338:v2,zide1982reconstruction:C:c1.p271.i338,ɡad-,"to cut, to saw",ingested,structured source comparison record,"zide1982reconstruction[p. 271, item 338]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,e7159ad7e9cb041032888e0724831ca4ff31cb3bd313b53b4625c4507cbc43ff,pass,
2026-08-28,zide1982reconstruction:C:c2.p596.i2406,ʌsɨr-da-,to spatter,Juray,Juray,596,2406,2,Z82-p596-i2406,paired,1,zide1982reconstruction:C:c2.p596.i2406,,ʌsɨr-da-,to spatter,ingested,structured source comparison record,"zide1982reconstruction[p. 596, item 2406]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,f560a335ac8946c296225db2d170a27c65f0df78a517c5de673a9c379df0e557,pass,
2026-08-28,zide1982reconstruction:C:c1.p411.i1034,"amu, amu-ti",tip; peak (of a mountain),Sora,so,411,1034,1,Z82-p411-i1034,paired,2,zide1982reconstruction:C:c1.p411.i1034:v2,zide1982reconstruction:C:c1.p411.i1034,amu-ti,tip; peak (of a mountain),ingested,structured source comparison record,"zide1982reconstruction[p. 411, item 1034]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,68bca067d7fd7815f907cd0bb9783d81b11af99b733c7a1f24e0080d2540d013,pass,
2026-08-28,zide1982reconstruction:C:c1.p459.i1444,aɽkad,loom,Sora,so,459,1444,1,Z82-p459-i1444,singleton,1,zide1982reconstruction:C:c1.p459.i1444,,aɽkad,loom,ingested,structured source comparison record,"zide1982reconstruction[p. 459, item 1444]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,b32d92fb2236e8768b79f7dfd9bb64d70b115c3d6efdeefb33b978f3a57a65a4,pass,
2026-08-28,zide1982reconstruction:C:c1.p316.i554,bɨr-saɟ-,to spread hair in sun to dry,Sora,so,316,554,1,Z82-p316-i554,paired,1,zide1982reconstruction:C:c1.p316.i554,,bɨr-saɟ-,to spread hair in sun to dry,ingested,structured source comparison record,"zide1982reconstruction[p. 316, item 554]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,5895c9cd86bafef1053a361348b68d8bef104da5bd08b1204153c738fe2f375d,pass,
2026-08-28,zide1982reconstruction:C:c2.p268.i317,silɔɲ-,"to strip off (skin, paper)",Juray,Juray,268,317,2,Z82-p268-i317,paired,1,zide1982reconstruction:C:c2.p268.i317,,silɔɲ-,"to strip off (skin, paper)",ingested,structured source comparison record,"zide1982reconstruction[p. 268, item 317]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,f46043dafcb32e65c8491f8e7b8813648f525b4322c2bfb584b8496033a895d4,pass,
2026-08-28,zide1982reconstruction:C:c2.p271.i348,sʌl-,"to make a field out of fallow land, to level",Juray,Juray,271,348,2,Z82-p271-i348,paired,1,zide1982reconstruction:C:c2.p271.i348,,sʌl-,"to make a field out of fallow land, to level",ingested,structured source comparison record,"zide1982reconstruction[p. 271, item 348]",,http://sealang.net/munda/dictionary/search.pl?caller=database&include=zide1982reconstruction,3b81fcc719b57434ee50733914bacbc33ed497f283fdfdf4a79d64073f31af68,fa99b10917f974640cd2687d488790d7187ef0cb51c4caf398fdc00926607cf7,pass,
