Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Evidence_Language_ID,Evidence_Form,Basis
5,Urdu,bɑl,hair,bɑl,11572,Jalkot,bɑl,same gloss + exact normalized phonemic form (stress ignored)
24,Urdu,peṭ,belly,peʈ,8376,Domaaki,peṭ,same gloss + exact normalized phonemic form (stress ignored)
76,Urdu,čʰuri,knife,tɕʰur̪i,3727,Domaaki,čʰuri,same gloss + exact normalized phonemic form (stress ignored)
103,Urdu,pɑni,water,pɑn̪i,8082,Domaaki,pɑni,same gloss + exact normalized phonemic form (stress ignored)
144,Urdu,pʰul,flower,pʰul,9092,Domaaki,pʰul,same gloss + exact normalized phonemic form (stress ignored)
146,Urdu,pʰʌl,fruit,pʰɜl,9051,KachuraJel,pʰʌl,same gloss + exact normalized phonemic form (stress ignored)
147,Pashto,mewɑ,fruit,meβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
148,Urdu,ɑm,mango,ɑm,1268,Domaaki,ɑm,same gloss + exact normalized phonemic form (stress ignored)
149,Pashto,ɑm,mango,ɑm,1268,Domaaki,ɑm,same gloss + exact normalized phonemic form (stress ignored)
150,Urdu,kelɑ,banana,kelɑ,2712,Domaaki,kelɑ,same gloss + exact normalized phonemic form (stress ignored)
151,Pashto,kelɑ,banana,kelɑ,2712,Domaaki,kelɑ,same gloss + exact normalized phonemic form (stress ignored)
159,Urdu,ɑlu,potato,ɑlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
160,Pashto,ɑlu,potato,ɑlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
168,Urdu,hʌldi,turmeric,hɜldi,13992,Bunji,ˈhʌldi,same gloss + exact normalized phonemic form (stress ignored)
175,Pashto,gobi,cauliflower,gobi,4270,NagarThol,goˈbi,same gloss + exact normalized phonemic form (stress ignored)
181,Urdu,tel,oil,t̪el,5958,Domaaki,tel,same gloss + exact normalized phonemic form (stress ignored)
182,Pashto,tel,oil,t̪el,5958,Domaaki,tel,same gloss + exact normalized phonemic form (stress ignored)
196,Urdu,gɑe,cow,gɑe,4147,Domaaki,ˈgɑe,same gloss + exact normalized phonemic form (stress ignored)
219,Pashto,ǰolɑ,spider,dʑolɑ,5213,ChilasKhinar,ǰoˈlɑ,same gloss + exact normalized phonemic form (stress ignored)
221,Pashto,num,name,n̪um,7067,ChilasKhinar,num,same gloss + exact normalized phonemic form (stress ignored)
231,Urdu,mɑ̃,mother,mɑ̃,10016,Haramosh,mɑ̃,same gloss + exact normalized phonemic form (stress ignored)
281,Pashto,kɑl,year,kɑl,3084,Gupis,kɑl,same gloss + exact normalized phonemic form (stress ignored)
315,Urdu,dur,far,d̪uɾ̪,6495,Domaaki,dur,same gloss + exact normalized phonemic form (stress ignored)
317,Urdu,bʌṛɑ,big,bɜɽɑ,11225,Domaaki,ˈbʌṛɑ,same gloss + exact normalized phonemic form (stress ignored)
334,Urdu,kɑlɑ,black,kɑlɑ,3083,Domaaki,ˈkɑlɑ,same gloss + exact normalized phonemic form (stress ignored)
344,Urdu,čɑr,four,tɕɑɾ̪,4655,NagarThol,čɑr,same gloss + exact normalized phonemic form (stress ignored)
354,Urdu,nʌo,nine,n̪ɜo,6984,Domaaki,nʌo,same gloss + exact normalized phonemic form (stress ignored)
985,RonduBalti,mewɑ,fruit,meβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
988,SkarduBalti,mewɑ,fruit,meβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
990,KhapaluBalti,mewɑ,fruit,meβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
991,KharmangBalti,mewɑ,fruit,meβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
993,ChorbatBalti,mewɑ,fruit,meβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
995,RonduBalti,ɑm,mango,ɑm,1268,Domaaki,ɑm,same gloss + exact normalized phonemic form (stress ignored)
996,ShigarBalti,ɑm,mango,ɑm,1268,Domaaki,ɑm,same gloss + exact normalized phonemic form (stress ignored)
997,SkarduBalti,ɑm,mango,ɑm,1268,Domaaki,ɑm,same gloss + exact normalized phonemic form (stress ignored)
998,KhapaluBalti,ɑm,mango,ɑm,1268,Domaaki,ɑm,same gloss + exact normalized phonemic form (stress ignored)
999,KharmangBalti,ɑm,mango,ɑm,1268,Domaaki,ɑm,same gloss + exact normalized phonemic form (stress ignored)
1000,ChorbatBalti,ɑm,mango,ɑm,1268,Domaaki,ɑm,same gloss + exact normalized phonemic form (stress ignored)
1001,SkarduPurki,ɑm,mango,ɑm,1268,Domaaki,ɑm,same gloss + exact normalized phonemic form (stress ignored)
1023,RonduBalti,ɑlu,potato,ɑlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
1024,ShigarBalti,ɑlu,potato,ɑlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
1025,SkarduBalti,ɑlu,potato,ɑlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
1026,KhapaluBalti,ɑlu,potato,ɑlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
1027,KharmangBalti,ɑlu,potato,ɑlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
1028,ChorbatBalti,ɑlu,potato,ɑlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
1029,SkarduPurki,ɑlu,potato,ɑlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
1067,KhapaluBalti,gobi,cauliflower,gobi,4270,NagarThol,goˈbi,same gloss + exact normalized phonemic form (stress ignored)
1069,ChorbatBalti,gobi,cauliflower,gobi,4270,NagarThol,goˈbi,same gloss + exact normalized phonemic form (stress ignored)
1071,RonduBalti,pɑɣʌn,tomato,pɑɣɜn̪,11503,KachuraJel,pɑˈɣʌn,same gloss + exact normalized phonemic form (stress ignored)
1072,ShigarBalti,pɑɣʌn,tomato,pɑɣɜn̪,11503,KachuraJel,pɑˈɣʌn,same gloss + exact normalized phonemic form (stress ignored)
1073,SkarduBalti,pɑɣʌn,tomato,pɑɣɜn̪,11503,KachuraJel,pɑˈɣʌn,same gloss + exact normalized phonemic form (stress ignored)
1074,KhapaluBalti,pɑɣʌn,tomato,pɑɣɜn̪,11503,KachuraJel,pɑˈɣʌn,same gloss + exact normalized phonemic form (stress ignored)
1075,KharmangBalti,pɑɣʌm,tomato,pɑɣɜm,11503,Dras,pɑˈɣʌm,same gloss + exact normalized phonemic form (stress ignored)
1076,ChorbatBalti,pɑɣʌn,tomato,pɑɣɜn̪,11503,KachuraJel,pɑˈɣʌn,same gloss + exact normalized phonemic form (stress ignored)
1077,SkarduPurki,pɑɣʌn,tomato,pɑɣɜn̪,11503,KachuraJel,pɑˈɣʌn,same gloss + exact normalized phonemic form (stress ignored)
1135,SkarduPurki,tʰul,egg,t̪ʰul,13776,KachuraJel,tʰul,same gloss + exact normalized phonemic form (stress ignored)
2332,Hussainabad,ˈpʌči,cloth,ˈpɜtɕi,8400,NagarThol,ˈpʌči,same gloss + exact normalized phonemic form (stress ignored; corrected from 770)
