Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Distance,Evidence_Language_ID,Evidence_Form,Evidence_Source,Decision,Notes
6324,Gupis,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6325,Punial,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6327,HunzaNasirabad,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6329,NagarThol,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6331,NagarChalt,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6333,Gilgit,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6336,Bagrot,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6337,Bunji,ɑsˈmɑɑn,sky,ɑs̪ˈmɑːn̪,e50,0.000,koh,asmán,schmidt,yes,
6340,Rondu,ɑsmɑn,sky,ɑs̪mɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6341,Gahorabad,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6342,DashkinAstor,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6343,Astor,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6350,ChilasKhinar,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6351,ChilasJelil,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6352,Darel,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6353,Tangir,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6354,Sazin,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6355,Harban,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6356,Jalkot,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6357,Palas,ɑsmɑn,sky,ɑs̪mɑn̪,e50,0.000,koh,asmán,schmidt,yes,
6358,Kolai,ɑsˈmɑn,sky,ɑs̪ˈmɑn̪,e50,0.000,koh,asmán,schmidt,yes,
8969,NagarChalt,biˈlɑdu̱,wet,biˈlɑdu̠,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8974,Bunji,bɪˈlɑdo,wet,bɪˈlɑdo,11906,0.000,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8977,Gahorabad,bɪˈlʌdo,wet,bɪˈlɜdo,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8981,KachuraJel,bɪˈlʌdo,wet,bɪˈlɜdo,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8983,Satpara,bɪˈlʌdo,wet,bɪˈlɜdo,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8985,Gultari,bɪˈlʌdo,wet,bɪˈlɜdo,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8987,Kharmang,biˈlɑdo,wet,biˈlɑdo,11906,0.000,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8990,ChilasKhinar,bɪˈlʌdo,wet,bɪˈlɜdo,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8992,ChilasJelil,bɪˈlʌdo,wet,bɪˈlɜdo,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8994,Darel,bɪˈlɑdo,wet,bɪˈlɑdo,11906,0.000,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8996,Tangir,bɪˈlʌdo,wet,bɪˈlɜdo,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
8997,Sazin,bɪˈlʌdo,wet,bɪˈlɜdo,11906,0.167,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
9000,Jalkot,biˈlɑ̱do̱,wet,biˈlɑ̠do̠,11906,0.000,Sh,bilādo,CDIAL,yes,"targets Indo-Aryan etymon, not Proto-Indo-Iranian"
